Dmel,E_value,Score,query cover,identity,Dsim
NM_001014589.4,0.0,5024.0,99,96.143,XM_002085194.4
NM_001014590.2,0.0,8067.0,76,97.394,XM_039293570.2
NM_001014591.3,0.0,11051.0,100,97.425,XM_039294388.2
NM_001014600.1,0.0,1642.0,76,96.843,XM_002085886.4
NM_001014605.3,0.0,2782.0,98,95.003,XM_002102123.4
NM_001014607.2,0.0,1842.0,99,93.158,XM_002102175.4
NM_001014608.2,0.0,1748.0,98,94.571,XM_039295553.2
NM_001014610.2,0.0,6067.0,100,94.586,XM_002102413.4
NM_001014611.3,0.0,1694.0,93,94.314,XM_016177110.3
NM_001014612.3,0.0,2135.0,83,97.606,XM_016175062.3
NM_001014616.2,0.0,4673.0,100,94.901,XM_016176972.3
NM_001014632.4,0.0,4896.0,32,96.557,XM_039295493.2
NM_001014633.3,1.5899999999999998e-68,259.0,44,98.63,XM_016176489.3
NM_001014636.3,0.0,2534.0,79,95.096,XM_016176489.3
NM_001014639.3,5.07e-175,612.0,99,97.746,XM_002102881.4
NM_001014650.3,0.0,7225.0,92,97.367,XM_016174799.3
NM_001014681.4,0.0,12126.0,99,97.013,XM_016177720.3
NM_001014693.2,0.0,5627.0,99,95.937,XM_016180674.3
NM_001014695.2,0.0,4259.0,98,94.791,XM_016180567.3
NM_001014703.3,0.0,3229.0,85,95.012,XM_044923501.1
NM_001014714.2,0.0,6377.0,95,97.029,XM_016173141.3
NM_001014722.2,0.0,11359.0,100,94.45,XM_039297206.2
NM_001014730.2,0.0,1057.0,100,94.963,XM_002106547.4
NM_001014742.2,0.0,4329.0,90,96.296,XM_016183284.3
NM_001014746.3,0.0,1138.0,100,96.647,XM_016172494.3
NM_001014758.3,0.0,4525.0,85,94.217,XM_039296463.1
NM_001015101.2,0.0,4309.0,96,95.678,XM_039298340.2
NM_001015132.2,0.0,3770.0,100,96.303,XM_016179144.3
NM_001015156.2,0.0,1158.0,67,97.493,XM_016168966.3
NM_001015174.4,0.0,2207.0,99,92.085,XM_016172067.3
NM_001015224.3,0.0,1026.0,87,91.332,XM_016183767.3
NM_001015241.4,0.0,2222.0,88,96.444,XM_016183556.3
NM_001015254.3,0.0,2211.0,98,93.436,XM_002077130.4
NM_001015255.4,0.0,2109.0,96,89.876,XM_002077131.4
NM_001015257.3,0.0,3757.0,100,93.632,XM_016172242.3
NM_001015261.3,0.0,3066.0,90,96.123,XM_016172239.3
NM_001015316.3,0.0,13173.0,99,96.288,XM_039298332.2
NM_001015319.2,0.0,2296.0,99,94.415,XM_039298290.2
NM_001015349.4,0.0,2691.0,99,93.499,"XM_016183823.3, XM_039294654.2"
NM_001015352.4,0.0,2435.0,99,97.346,XM_039292701.2
NM_001015384.3,0.0,2381.0,99,93.867,XM_016182560.3
NM_001015387.3,0.0,1467.0,100,96.309,XM_002076446.4
NM_001015405.4,0.0,12098.0,100,96.214,XM_016174407.3
NM_001015473.3,0.0,3293.0,100,96.907,XM_039298298.2
NM_001015476.3,8.47e-176,616.0,66,89.613,XM_016184427.3
NM_001031870.2,0.0,1838.0,100,95.141,XM_002106261.4
NM_001031880.3,0.0,4012.0,89,94.298,XM_039297558.2
NM_001031898.3,0.0,3565.0,79,86.701,XM_016172451.3
NM_001031903.2,0.0,1537.0,54,95.983,XM_039296694.2
NM_001031912.2,0.0,1408.0,67,96.279,XM_039297862.2
NM_001031915.2,0.0,1408.0,67,96.279,XM_039297862.2
NM_001031917.2,0.0,5291.0,59,96.427,XM_016174248.3
NM_001031918.2,0.0,5291.0,59,96.427,XM_016174248.3
NM_001031920.3,2.7399999999999997e-140,497.0,88,91.944,XM_016170574.3
NM_001031923.2,0.0,2715.0,61,95.118,XM_016170596.2
NM_001031924.2,0.0,2715.0,60,95.118,XM_016170596.2
NM_001031927.2,0.0,6397.0,69,96.261,XM_016174350.3
NM_001031929.2,0.0,6397.0,69,96.261,XM_016174350.3
NM_001031934.1,0.0,1906.0,93,95.191,XM_002083524.3
NM_001031935.2,0.0,2353.0,98,96.301,XM_016170818.3
NM_001031936.1,0.0,699.0,100,89.871,XM_016184745.3
NM_001031937.1,0.0,676.0,89,92.934,XM_039293278.2
NM_001031938.3,0.0,3698.0,75,96.283,XM_016170915.3
NM_001031944.2,0.0,1280.0,50,91.304,XM_039293482.2
NM_001031945.2,0.0,1280.0,50,91.304,XM_039293482.2
NM_001031948.1,0.0,832.0,100,94.139,XM_002084245.4
NM_001031949.1,0.0,865.0,100,95.556,XM_002084246.4
NM_001031950.3,0.0,983.0,59,93.778,XM_016169856.3
NM_001031951.3,0.0,4128.0,100,95.06,XM_002084265.3
NM_001031954.2,0.0,952.0,94,95.326,XM_002084620.4
NM_001031955.2,0.0,1112.0,70,96.439,XM_016182976.3
NM_001031957.1,0.0,760.0,100,92.037,XM_002085028.3
NM_001031958.2,0.0,765.0,100,92.365,XM_039294156.2
NM_001031959.2,0.0,726.0,62,93.293,XM_044923092.1
NM_001031960.1,0.0,656.0,100,89.118,XM_044922873.1
NM_001031961.2,0.0,843.0,100,94.972,XM_044923081.1
NM_001031963.1,0.0,909.0,100,93.596,XM_002085266.4
NM_001031965.1,0.0,719.0,99,89.685,XM_002085420.3
NM_001031966.2,0.0,706.0,69,92.495,XM_016173946.3
NM_001031967.2,0.0,24273.0,100,97.483,XM_016171762.3
NM_001031968.1,1.2499999999999999e-147,521.0,100,94.169,XM_002085656.4
NM_001031969.1,0.0,876.0,100,96.089,XM_002085879.3
NM_001031970.1,0.0,887.0,100,94.885,XM_016184017.3
NM_001031971.2,0.0,837.0,100,95.265,XM_016171943.3
NM_001031972.1,0.0,843.0,100,94.815,XM_002085881.3
NM_001031973.2,0.0,942.0,100,97.133,XM_002085882.1
NM_001031974.3,0.0,870.0,100,95.911,XM_002085883.2
NM_001031975.4,0.0,872.0,99,94.964,XM_002085884.3
NM_001031976.1,0.0,843.0,100,94.353,XM_002102097.3
NM_001031979.2,0.0,846.0,99,93.092,XM_002104266.4
NM_001031980.2,0.0,3548.0,100,97.457,XM_002104261.4
NM_001031988.3,0.0,2108.0,55,94.232,XM_044923357.1
NM_001031994.1,1.31e-127,455.0,93,93.729,XM_002104062.4
NM_001031995.1,0.0,933.0,100,92.901,XM_002103988.4
NM_001031996.1,0.0,887.0,100,93.878,XM_002103987.3
NM_001031997.1,0.0,728.0,94,95.032,XM_016175069.3
NM_001031998.1,0.0,926.0,100,96.92,XM_002103985.4
NM_001032003.2,0.0,876.0,81,90.208,XM_002076567.4
NM_001032005.2,0.0,1953.0,72,96.154,XM_016176969.3
NM_001032008.2,0.0,1953.0,72,96.154,XM_016176969.3
NM_001032016.2,0.0,1072.0,57,92.237,XM_002103495.4
NM_001032017.2,0.0,1072.0,57,92.237,XM_002103495.4
NM_001032031.2,0.0,3241.0,52,94.577,XM_016175670.3
NM_001032037.2,0.0,8909.0,97,97.851,XM_016174815.2
NM_001032038.1,0.0,776.0,100,92.308,XM_002104752.4
NM_001032039.3,0.0,3325.0,56,96.627,XM_039294518.2
NM_001032042.2,0.0,811.0,93,92.705,XM_044923283.1
NM_001032043.1,2.92e-154,544.0,100,91.99,XM_016173396.3
NM_001032044.2,0.0,1243.0,99,96.311,XM_002077563.4
NM_001032045.2,0.0,760.0,100,92.179,XM_016179215.3
NM_001032046.1,0.0,708.0,99,90.858,XM_002077709.4
NM_001032047.3,0.0,1051.0,100,90.5,XM_016179193.3
NM_001032050.2,0.0,1291.0,64,95.985,XM_044922963.1
NM_001032060.2,0.0,6338.0,98,96.212,XM_002078632.4
NM_001032064.1,0.0,804.0,100,93.37,XM_002078737.3
NM_001032065.3,0.0,1210.0,47,96.336,XM_002078912.4
NM_001032066.3,0.0,1210.0,47,96.336,XM_002078912.4
NM_001032076.2,0.0,4154.0,97,90.921,XM_016179992.2
NM_001032077.2,0.0,2431.0,100,98.207,XM_002079066.4
NM_001032082.3,0.0,3225.0,100,92.995,XM_016180000.3
NM_001032084.2,0.0,881.0,100,96.276,XM_016180103.3
NM_001032085.2,0.0,998.0,100,91.553,XM_002079316.4
NM_001032086.2,0.0,1014.0,89,95.86,XM_002079317.3
NM_001032087.1,0.0,760.0,100,92.179,XM_016174446.3
NM_001032088.1,0.0,676.0,100,92.243,XM_002079319.3
NM_001032089.3,0.0,865.0,100,94.035,XM_016180104.3
NM_001032091.3,0.0,1668.0,69,94.312,XM_016178295.3
NM_001032092.3,0.0,1668.0,69,94.312,XM_016178295.3
NM_001032098.2,0.0,1661.0,48,96.875,XM_039298660.2
NM_001032102.2,0.0,795.0,69,94.073,XM_002079476.4
NM_001032103.2,1.28e-55,219.0,16,77.449,XM_016180163.3
NM_001032105.1,0.0,750.0,100,91.575,XM_002079691.4
NM_001032106.2,0.0,17019.0,96,97.335,XM_039298530.2
NM_001032111.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032112.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032113.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032114.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032115.2,0.0,1496.0,91,95.797,XM_039298407.2
NM_001032116.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032117.2,2.1100000000000002e-179,627.0,92,96.579,XM_039296788.2
NM_001032118.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032119.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032120.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032121.2,0.0,808.0,99,97.474,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032122.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032123.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032124.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032125.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032126.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032127.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032128.2,0.0,1502.0,91,95.905,XM_039298407.2
NM_001032129.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032130.2,0.0,833.0,99,97.358,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032131.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032132.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032133.2,0.0,1496.0,91,95.797,XM_039298407.2
NM_001032134.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032135.2,0.0,833.0,99,97.358,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032136.2,0.0,689.0,100,96.86,XM_039296788.2
NM_001032137.2,0.0,778.0,99,93.75,XM_039295138.2
NM_001032138.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032139.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032140.2,0.0,833.0,99,97.358,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032141.2,0.0,689.0,100,96.86,XM_039296788.2
NM_001032142.2,0.0,778.0,99,93.75,XM_039295138.2
NM_001032143.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032144.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032145.2,0.0,833.0,99,97.358,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032146.2,0.0,689.0,100,96.86,XM_039296788.2
NM_001032147.2,0.0,778.0,99,93.75,XM_039295138.2
NM_001032148.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032149.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032150.2,0.0,833.0,99,97.358,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032151.2,0.0,689.0,100,96.86,XM_039296788.2
NM_001032152.2,0.0,778.0,99,93.75,XM_039295138.2
NM_001032153.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032154.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032155.2,0.0,833.0,99,97.358,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032156.2,0.0,689.0,100,96.86,XM_039296788.2
NM_001032157.2,0.0,778.0,99,93.75,XM_039295138.2
NM_001032158.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032159.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032160.2,0.0,839.0,99,97.561,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032161.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032162.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032163.2,0.0,1474.0,91,95.366,XM_039298407.2
NM_001032164.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032165.2,0.0,839.0,99,97.561,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032166.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032167.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032168.2,0.0,1502.0,91,95.905,XM_039298407.2
NM_001032169.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032170.2,0.0,839.0,99,97.561,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032171.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032172.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032173.2,0.0,1502.0,91,95.905,XM_039298407.2
NM_001032174.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032175.2,0.0,839.0,99,97.561,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032176.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032177.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032178.2,0.0,1502.0,91,95.905,XM_039298407.2
NM_001032179.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032180.2,0.0,839.0,99,97.561,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032181.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032182.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032183.2,0.0,1502.0,91,95.905,XM_039298407.2
NM_001032184.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032185.2,0.0,839.0,99,97.561,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032186.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032187.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032188.2,0.0,1502.0,91,95.905,XM_039298407.2
NM_001032189.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032190.2,0.0,839.0,99,97.561,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032191.2,0.0,695.0,100,97.101,XM_039296788.2
NM_001032192.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032193.2,0.0,1496.0,91,95.797,XM_039298407.2
NM_001032194.2,0.0,804.0,78,98.052,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032195.2,0.0,833.0,99,97.358,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032196.1,0.0,693.0,76,97.761,"XM_039296788.2, XM_039296777.2, XM_039296772.2, XM_039296770.2, XM_039296765.2, XM_039296764.2"
NM_001032197.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032198.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032199.2,0.0,804.0,78,98.052,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032200.2,0.0,833.0,99,97.358,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032201.1,0.0,693.0,76,97.761,"XM_039296788.2, XM_039296777.2, XM_039296772.2, XM_039296770.2, XM_039296765.2, XM_039296764.2"
NM_001032202.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032203.2,0.0,1491.0,91,95.69,XM_039298407.2
NM_001032204.2,0.0,804.0,78,98.052,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032205.2,0.0,833.0,99,97.358,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032206.1,0.0,693.0,76,97.761,"XM_039296788.2, XM_039296777.2, XM_039296772.2, XM_039296770.2, XM_039296765.2, XM_039296764.2"
NM_001032207.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032208.2,0.0,1496.0,91,95.797,XM_039298407.2
NM_001032209.2,0.0,809.0,78,98.268,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032210.2,0.0,839.0,99,97.561,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032211.1,0.0,688.0,76,97.512,"XM_039296788.2, XM_039296777.2, XM_039296772.2, XM_039296770.2, XM_039296765.2, XM_039296764.2"
NM_001032212.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032213.2,0.0,1502.0,91,95.905,XM_039298407.2
NM_001032214.2,0.0,804.0,78,98.052,"XM_039298422.2, XM_039298421.2, XM_039298206.2, XM_039298205.2, XM_039298204.2, XM_039298203.2, XM_039296745.2, XM_039296735.2, XM_039296730.2, XM_039296727.2, XM_039296722.2, XM_002077208.4"
NM_001032215.2,0.0,839.0,99,97.561,"XM_039298419.2, XM_039298418.2, XM_039298417.2, XM_039298416.2, XM_039298415.2, XM_039298202.2, XM_039296716.2, XM_039296706.2, XM_039296698.2, XM_039296692.2, XM_039296686.2"
NM_001032216.2,0.0,784.0,99,93.939,XM_039295138.2
NM_001032217.3,0.0,2111.0,68,93.82,XM_002080127.4
NM_001032222.1,0.0,769.0,97,92.086,XM_016167454.3
NM_001032224.2,0.0,2145.0,99,95.931,XM_002080356.4
NM_001032225.4,9.9e-137,484.0,100,95.161,XM_016167175.2
NM_001032226.1,0.0,782.0,100,92.924,XM_016167169.3
NM_001032227.1,1.33e-157,555.0,99,93.767,XM_039292623.2
NM_001032228.1,0.0,723.0,100,91.248,XM_002080765.4
NM_001032230.3,0.0,2098.0,95,96.743,XM_016167820.3
NM_001032232.3,0.0,4826.0,100,97.553,XM_016167818.3
NM_001032234.2,0.0,837.0,100,96.627,XM_016167902.3
NM_001032235.1,1.78e-156,551.0,89,97.516,XM_039291819.2
NM_001032238.1,0.0,817.0,100,93.048,XM_016167920.3
NM_001032239.1,0.0,870.0,100,95.264,XM_002081176.3
NM_001032240.2,0.0,959.0,100,92.478,XM_039292153.2
NM_001032241.2,0.0,2111.0,64,96.905,XM_002081189.4
NM_001032242.2,0.0,2111.0,64,96.905,XM_002081189.4
NM_001032243.1,0.0,701.0,97,90.962,XM_044922547.1
NM_001032244.2,0.0,4397.0,73,96.718,XM_016182174.3
NM_001032246.2,0.0,979.0,61,97.232,XM_002081366.4
NM_001032249.4,0.0,9952.0,95,96.469,XM_039292066.2
NM_001032253.2,0.0,3232.0,49,94.805,XM_002081736.4
NM_001032257.2,0.0,3232.0,49,94.805,XM_002081736.4
NM_001032264.4,0.0,3522.0,86,98.215,XM_016168334.3
NM_001032267.1,0.0,728.0,100,90.976,XM_002082090.4
NM_001032271.2,0.0,1537.0,60,95.01,XM_002082307.4
NM_001032272.4,0.0,1236.0,69,96.047,XM_002082325.4
