Dmel,E_value,Score,query cover,identity,Dsim
NP_001027202.1,0.0,949.0,100,91.815,XP_002102762.1
NP_001027208.1,0.0,2696.0,100,99.767,XP_016035992.1
NP_001027209.1,1.78e-119,335.0,100,90.055,XP_002104788.3
NP_001027210.1,0.0,1040.0,100,95.725,XP_039150452.1
NP_001027213.1,7.44e-117,327.0,100,88.827,XP_044779218.1
NP_001027214.1,4.81e-122,342.0,100,83.417,XP_016037057.1
NP_001027215.1,3.16e-138,383.0,100,98.492,XP_002077599.1
NP_001027216.2,6.469999999999999e-115,322.0,100,85.393,XP_016023011.1
NP_001027217.1,3.76e-113,318.0,100,88.764,XP_002077745.1
NP_001027218.2,4.41e-147,409.0,99,87.607,XP_016023069.1
NP_001027221.1,2.9100000000000005e-163,449.0,100,98.661,XP_044778898.1
NP_001027231.1,0.0,2444.0,100,96.931,XP_002078668.1
NP_001027235.1,5.98e-115,323.0,100,90.0,XP_002078773.1
NP_001027236.1,1e-112,315.0,100,99.351,XP_002078947.1
NP_001027237.1,2.7e-147,407.0,100,97.561,XP_002078948.1
NP_001027247.1,0.0,3156.0,100,82.107,XP_016024647.1
NP_001027248.1,0.0,600.0,100,99.344,XP_002079102.1
NP_001027253.1,0.0,1237.0,99,89.412,XP_016024658.1
NP_001027255.2,1.1e-130,362.0,100,98.876,XP_016024902.1
NP_001027256.1,1.45e-129,360.0,100,92.265,XP_002079352.3
NP_001027257.1,1.55e-136,378.0,100,96.257,XP_002079353.1
NP_001027258.1,3.54e-116,326.0,100,86.517,XP_016024904.1
NP_001027259.1,3.06e-106,299.0,100,89.241,XP_002079355.1
NP_001027260.3,7.32e-130,361.0,100,91.534,XP_016024905.2
NP_001027262.1,0.0,714.0,100,95.014,XP_016024933.1
NP_001027263.1,1.07e-104,294.0,100,95.946,XP_002079393.1
NP_001027265.2,3.4099999999999996e-55,171.0,89,51.572,XP_016023011.1
NP_001027269.1,0.0,512.0,100,98.828,XP_016024999.1
NP_001027273.1,3.8699999999999996e-119,333.0,100,91.908,XP_002079512.1
NP_001027276.1,6.72e-120,335.0,100,88.398,XP_002079727.1
NP_001027277.1,0.0,6425.0,100,99.742,XP_039154464.1
NP_001027282.1,1.7700000000000002e-129,366.0,100,95.703,XP_002077499.4
NP_001027283.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027284.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027285.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027286.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027287.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027288.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027289.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027290.1,7.39e-130,367.0,100,95.703,XP_002077499.4
NP_001027291.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027292.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027293.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027294.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027295.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027296.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027297.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027298.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027299.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027300.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027301.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027302.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027303.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027304.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027305.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027306.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027307.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027308.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027309.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027310.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027311.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027312.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027313.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027314.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027315.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027316.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027317.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027318.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027319.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027320.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027321.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027322.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027323.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027324.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027325.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027326.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027327.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027328.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027329.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027330.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027331.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027332.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027333.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027334.1,1.5e-127,361.0,100,94.922,XP_002077499.4
NP_001027335.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027336.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027337.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027338.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027339.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027340.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
NP_001027341.1,1.09e-85,244.0,100,100.0,"XP_039154353.1, XP_039154352.1, XP_039154351.1, XP_039154350.1, XP_039154349.1, XP_039154136.1, XP_039154135.1, XP_039154134.1, XP_039154133.1, XP_039154132.1, XP_039152652.1, XP_039152650.1, XP_039152640.1, XP_039152632.1, XP_039152630.1, XP_039152626.1, XP_039152620.1, XP_002077189.3"
NP_001027342.1,1.3e-68,199.0,100,100.0,"XP_039154363.1, XP_039154361.1, XP_039154360.1, XP_039154147.1, XP_039154146.1, XP_039154145.1, XP_039154144.1, XP_039154143.1, XP_039154142.1, XP_039152722.1, XP_039152711.1, XP_039152706.1, XP_039152704.1, XP_039152699.1, XP_039152698.1, XP_039154362.1, XP_016034695.1"
NP_001027343.1,3.4100000000000003e-97,274.0,100,100.0,XP_039154347.1
NP_001027344.1,1.57e-158,439.0,100,96.094,XP_002077499.4
NP_001027345.1,5.52e-87,248.0,100,100.0,"XP_039154141.1, XP_039154358.1, XP_039154357.1, XP_039154356.1, XP_039154355.1, XP_039154354.1, XP_039154140.1, XP_039154139.1, XP_039154138.1, XP_039154137.1, XP_039152693.1, XP_039152679.1, XP_039152669.1, XP_039152664.1, XP_039152661.1, XP_039152656.1, XP_002077244.1"
