Dsim,E_value,Score,query cover,identity,Dmel
XP_002076560.2,0.0,2112.0,98,96.03,NP_001287135.1
XP_002076563.1,6.7e-87,288.0,27,96.859,NP_001262195.1
XP_002076576.1,1.9299999999999998e-95,270.0,100,100.0,NP_651552.1
XP_002076580.2,0.0,527.0,100,98.819,NP_651556.2
XP_002076583.1,9.069999999999999e-23,79.7,100,100.0,NP_650882.1
XP_002076588.2,0.0,1019.0,100,89.048,NP_649510.2
XP_002076591.1,2.55e-127,353.0,97,98.266,NP_649790.1
XP_002076593.3,0.0,1560.0,100,99.472,NP_731267.1
XP_002076603.1,5.2e-121,338.0,99,84.783,NP_001027174.1
XP_002076617.2,5.14e-39,129.0,61,89.474,NP_650371.1
XP_002076618.1,5.0699999999999996e-46,146.0,100,76.774,NP_650372.1
XP_002076620.1,1.93e-45,144.0,100,86.62,NP_731917.1
XP_002076627.2,0.0,1284.0,100,98.438,NP_732032.1
XP_002076630.2,0.0,1303.0,100,98.442,NP_650596.1
XP_002076633.2,0.0,607.0,100,95.098,NP_732260.2
XP_002076634.1,9.13e-63,184.0,100,91.837,NP_732261.1
XP_002076635.1,1.6000000000000002e-173,476.0,100,92.4,NP_732262.1
XP_002076646.2,0.0,573.0,100,95.37,NP_524408.1
XP_002076649.1,3.38e-65,190.0,100,96.939,NP_001303434.1
XP_002076651.2,0.0,1093.0,100,89.244,NP_732699.1
XP_002076652.2,0.0,1020.0,100,84.628,NP_732700.2
XP_002076656.1,1.5e-43,135.0,100,74.725,NP_651112.1
XP_002076657.2,1.51e-157,435.0,88,92.377,NP_651113.1
XP_002076658.2,0.0,1097.0,100,96.881,NP_651147.2
XP_002076660.1,0.0,806.0,100,98.276,NP_651266.1
XP_002076661.1,4.09e-100,282.0,100,98.561,NP_651267.1
XP_002076668.2,0.0,1215.0,100,95.895,NP_733206.3
XP_002076669.1,0.0,538.0,100,97.417,NP_651548.1
XP_002076680.1,0.0,1135.0,100,97.691,NP_477481.1
XP_002076684.1,6.28e-170,467.0,100,99.585,NP_651829.1
XP_002076714.1,1.02e-125,349.0,100,100.0,NP_001036640.1
XP_002076722.2,0.0,1297.0,100,89.444,NP_524626.1
XP_002076726.1,0.0,709.0,100,98.261,NP_001245695.1
XP_002076727.1,0.0,1352.0,100,98.346,NP_573081.1
XP_002076729.1,8.91e-41,126.0,100,100.0,NP_524682.1
XP_002076731.2,0.0,762.0,100,97.082,NP_573084.1
XP_002076732.1,0.0,1277.0,100,95.89,NP_996454.1
XP_002076733.1,0.0,655.0,100,93.976,NP_001334682.1
XP_002076736.1,0.0,514.0,100,94.465,NP_573088.1
XP_002076739.1,0.0,862.0,100,98.801,NP_573269.1
XP_002076740.1,1.57e-53,160.0,100,93.902,NP_001245738.1
XP_002076744.3,7.720000000000001e-88,252.0,100,78.431,NP_525094.1
XP_002076747.1,0.0,659.0,100,96.687,NP_573039.1
XP_002076753.1,0.0,520.0,100,98.456,NP_652605.1
XP_002076759.1,0.0,568.0,99,79.155,NP_608411.2
XP_002076767.1,2.89e-17,69.3,100,91.579,NP_652546.2
XP_002076785.2,0.0,544.0,100,89.037,NP_001285007.1
XP_002076787.1,0.0,1160.0,100,99.82,NP_525031.1
XP_002076788.1,8.000000000000001e-66,192.0,100,83.178,NP_569877.1
XP_002076789.2,2.7700000000000003e-79,228.0,100,89.394,NP_569878.1
XP_002076790.2,3.03e-142,394.0,100,97.015,NP_001284766.1
XP_002076792.2,0.0,917.0,100,95.882,NP_569895.1
XP_002076799.2,0.0,555.0,100,96.479,NP_726740.1
XP_002076802.2,1.02e-63,188.0,100,93.966,NP_569925.2
XP_002076803.1,1.49e-158,436.0,100,99.526,NP_001284786.1
XP_002076807.1,2.56e-98,277.0,100,97.857,NP_569932.1
XP_002076808.1,1.54e-161,444.0,100,96.833,NP_001245468.1
XP_002076817.1,6.8e-115,325.0,100,77.619,NP_726762.1
XP_002076818.1,2.43e-66,193.0,100,97.0,NP_001259144.1
XP_002076828.1,1.98e-88,254.0,100,90.506,NP_001259169.1
XP_002076830.1,0.0,1385.0,100,97.126,NP_569973.1
XP_002076841.1,0.0,1463.0,100,97.503,NP_524901.2
XP_002076843.1,0.0,608.0,100,96.711,NP_001245504.1
XP_002076847.1,0.0,719.0,100,96.543,NP_525055.1
XP_002076849.2,0.0,511.0,100,93.846,NP_570016.1
XP_002076854.1,8.179999999999999e-67,205.0,100,94.118,NP_570042.1
XP_002076860.1,3.9800000000000005e-64,188.0,100,94.949,NP_652513.1
XP_002076868.1,0.0,1145.0,100,97.246,NP_572207.1
XP_002076872.1,0.0,722.0,100,98.584,NP_511044.1
XP_002076873.2,1.08e-156,431.0,100,98.611,NP_511045.1
XP_002076886.2,1e-13,59.7,94,48.387,NP_001284953.1
XP_002076889.1,0.0,625.0,100,99.371,NP_572343.1
XP_002076891.2,0.0,791.0,100,98.182,NP_001162683.1
XP_002076898.1,0.0,835.0,100,99.268,NP_001284987.1
XP_002076903.2,0.0,900.0,99,82.505,NP_572431.2
XP_002076905.1,0.0,762.0,100,95.074,NP_572455.1
XP_002076906.1,0.0,598.0,100,90.312,NP_572456.1
XP_002076907.2,0.0,827.0,100,96.163,NP_511081.1
XP_002076912.2,6.09e-110,311.0,96,90.164,NP_727262.2
XP_002076913.2,0.0,1089.0,100,99.619,NP_001285017.1
XP_002076916.1,2.87e-143,395.0,100,100.0,NP_001259341.1
XP_002076917.2,3.9000000000000005e-80,229.0,100,100.0,NP_001259344.1
XP_002076921.1,0.0,1106.0,100,98.903,NP_001259370.1
XP_002076922.1,1.5099999999999998e-150,414.0,100,99.5,NP_572526.1
XP_002076925.2,0.0,572.0,90,97.902,NP_524644.1
XP_002076927.1,4.89e-79,227.0,100,95.726,NP_001285057.1
XP_002076935.1,1.34e-44,137.0,100,94.937,NP_001285065.1
XP_002076936.1,0.0,699.0,100,98.31,NP_572584.1
XP_002076942.2,0.0,803.0,100,98.724,NP_511107.1
XP_002076955.1,6.92e-82,234.0,100,98.261,NP_001245618.1
XP_002076958.1,3.96e-106,298.0,100,94.702,NP_001285114.1
XP_002076959.1,0.0,1729.0,100,98.614,NP_727502.1
XP_002076960.1,1.18e-63,188.0,100,90.984,NP_572701.1
XP_002076963.1,1.14e-139,386.0,100,98.942,NP_511116.2
XP_002076966.1,9.960000000000001e-58,172.0,87,95.455,NP_524846.1
XP_002076967.2,0.0,1150.0,100,89.062,NP_996412.1
XP_002076972.1,1.19e-138,384.0,100,97.97,NP_572807.1
XP_002076980.1,2.22e-130,362.0,100,95.531,NP_001285170.1
XP_002076981.1,0.0,525.0,100,98.456,NP_572840.1
XP_002076983.1,6.07e-85,244.0,100,77.124,NP_572847.2
XP_002076985.1,0.0,931.0,100,90.514,NP_001285181.1
XP_002076986.1,0.0,696.0,100,100.0,NP_477162.1
XP_002076987.1,1.2399999999999999e-176,484.0,100,99.167,NP_001285183.1
XP_002076993.2,2.4700000000000003e-163,456.0,100,93.082,NP_727714.1
XP_002076994.1,0.0,580.0,100,99.298,NP_572898.1
XP_002076995.2,0.0,1427.0,100,97.595,NP_727720.1
XP_002076996.1,0.0,1341.0,100,96.0,NP_572902.1
XP_002076998.2,0.0,1599.0,100,98.859,NP_572915.1
XP_002077016.1,4.99e-40,127.0,100,93.204,NP_572984.1
XP_002077023.2,9.109999999999999e-126,351.0,99,93.717,NP_001285272.1
XP_002077031.1,0.0,1029.0,100,99.798,NP_996469.1
XP_002077032.2,0.0,1642.0,100,98.286,NP_573099.1
XP_002077034.2,0.0,1037.0,100,87.863,NP_573100.1
XP_002077035.1,0.0,1259.0,100,96.945,NP_573105.1
XP_002077036.1,0.0,2587.0,100,93.376,NP_524617.3
XP_002077042.1,0.0,855.0,99,100.0,NP_001245708.1
XP_002077045.1,0.0,2048.0,99,95.751,NP_001259610.1
XP_002077049.2,9.53e-124,344.0,100,100.0,NP_001285334.1
XP_002077062.1,1.3800000000000002e-79,229.0,100,89.844,NP_573243.1
XP_002077070.2,7.839999999999999e-140,386.0,100,100.0,NP_001033853.1
XP_002077074.1,6.44e-100,282.0,100,93.793,NP_728153.2
XP_002077081.1,4.66e-86,249.0,90,87.821,NP_573309.1
XP_002077082.1,0.0,600.0,100,86.686,NP_573314.1
XP_002077083.1,2.6800000000000003e-164,451.0,100,100.0,NP_573315.1
XP_002077087.1,0.0,1114.0,100,99.257,NP_523403.2
XP_002077093.1,2.67e-178,488.0,100,99.587,NP_001285416.1
XP_002077103.1,0.0,754.0,100,96.247,NP_001285425.1
XP_002077111.1,6.71e-143,396.0,100,92.891,NP_573383.1
XP_002077119.2,0.0,1172.0,100,96.61,NP_001259713.1
XP_002077121.2,0.0,766.0,100,98.677,NP_001285452.1
XP_002077124.2,0.0,1162.0,100,88.062,NP_001245761.1
XP_002077126.1,3.84e-176,486.0,100,83.217,NP_608345.2
XP_002077127.1,3.53e-53,160.0,100,95.283,NP_001259726.1
XP_002077137.1,4.74e-41,127.0,100,93.651,NP_652293.1
XP_002077141.3,8.680000000000001e-116,326.0,99,86.592,NP_728367.3
XP_002077145.1,0.0,540.0,100,89.873,NP_001285511.1
XP_002077149.1,6.58e-128,356.0,100,95.676,NP_608439.2
XP_002077156.2,0.0,1018.0,97,94.896,NP_608457.1
XP_002077162.2,6e-132,369.0,99,84.091,NP_608471.1
XP_002077164.2,0.0,799.0,100,88.262,NP_001188370.1
XP_002077166.1,0.0,702.0,100,90.995,NP_001015254.1
XP_002077167.1,2.0499999999999997e-90,256.0,100,97.638,NP_001015255.1
XP_002077189.3,1.07e-85,244.0,100,100.0,"NP_001027331.1, NP_001027341.1, NP_001027351.1, NP_001027311.1, NP_001027386.1, NP_001027336.1, NP_001027326.1, NP_001027346.1, NP_001027306.1, NP_001027301.1, NP_001027292.1, NP_001027381.1, NP_001027361.1, NP_001027321.1, NP_001027316.1, NP_001027356.1, NP_724343.1"
XP_002077196.2,0.0,511.0,100,96.85,NP_524689.2
XP_002077204.1,1.15e-175,482.0,100,93.927,NP_001036313.1
XP_002077222.1,0.0,691.0,100,87.855,NP_728315.1
XP_002077227.1,1.94e-58,172.0,100,100.0,NP_001104426.1
XP_002077241.2,3.4899999999999997e-159,438.0,100,95.089,NP_001036321.2
XP_002077244.1,5.43e-87,248.0,100,100.0,"NP_001027345.1, NP_001027320.1, NP_001027355.1, NP_001027330.1, NP_001027283.1, NP_001027350.1, NP_001027340.1, NP_001027385.1, NP_001027370.1, NP_001027310.1, NP_001027296.1, NP_001027325.1, NP_001027335.1, NP_001027287.1, NP_001027305.1, NP_001027365.1, NP_001027380.1, NP_001027300.1, NP_001027291.1, NP_001027315.1, NP_001027360.1, NP_001027375.1, NP_724342.1"
XP_002077266.1,2e-109,310.0,98,83.422,NP_608385.1
XP_002077271.1,0.0,744.0,100,95.503,NP_001036448.1
XP_002077283.2,0.0,553.0,100,98.889,NP_524001.2
XP_002077302.1,2.1899999999999998e-135,377.0,100,84.186,NP_727472.1
XP_002077312.3,4.83e-175,482.0,100,91.513,NP_651799.1
XP_002077314.2,2.3599999999999997e-68,199.0,100,87.85,NP_001246275.1
XP_002077328.2,2.15e-91,261.0,100,97.484,NP_524390.2
XP_002077330.2,0.0,763.0,100,98.925,NP_001287516.1
XP_002077351.2,1.07e-91,263.0,100,95.954,NP_572587.1
XP_002077352.2,0.0,545.0,100,99.242,NP_511106.1
XP_002077360.1,8.29e-114,318.0,100,99.383,NP_572586.2
XP_002077380.3,1.05e-157,441.0,98,75.172,NP_001286682.1
XP_002077476.1,1.7099999999999997e-67,196.0,100,98.936,NP_001286692.1
XP_002077492.2,1.23e-66,203.0,100,59.735,NP_572585.3
XP_002077499.4,1.55e-158,439.0,100,96.094,"NP_001027354.1, NP_001027314.1, NP_001027384.1, NP_001027344.1, NP_001027339.1, NP_001027329.1, NP_001027349.1, NP_001027309.1, NP_001027359.1, NP_001027324.1, NP_001027295.1, NP_001027299.1, NP_001027286.1, NP_001027304.1, NP_001027364.1, NP_724341.1, NP_001027319.1"
XP_002077508.2,8.33e-61,179.0,97,84.694,NP_788468.1
XP_002077537.2,0.0,627.0,100,97.428,NP_608535.1
XP_002077540.3,0.0,716.0,100,96.685,NP_569871.2
XP_002077547.2,0.0,618.0,90,98.387,NP_610231.2
XP_002077579.1,0.0,998.0,100,94.831,NP_608487.1
XP_002077580.1,0.0,711.0,99,96.667,NP_524820.2
XP_002077582.2,0.0,755.0,100,97.326,NP_608490.1
XP_002077583.2,0.0,1297.0,100,97.689,NP_608491.3
XP_002077587.3,0.0,1445.0,100,99.857,NP_995603.2
XP_002077590.1,0.0,817.0,100,94.471,NP_722608.2
XP_002077591.1,0.0,825.0,100,96.875,NP_001259800.1
XP_002077592.1,1.91e-152,422.0,100,92.05,NP_608497.1
XP_002077596.1,0.0,998.0,100,97.0,NP_608500.1
XP_002077598.1,0.0,729.0,100,99.712,NP_001285543.1
XP_002077599.1,3.12e-138,383.0,100,98.492,NP_001027215.1
XP_002077602.1,4.05e-180,493.0,100,96.371,NP_523440.1
XP_002077604.2,0.0,1464.0,100,98.322,NP_001259806.1
XP_002077608.1,0.0,592.0,100,95.302,NP_001259808.1
XP_002077610.1,0.0,1947.0,100,97.727,NP_001245821.1
XP_002077611.2,0.0,1382.0,100,99.85,NP_608509.1
XP_002077612.1,0.0,743.0,100,90.778,NP_608511.1
XP_002077613.1,3.06e-149,413.0,100,91.855,NP_001285544.1
XP_002077615.1,0.0,2135.0,100,98.649,NP_523443.1
XP_002077616.1,0.0,562.0,100,99.636,NP_001285546.1
XP_002077620.1,3.52e-88,251.0,100,97.6,NP_608516.1
XP_002077621.1,0.0,531.0,100,99.621,NP_001259814.1
XP_002077622.1,0.0,1003.0,100,99.184,NP_477354.1
XP_002077625.1,0.0,532.0,100,94.465,NP_608517.1
XP_002077626.1,0.0,550.0,100,93.141,NP_608518.1
XP_002077628.2,0.0,1109.0,100,86.573,NP_722627.1
XP_002077629.1,0.0,956.0,100,97.689,NP_722628.1
XP_002077632.1,0.0,2285.0,100,92.601,NP_608520.1
XP_002077633.1,0.0,2357.0,100,99.114,NP_476708.1
XP_002077635.1,0.0,1415.0,100,99.143,NP_477329.1
XP_002077636.1,0.0,694.0,100,96.83,NP_608521.1
XP_002077637.1,2.01e-76,220.0,100,100.0,NP_001259822.1
XP_002077638.1,1.82e-102,288.0,100,97.163,NP_608522.1
XP_002077639.1,3.41e-144,398.0,100,98.446,NP_608523.1
XP_002077643.2,0.0,731.0,100,99.435,NP_608525.1
XP_002077644.1,0.0,1385.0,100,99.25,NP_608526.1
XP_002077648.1,0.0,870.0,100,98.832,NP_722636.1
XP_002077654.1,1.76e-136,377.0,100,100.0,NP_608531.1
XP_002077656.2,0.0,1425.0,100,98.714,NP_608533.1
XP_002077657.2,0.0,1005.0,100,98.98,NP_477294.2
XP_002077658.1,2.48e-113,317.0,100,100.0,NP_608536.1
XP_002077659.1,1.2900000000000001e-161,444.0,100,96.33,NP_001285550.1
XP_002077660.1,0.0,716.0,100,98.039,NP_477330.1
XP_002077661.2,0.0,852.0,100,99.761,NP_001137762.2
XP_002077663.1,8.49e-71,207.0,100,95.489,NP_608538.2
XP_002077664.2,9.82e-174,477.0,100,89.96,NP_608539.2
XP_002077666.1,0.0,525.0,100,92.193,NP_652642.2
XP_002077669.1,0.0,1261.0,100,96.313,NP_524925.1
XP_002077670.2,0.0,1170.0,100,99.136,NP_001162844.1
XP_002077673.2,0.0,935.0,90,100.0,NP_523448.2
XP_002077674.1,0.0,1174.0,100,97.727,NP_001259842.1
XP_002077675.2,0.0,1577.0,100,98.568,NP_477213.1
XP_002077676.1,4.29e-144,398.0,100,96.0,NP_722652.1
XP_002077677.1,0.0,1011.0,100,94.62,NP_608544.1
XP_002077678.1,0.0,1465.0,100,97.071,NP_608545.1
XP_002077680.2,0.0,602.0,100,96.633,NP_001259844.1
XP_002077681.2,0.0,511.0,100,93.536,NP_608547.2
XP_002077682.1,0.0,520.0,100,99.216,NP_608548.1
XP_002077684.1,0.0,1077.0,100,93.908,NP_001162848.1
XP_002077685.1,0.0,687.0,100,98.225,NP_001259846.1
XP_002077686.1,0.0,682.0,100,98.792,NP_477265.1
XP_002077687.1,3.2799999999999996e-89,255.0,100,93.793,NP_001259849.1
XP_002077694.2,0.0,1932.0,99,98.191,NP_608557.4
XP_002077698.1,4.35e-61,186.0,94,79.31,NP_722673.1
XP_002077704.1,0.0,843.0,100,99.27,NP_608563.1
XP_002077706.2,0.0,2792.0,100,96.932,NP_001259853.1
XP_002077710.1,0.0,1420.0,100,98.549,NP_608569.1
XP_002077711.1,0.0,861.0,99,81.733,NP_608570.1
XP_002077712.3,0.0,713.0,100,91.48,NP_001259855.1
XP_002077716.1,0.0,617.0,100,98.997,NP_608574.2
XP_002077717.1,2.29e-135,374.0,100,100.0,NP_608575.1
XP_002077719.1,0.0,556.0,100,96.403,NP_608577.2
XP_002077722.1,5.85e-114,320.0,100,95.0,NP_608580.2
XP_002077724.1,2.38e-86,247.0,100,92.086,NP_722687.1
XP_002077725.2,0.0,980.0,100,89.885,NP_608581.2
XP_002077729.1,0.0,929.0,100,98.242,NP_608584.1
XP_002077733.1,5.91e-83,242.0,93,78.771,NP_608587.1
XP_002077737.1,1.9299999999999997e-104,293.0,100,99.291,NP_608588.2
XP_002077738.2,0.0,1358.0,97,96.237,NP_608590.2
XP_002077740.1,0.0,1321.0,100,96.018,NP_001259865.1
XP_002077742.1,1.47e-156,430.0,100,99.048,NP_476998.1
XP_002077745.1,3.62e-113,318.0,100,88.764,NP_001027217.1
XP_002077749.1,2.53e-169,465.0,100,95.0,NP_608598.1
XP_002077750.1,5.59e-138,382.0,100,93.75,NP_722702.1
XP_002077751.3,4.39e-168,461.0,100,99.554,NP_001259867.1
XP_002077753.3,0.0,2994.0,100,98.77,NP_001259868.1
XP_002077755.1,0.0,785.0,100,91.169,NP_001259869.1
XP_002077756.1,0.0,804.0,100,97.037,NP_787961.1
XP_002077757.3,0.0,788.0,98,94.634,NP_001259870.1
XP_002077758.1,0.0,802.0,100,97.964,NP_722707.1
XP_002077760.1,0.0,722.0,92,99.14,NP_001259871.1
XP_002077761.2,2.3900000000000002e-133,370.0,100,91.667,NP_608603.1
XP_002077763.1,0.0,776.0,100,92.695,NP_523453.1
XP_002077765.1,0.0,1324.0,100,98.331,NP_608605.1
XP_002077769.1,5.7e-148,412.0,100,86.853,NP_608609.1
XP_002077774.1,7.27e-166,456.0,99,95.671,NP_001285565.1
XP_002077775.1,0.0,656.0,100,99.688,NP_608616.2
XP_002077776.1,1.7e-180,494.0,100,99.18,NP_001259881.1
XP_002077779.1,0.0,1093.0,100,98.694,NP_608612.3
XP_002077780.2,4.75e-127,353.0,100,96.133,NP_608613.1
XP_002077782.1,0.0,797.0,100,100.0,NP_608619.1
XP_002077783.1,3.51e-86,246.0,100,95.312,NP_608620.1
XP_002077785.1,7.91e-69,202.0,100,79.365,NP_608621.1
XP_002077786.1,0.0,677.0,100,87.206,NP_722732.2
XP_002077787.2,0.0,745.0,99,93.54,NP_001259882.1
XP_002077788.1,0.0,712.0,100,95.373,NP_722731.1
XP_002077789.1,0.0,1360.0,100,95.84,NP_722734.1
XP_002077792.1,5.769999999999999e-135,375.0,100,90.547,NP_608623.2
XP_002077795.1,0.0,511.0,99,86.842,NP_001259885.1
XP_002077799.3,0.0,1255.0,100,98.854,NP_001259891.2
XP_002077800.1,1.1299999999999999e-180,494.0,100,98.367,NP_001259892.1
XP_002077802.2,6.459999999999999e-120,335.0,89,95.238,NP_608634.1
XP_002077806.1,1.0899999999999999e-104,294.0,100,96.622,NP_608637.1
XP_002077808.1,4.11e-29,96.3,100,100.0,NP_652353.2
XP_002077809.1,5.7300000000000003e-36,114.0,100,96.875,NP_001259893.1
XP_002077812.2,0.0,2019.0,100,97.392,NP_652638.2
XP_002077813.2,9.58e-143,399.0,100,81.008,NP_001137766.1
XP_002077823.1,0.0,682.0,100,94.571,NP_001259906.1
XP_002077824.1,0.0,2411.0,100,97.561,NP_608648.1
XP_002077832.1,0.0,1215.0,100,98.807,NP_608654.1
XP_002077833.1,3.1300000000000002e-164,451.0,100,94.273,NP_476940.1
XP_002077835.1,0.0,546.0,100,93.75,NP_608655.3
