"Disease.primaryIdentifier","Disease.name","Disease.genes.primaryIdentifier","Disease.genes.symbol","Disease.genes.homologues.homologue.primaryIdentifier","Disease.genes.homologues.homologue.symbol"
"OMIM:101800","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","5573","PRKAR1A","MGI:104878","Prkar1a"
"OMIM:101800","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","5573","PRKAR1A","RGD:3391","Prkar1a"
"OMIM:101800","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","5573","PRKAR1A","WBGene00002190",""
"OMIM:101800","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","5573","PRKAR1A","ZDB-GENE-050116-2",""
"OMIM:101800","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","5573","PRKAR1A","ZDB-GENE-050417-238",""
"OMIM:101900","ACROKERATOSIS VERRUCIFORMIS","488","ATP2A2","FBgn0263006",""
"OMIM:101900","ACROKERATOSIS VERRUCIFORMIS","488","ATP2A2","MGI:88110","Atp2a2"
"OMIM:101900","ACROKERATOSIS VERRUCIFORMIS","488","ATP2A2","RGD:2174","Atp2a2"
"OMIM:101900","ACROKERATOSIS VERRUCIFORMIS","488","ATP2A2","WBGene00004736",""
"OMIM:101900","ACROKERATOSIS VERRUCIFORMIS","488","ATP2A2","ZDB-GENE-030131-867",""
"OMIM:101900","ACROKERATOSIS VERRUCIFORMIS","488","ATP2A2","ZDB-GENE-040426-702",""
"OMIM:101900","ACROKERATOSIS VERRUCIFORMIS","488","ATP2A2","ZDB-GENE-090501-2",""
"OMIM:102200","PITUITARY ADENOMA 1, MULTIPLE TYPES","9049","AIP","Dmel_CG1847",""
"OMIM:102200","PITUITARY ADENOMA 1, MULTIPLE TYPES","9049","AIP","MGI:109622","Aip"
"OMIM:102200","PITUITARY ADENOMA 1, MULTIPLE TYPES","9049","AIP","RGD:628619","Aip"
"OMIM:102200","PITUITARY ADENOMA 1, MULTIPLE TYPES","9049","AIP","WBGene00016966",""
"OMIM:102200","PITUITARY ADENOMA 1, MULTIPLE TYPES","9049","AIP","ZDB-GENE-030131-6735",""
"OMIM:102370","ACROMICRIC DYSPLASIA","2200","FBN1","MGI:95489","Fbn1"
"OMIM:102370","ACROMICRIC DYSPLASIA","2200","FBN1","RGD:620908","Fbn1"
"OMIM:102370","ACROMICRIC DYSPLASIA","2200","FBN1","ZDB-GENE-090112-3",""
"OMIM:102530","SPERMATOGENIC FAILURE 6","83893","SPATA16","MGI:1918112","Spata16"
"OMIM:102530","SPERMATOGENIC FAILURE 6","83893","SPATA16","RGD:1563726","Spata16"
"OMIM:102700","SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY","100","ADA","MGI:87916","Ada"
"OMIM:102700","SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY","100","ADA","RGD:2031","Ada"
"OMIM:102700","SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY","100","ADA","WBGene00015551",""
"OMIM:102700","SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY","100","ADA","ZDB-GENE-040718-393",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","FBgn0031462",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","FBgn0036723",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","FBgn0038258",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","FBgn0038952",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","FBgn0267385",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","MGI:97604","Pklr"
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","RGD:3336","Pklr"
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","S000000036",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","S000005874",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","WBGene00009126",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","WBGene00014001",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","ZDB-GENE-010907-1",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","ZDB-GENE-031201-4",""
"OMIM:102900","ADENOSINE TRIPHOSPHATE, ELEVATED, OF ERYTHROCYTES","5313","PKLR","ZDB-GENE-040801-230",""
"OMIM:103050","ADENYLOSUCCINASE DEFICIENCY","158","ADSL","FBgn0038467",""
"OMIM:103050","ADENYLOSUCCINASE DEFICIENCY","158","ADSL","MGI:103202","Adsl"
"OMIM:103050","ADENYLOSUCCINASE DEFICIENCY","158","ADSL","RGD:1307617","Adsl"
"OMIM:103050","ADENYLOSUCCINASE DEFICIENCY","158","ADSL","S000004351",""
"OMIM:103050","ADENYLOSUCCINASE DEFICIENCY","158","ADSL","WBGene00011064",""
"OMIM:103050","ADENYLOSUCCINASE DEFICIENCY","158","ADSL","ZDB-GENE-030131-6363",""
"OMIM:103285","ADULT SYNDROME","8626","TP63","FBgn0039044",""
"OMIM:103285","ADULT SYNDROME","8626","TP63","MGI:1330810","Trp63"
"OMIM:103285","ADULT SYNDROME","8626","TP63","RGD:620863","Tp63"
"OMIM:103285","ADULT SYNDROME","8626","TP63","ZDB-GENE-030819-1",""
"OMIM:103500","TIETZ ALBINISM-DEAFNESS SYNDROME","4286","MITF","FBgn0263112",""
"OMIM:103500","TIETZ ALBINISM-DEAFNESS SYNDROME","4286","MITF","MGI:104554","Mitf"
"OMIM:103500","TIETZ ALBINISM-DEAFNESS SYNDROME","4286","MITF","RGD:3092","Mitf"
"OMIM:103500","TIETZ ALBINISM-DEAFNESS SYNDROME","4286","MITF","S000000199",""
"OMIM:103500","TIETZ ALBINISM-DEAFNESS SYNDROME","4286","MITF","WBGene00020930",""
"OMIM:103500","TIETZ ALBINISM-DEAFNESS SYNDROME","4286","MITF","ZDB-GENE-010919-1",""
"OMIM:103500","TIETZ ALBINISM-DEAFNESS SYNDROME","4286","MITF","ZDB-GENE-990910-11",""
"OMIM:103580","PSEUDOHYPOPARATHYROIDISM, TYPE IA","2778","GNAS","FBgn0001123",""
"OMIM:103580","PSEUDOHYPOPARATHYROIDISM, TYPE IA","2778","GNAS","FBgn0010223",""
"OMIM:103580","PSEUDOHYPOPARATHYROIDISM, TYPE IA","2778","GNAS","MGI:95777","Gnas"
"OMIM:103580","PSEUDOHYPOPARATHYROIDISM, TYPE IA","2778","GNAS","RGD:2716","Gnas"
"OMIM:103580","PSEUDOHYPOPARATHYROIDISM, TYPE IA","2778","GNAS","S000000822",""
"OMIM:103580","PSEUDOHYPOPARATHYROIDISM, TYPE IA","2778","GNAS","WBGene00001745",""
"OMIM:103580","PSEUDOHYPOPARATHYROIDISM, TYPE IA","2778","GNAS","WBGene00020997",""
"OMIM:103580","PSEUDOHYPOPARATHYROIDISM, TYPE IA","2778","GNAS","ZDB-GENE-090417-2",""
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","FBgn0011768",""
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","MGI:87921","Adh1"
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","RGD:2044","Adh1"
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","S000002327",""
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","WBGene00019240",""
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","ZDB-GENE-011003-1",""
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","ZDB-GENE-030529-2",""
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","ZDB-GENE-030529-3",""
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","ZDB-GENE-040426-1165",""
"OMIM:103780","ALCOHOL DEPENDENCE","125","ADH1B","ZDB-GENE-040426-1910",""
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","FBgn0011768",""
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","MGI:87921","Adh1"
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","RGD:2044","Adh1"
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","S000002327",""
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","WBGene00019240",""
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","ZDB-GENE-011003-1",""
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","ZDB-GENE-030529-2",""
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","ZDB-GENE-030529-3",""
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","ZDB-GENE-040426-1165",""
"OMIM:103780","ALCOHOL DEPENDENCE","126","ADH1C","ZDB-GENE-040426-1910",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","FBgn0001134",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","FBgn0004244",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","FBgn0030707",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","MGI:95614","Gabra2"
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","RGD:61856","Gabra2"
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00001373",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00001588",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00003386",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00006784",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00008223",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00008280",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00008551",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00009799",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00010275",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00010741",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00012099",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00012915",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00013517",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00013746",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00013914",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00017389",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00017399",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00018880",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00020528",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00020605",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00020657",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","WBGene00022106",""
"OMIM:103780","ALCOHOL DEPENDENCE","2555","GABRA2","ZDB-GENE-141216-16",""
"OMIM:103780","ALCOHOL DEPENDENCE","3356","HTR2A","MGI:109521","Htr2a"
"OMIM:103780","ALCOHOL DEPENDENCE","3356","HTR2A","RGD:61800","Htr2a"
"OMIM:103780","ALCOHOL DEPENDENCE","3356","HTR2A","WBGene00006459",""
"OMIM:103780","ALCOHOL DEPENDENCE","3356","HTR2A","WBGene00016037",""
"OMIM:103780","ALCOHOL DEPENDENCE","3356","HTR2A","ZDB-GENE-070912-500",""
"OMIM:103780","ALCOHOL DEPENDENCE","3356","HTR2A","ZDB-GENE-120215-60",""
"OMIM:103900","HYPERALDOSTERONISM, FAMILIAL, TYPE I","1584","CYP11B1","MGI:88583","Cyp11b1"
"OMIM:103900","HYPERALDOSTERONISM, FAMILIAL, TYPE I","1584","CYP11B1","MGI:88584","Cyp11b2"
"OMIM:103900","HYPERALDOSTERONISM, FAMILIAL, TYPE I","1584","CYP11B1","RGD:2453","Cyp11b1"
"OMIM:103900","HYPERALDOSTERONISM, FAMILIAL, TYPE I","1584","CYP11B1","RGD:2454","Cyp11b2"
"OMIM:103900","HYPERALDOSTERONISM, FAMILIAL, TYPE I","1584","CYP11B1","RGD:727886","Cyp11b3"
"OMIM:103900","HYPERALDOSTERONISM, FAMILIAL, TYPE I","1584","CYP11B1","ZDB-GENE-070828-1",""
"OMIM:104100","PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1","2697","GJA1","MGI:95713","Gja1"
"OMIM:104100","PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1","2697","GJA1","MGI:95717","Gja6"
"OMIM:104100","PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1","2697","GJA1","RGD:2690","Gja1"
"OMIM:104100","PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1","2697","GJA1","RGD:2693","Gja6"
"OMIM:104100","PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1","2697","GJA1","ZDB-GENE-050616-10",""
"OMIM:104100","PALMOPLANTAR KERATODERMA AND CONGENITAL ALOPECIA 1","2697","GJA1","ZDB-GENE-991105-4",""
"OMIM:104200","ALPORT SYNDROME 3, AUTOSOMAL DOMINANT","1285","COL4A3","FBgn0000299",""
"OMIM:104200","ALPORT SYNDROME 3, AUTOSOMAL DOMINANT","1285","COL4A3","FBgn0016075",""
"OMIM:104200","ALPORT SYNDROME 3, AUTOSOMAL DOMINANT","1285","COL4A3","MGI:104688","Col4a3"
"OMIM:104200","ALPORT SYNDROME 3, AUTOSOMAL DOMINANT","1285","COL4A3","RGD:71085","Col4a3"
"OMIM:104200","ALPORT SYNDROME 3, AUTOSOMAL DOMINANT","1285","COL4A3","WBGene00001263",""
"OMIM:104200","ALPORT SYNDROME 3, AUTOSOMAL DOMINANT","1285","COL4A3","ZDB-GENE-030131-2281",""
"OMIM:104200","ALPORT SYNDROME 3, AUTOSOMAL DOMINANT","1285","COL4A3","ZDB-GENE-030131-9799",""
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","FBgn0002921",""
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","FBgn0267363",""
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","MGI:88106","Atp1a2"
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","RGD:2168","Atp1a2"
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","WBGene00001137",""
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","WBGene00007248",""
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","WBGene00013672",""
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","WBGene00015338",""
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","WBGene00015660",""
"OMIM:104290","ALTERNATING HEMIPLEGIA OF CHILDHOOD 1","477","ATP1A2","ZDB-GENE-001212-6",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","MGI:109191","Hfe"
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","RGD:2793","Hfe"
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-030916-1",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-040426-2149",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-050417-464",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-060825-152",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-070424-4",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-070705-176",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-130206-11",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-130206-5",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-130206-9",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-130814-1",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-140820-1",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-140820-11",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-140820-13",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-140820-3",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-140820-4",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-140820-5",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-140820-6",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-140820-7",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-140820-8",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-161101-1",""
"OMIM:104300","ALZHEIMER DISEASE","3077","HFE","ZDB-GENE-990415-145",""
"OMIM:104300","ALZHEIMER DISEASE","351","APP","FBgn0000108",""
"OMIM:104300","ALZHEIMER DISEASE","351","APP","MGI:88059","App"
"OMIM:104300","ALZHEIMER DISEASE","351","APP","RGD:2139","App"
"OMIM:104300","ALZHEIMER DISEASE","351","APP","WBGene00000149",""
"OMIM:104300","ALZHEIMER DISEASE","351","APP","ZDB-GENE-000616-13",""
"OMIM:104300","ALZHEIMER DISEASE","351","APP","ZDB-GENE-020220-1",""
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","FBgn0011828",""
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","MGI:97137","Mpo"
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","RGD:1592081","Mpo"
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","WBGene00004256",""
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","WBGene00004257",""
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","WBGene00009897",""
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","WBGene00015841",""
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","WBGene00017968",""
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","WBGene00022743",""
"OMIM:104300","ALZHEIMER DISEASE","4353","MPO","ZDB-GENE-030131-9460",""
"OMIM:104300","ALZHEIMER DISEASE","4846","NOS3","FBgn0011676",""
"OMIM:104300","ALZHEIMER DISEASE","4846","NOS3","MGI:97362","Nos3"
"OMIM:104300","ALZHEIMER DISEASE","4846","NOS3","RGD:3186","Nos3"
"OMIM:104300","ALZHEIMER DISEASE","4846","NOS3","S000001084",""
"OMIM:104300","ALZHEIMER DISEASE","5328","PLAU","MGI:97611","Plau"
"OMIM:104300","ALZHEIMER DISEASE","5328","PLAU","RGD:3343","Plau"
"OMIM:104300","ALZHEIMER DISEASE","5328","PLAU","ZDB-GENE-030619-15",""
"OMIM:104300","ALZHEIMER DISEASE","5328","PLAU","ZDB-GENE-090313-278",""
"OMIM:104310","ALZHEIMER DISEASE 2","348","APOE","MGI:88057","Apoe"
"OMIM:104310","ALZHEIMER DISEASE 2","348","APOE","RGD:2138","Apoe"
"OMIM:104310","ALZHEIMER DISEASE 2","348","APOE","ZDB-GENE-010724-18",""
"OMIM:104310","ALZHEIMER DISEASE 2","348","APOE","ZDB-GENE-980526-368",""
"OMIM:104500","AMELOGENESIS IMPERFECTA, TYPE IB","10117","ENAM","MGI:1333772","Enam"
"OMIM:104500","AMELOGENESIS IMPERFECTA, TYPE IB","10117","ENAM","RGD:1306796","Enam"
"OMIM:104510","AMELOGENESIS IMPERFECTA, TYPE IV","1747","DLX3","FBgn0000157",""
"OMIM:104510","AMELOGENESIS IMPERFECTA, TYPE IV","1747","DLX3","MGI:94903","Dlx3"
"OMIM:104510","AMELOGENESIS IMPERFECTA, TYPE IV","1747","DLX3","RGD:1304875","Dlx3"
"OMIM:104510","AMELOGENESIS IMPERFECTA, TYPE IV","1747","DLX3","WBGene00000463",""
"OMIM:104510","AMELOGENESIS IMPERFECTA, TYPE IV","1747","DLX3","WBGene00013583",""
"OMIM:104510","AMELOGENESIS IMPERFECTA, TYPE IV","1747","DLX3","ZDB-GENE-980526-280",""
"OMIM:104530","AMELOGENESIS IMPERFECTA, TYPE IA","3914","LAMB3","FBgn0034070",""
"OMIM:104530","AMELOGENESIS IMPERFECTA, TYPE IA","3914","LAMB3","FBgn0261800",""
"OMIM:104530","AMELOGENESIS IMPERFECTA, TYPE IA","3914","LAMB3","MGI:99915","Lamb3"
"OMIM:104530","AMELOGENESIS IMPERFECTA, TYPE IA","3914","LAMB3","RGD:1562668","Lamb3"
"OMIM:104530","AMELOGENESIS IMPERFECTA, TYPE IA","3914","LAMB3","WBGene00002247",""
"OMIM:105120","AMYLOIDOSIS, FINNISH TYPE","2934","GSN","FBgn0003187",""
"OMIM:105120","AMYLOIDOSIS, FINNISH TYPE","2934","GSN","FBgn0010225",""
"OMIM:105120","AMYLOIDOSIS, FINNISH TYPE","2934","GSN","MGI:95851","Gsn"
"OMIM:105120","AMYLOIDOSIS, FINNISH TYPE","2934","GSN","RGD:1303089","Gsn"
"OMIM:105120","AMYLOIDOSIS, FINNISH TYPE","2934","GSN","WBGene00010593",""
"OMIM:105120","AMYLOIDOSIS, FINNISH TYPE","2934","GSN","ZDB-GENE-030131-8567",""
"OMIM:105120","AMYLOIDOSIS, FINNISH TYPE","2934","GSN","ZDB-GENE-030131-9653",""
"OMIM:105150","CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED","1471","CST3","MGI:102519","Cst3"
"OMIM:105150","CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED","1471","CST3","MGI:1930004","Cst10"
"OMIM:105150","CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED","1471","CST3","RGD:1310978","Cst5"
"OMIM:105150","CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED","1471","CST3","RGD:1565109","LOC296235"
"OMIM:105150","CEREBRAL AMYLOID ANGIOPATHY, CST3-RELATED","1471","CST3","RGD:1594832","LOC689220"
