"Disease.genes.primaryIdentifier","Disease.genes.symbol","Disease.name","Disease.primaryIdentifier","Disease.genes.organism.name","Disease.dataSets.name"
"84947","SERAC1","3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME","OMIM:614739","Homo sapiens","clinvar"
"84947","SERAC1","3-METHYLGLUTACONIC ACIDURIA WITH DEAFNESS, ENCEPHALOPATHY, AND LEIGH-LIKE SYNDROME","OMIM:614739","Homo sapiens","hpo-annotation"
"549","AUH","3-METHYLGLUTACONIC ACIDURIA, TYPE I","OMIM:250950","Homo sapiens","OMIM diseases"
"549","AUH","3-METHYLGLUTACONIC ACIDURIA, TYPE I","OMIM:250950","Homo sapiens","clinvar"
"549","AUH","3-METHYLGLUTACONIC ACIDURIA, TYPE I","OMIM:250950","Homo sapiens","hpo-annotation"
"80207","OPA3","3-METHYLGLUTACONIC ACIDURIA, TYPE III","OMIM:258501","Homo sapiens","OMIM diseases"
"80207","OPA3","3-METHYLGLUTACONIC ACIDURIA, TYPE III","OMIM:258501","Homo sapiens","clinvar"
"80207","OPA3","3-METHYLGLUTACONIC ACIDURIA, TYPE III","OMIM:258501","Homo sapiens","hpo-annotation"
"92609","TIMM50","3-METHYLGLUTACONIC ACIDURIA, TYPE IX","OMIM:617698","Homo sapiens","OMIM diseases"
"92609","TIMM50","3-METHYLGLUTACONIC ACIDURIA, TYPE IX","OMIM:617698","Homo sapiens","clinvar"
"92609","TIMM50","3-METHYLGLUTACONIC ACIDURIA, TYPE IX","OMIM:617698","Homo sapiens","hpo-annotation"
"131118","DNAJC19","3-METHYLGLUTACONIC ACIDURIA, TYPE V","OMIM:610198","Homo sapiens","OMIM diseases"
"131118","DNAJC19","3-METHYLGLUTACONIC ACIDURIA, TYPE V","OMIM:610198","Homo sapiens","clinvar"
"131118","DNAJC19","3-METHYLGLUTACONIC ACIDURIA, TYPE V","OMIM:610198","Homo sapiens","hpo-annotation"
"81570","CLPB","3-METHYLGLUTACONIC ACIDURIA, TYPE VII","OMIM:616271","Homo sapiens","OMIM diseases"
"81570","CLPB","3-METHYLGLUTACONIC ACIDURIA, TYPE VII","OMIM:616271","Homo sapiens","clinvar"
"81570","CLPB","3-METHYLGLUTACONIC ACIDURIA, TYPE VII","OMIM:616271","Homo sapiens","hpo-annotation"
"27429","HTRA2","3-METHYLGLUTACONIC ACIDURIA, TYPE VIII","OMIM:617248","Homo sapiens","OMIM diseases"
"27429","HTRA2","3-METHYLGLUTACONIC ACIDURIA, TYPE VIII","OMIM:617248","Homo sapiens","clinvar"
"27429","HTRA2","3-METHYLGLUTACONIC ACIDURIA, TYPE VIII","OMIM:617248","Homo sapiens","hpo-annotation"
"5648","MASP1","3MC SYNDROME 1","OMIM:257920","Homo sapiens","OMIM diseases"
"5648","MASP1","3MC SYNDROME 1","OMIM:257920","Homo sapiens","clinvar"
"5648","MASP1","3MC SYNDROME 1","OMIM:257920","Homo sapiens","hpo-annotation"
"78989","COLEC11","3MC SYNDROME 2","OMIM:265050","Homo sapiens","OMIM diseases"
"78989","COLEC11","3MC SYNDROME 2","OMIM:265050","Homo sapiens","clinvar"
"78989","COLEC11","3MC SYNDROME 2","OMIM:265050","Homo sapiens","hpo-annotation"
"10584","COLEC10","3MC SYNDROME 3","OMIM:248340","Homo sapiens","OMIM diseases"
"10584","COLEC10","3MC SYNDROME 3","OMIM:248340","Homo sapiens","clinvar"
"10584","COLEC10","3MC SYNDROME 3","OMIM:248340","Homo sapiens","hpo-annotation"
"6736","SRY","46,XX SEX REVERSAL 1","OMIM:400045","Homo sapiens","OMIM diseases"
"6736","SRY","46,XX SEX REVERSAL 1","OMIM:400045","Homo sapiens","hpo-annotation"
"2516","NR5A1","46,XX SEX REVERSAL 4","OMIM:617480","Homo sapiens","OMIM diseases"
"2516","NR5A1","46,XX SEX REVERSAL 4","OMIM:617480","Homo sapiens","clinvar"
"2516","NR5A1","46,XX SEX REVERSAL 4","OMIM:617480","Homo sapiens","hpo-annotation"
"7026","NR2F2","46,XX SEX REVERSAL 5","OMIM:618901","Homo sapiens","OMIM diseases"
"7026","NR2F2","46,XX SEX REVERSAL 5","OMIM:618901","Homo sapiens","hpo-annotation"
"54361","WNT4","46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS","OMIM:611812","Homo sapiens","OMIM diseases"
"54361","WNT4","46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS","OMIM:611812","Homo sapiens","clinvar"
"54361","WNT4","46,XX SEX REVERSAL WITH DYSGENESIS OF KIDNEYS, ADRENALS, AND LUNGS","OMIM:611812","Homo sapiens","hpo-annotation"
"50846","DHH","46,XY GONADAL DYSGENESIS WITH MINIFASCICULAR NEUROPATHY","OMIM:607080","Homo sapiens","OMIM diseases"
"50846","DHH","46,XY GONADAL DYSGENESIS WITH MINIFASCICULAR NEUROPATHY","OMIM:607080","Homo sapiens","clinvar"
"50846","DHH","46,XY GONADAL DYSGENESIS WITH MINIFASCICULAR NEUROPATHY","OMIM:607080","Homo sapiens","hpo-annotation"
"6736","SRY","46,XY SEX REVERSAL 1","OMIM:400044","Homo sapiens","OMIM diseases"
"6736","SRY","46,XY SEX REVERSAL 1","OMIM:400044","Homo sapiens","clinvar"
"6736","SRY","46,XY SEX REVERSAL 1","OMIM:400044","Homo sapiens","hpo-annotation"
"57647","DHX37","46,XY SEX REVERSAL 11","OMIM:273250","Homo sapiens","OMIM diseases"
"57647","DHX37","46,XY SEX REVERSAL 11","OMIM:273250","Homo sapiens","hpo-annotation"
"190","NR0B1","46,XY SEX REVERSAL 2","OMIM:300018","Homo sapiens","OMIM diseases"
"190","NR0B1","46,XY SEX REVERSAL 2","OMIM:300018","Homo sapiens","hpo-annotation"
"2516","NR5A1","46,XY SEX REVERSAL 3","OMIM:612965","Homo sapiens","OMIM diseases"
"2516","NR5A1","46,XY SEX REVERSAL 3","OMIM:612965","Homo sapiens","clinvar"
"2516","NR5A1","46,XY SEX REVERSAL 3","OMIM:612965","Homo sapiens","hpo-annotation"
"84733","CBX2","46,XY SEX REVERSAL 5","OMIM:613080","Homo sapiens","OMIM diseases"
"84733","CBX2","46,XY SEX REVERSAL 5","OMIM:613080","Homo sapiens","clinvar"
"84733","CBX2","46,XY SEX REVERSAL 5","OMIM:613080","Homo sapiens","hpo-annotation"
"4214","MAP3K1","46,XY SEX REVERSAL 6","OMIM:613762","Homo sapiens","OMIM diseases"
"4214","MAP3K1","46,XY SEX REVERSAL 6","OMIM:613762","Homo sapiens","clinvar"
"4214","MAP3K1","46,XY SEX REVERSAL 6","OMIM:613762","Homo sapiens","hpo-annotation"
"50846","DHH","46,XY SEX REVERSAL 7","OMIM:233420","Homo sapiens","OMIM diseases"
"50846","DHH","46,XY SEX REVERSAL 7","OMIM:233420","Homo sapiens","clinvar"
"50846","DHH","46,XY SEX REVERSAL 7","OMIM:233420","Homo sapiens","hpo-annotation"
"1109","AKR1C4","46,XY SEX REVERSAL 8","OMIM:614279","Homo sapiens","OMIM diseases"
"1109","AKR1C4","46,XY SEX REVERSAL 8","OMIM:614279","Homo sapiens","clinvar"
"1109","AKR1C4","46,XY SEX REVERSAL 8","OMIM:614279","Homo sapiens","hpo-annotation"
"1646","AKR1C2","46,XY SEX REVERSAL 8","OMIM:614279","Homo sapiens","OMIM diseases"
"1646","AKR1C2","46,XY SEX REVERSAL 8","OMIM:614279","Homo sapiens","clinvar"
"1646","AKR1C2","46,XY SEX REVERSAL 8","OMIM:614279","Homo sapiens","hpo-annotation"
"23414","ZFPM2","46,XY SEX REVERSAL 9","OMIM:616067","Homo sapiens","OMIM diseases"
"23414","ZFPM2","46,XY SEX REVERSAL 9","OMIM:616067","Homo sapiens","clinvar"
"23414","ZFPM2","46,XY SEX REVERSAL 9","OMIM:616067","Homo sapiens","hpo-annotation"
"26873","OPLAH","5-OXOPROLINASE DEFICIENCY","OMIM:260005","Homo sapiens","OMIM diseases"
"26873","OPLAH","5-OXOPROLINASE DEFICIENCY","OMIM:260005","Homo sapiens","clinvar"
"26873","OPLAH","5-OXOPROLINASE DEFICIENCY","OMIM:260005","Homo sapiens","hpo-annotation"
"2245","FGD1","AARSKOG-SCOTT SYNDROME","OMIM:305400","Homo sapiens","OMIM diseases"
"2245","FGD1","AARSKOG-SCOTT SYNDROME","OMIM:305400","Homo sapiens","clinvar"
"2245","FGD1","AARSKOG-SCOTT SYNDROME","OMIM:305400","Homo sapiens","hpo-annotation"
"1910","EDNRB","ABCD SYNDROME","OMIM:600501","Homo sapiens","OMIM diseases"
"1910","EDNRB","ABCD SYNDROME","OMIM:600501","Homo sapiens","clinvar"
"1910","EDNRB","ABCD SYNDROME","OMIM:600501","Homo sapiens","hpo-annotation"
"4547","MTTP","ABDOMINAL OBESITY-METABOLIC SYNDROME 1","OMIM:605552","Homo sapiens","OMIM diseases"
"4547","MTTP","ABDOMINAL OBESITY-METABOLIC SYNDROME 1","OMIM:605552","Homo sapiens","hpo-annotation"
"9149","DYRK1B","ABDOMINAL OBESITY-METABOLIC SYNDROME 3","OMIM:615812","Homo sapiens","OMIM diseases"
"9149","DYRK1B","ABDOMINAL OBESITY-METABOLIC SYNDROME 3","OMIM:615812","Homo sapiens","clinvar"
"9149","DYRK1B","ABDOMINAL OBESITY-METABOLIC SYNDROME 3","OMIM:615812","Homo sapiens","hpo-annotation"
"63036","CELA2A","ABDOMINAL OBESITY-METABOLIC SYNDROME 4","OMIM:618620","Homo sapiens","OMIM diseases"
"63036","CELA2A","ABDOMINAL OBESITY-METABOLIC SYNDROME 4","OMIM:618620","Homo sapiens","hpo-annotation"
"4547","MTTP","ABETALIPOPROTEINEMIA","OMIM:200100","Homo sapiens","OMIM diseases"
"4547","MTTP","ABETALIPOPROTEINEMIA","OMIM:200100","Homo sapiens","clinvar"
"4547","MTTP","ABETALIPOPROTEINEMIA","OMIM:200100","Homo sapiens","hpo-annotation"
"117581","TWIST2","ABLEPHARON-MACROSTOMIA SYNDROME","OMIM:200110","Homo sapiens","OMIM diseases"
"117581","TWIST2","ABLEPHARON-MACROSTOMIA SYNDROME","OMIM:200110","Homo sapiens","clinvar"
"117581","TWIST2","ABLEPHARON-MACROSTOMIA SYNDROME","OMIM:200110","Homo sapiens","hpo-annotation"
"341208","HEPHL1","ABNORMAL HAIR, JOINT LAXITY, AND DEVELOPMENTAL DELAY","OMIM:261990","Homo sapiens","OMIM diseases"
"341208","HEPHL1","ABNORMAL HAIR, JOINT LAXITY, AND DEVELOPMENTAL DELAY","OMIM:261990","Homo sapiens","clinvar"
"341208","HEPHL1","ABNORMAL HAIR, JOINT LAXITY, AND DEVELOPMENTAL DELAY","OMIM:261990","Homo sapiens","hpo-annotation"
"50945","TBX22","ABRUZZO-ERICKSON SYNDROME","OMIM:302905","Homo sapiens","OMIM diseases"
"50945","TBX22","ABRUZZO-ERICKSON SYNDROME","OMIM:302905","Homo sapiens","clinvar"
"50945","TBX22","ABRUZZO-ERICKSON SYNDROME","OMIM:302905","Homo sapiens","hpo-annotation"
"847","CAT","ACATALASEMIA","OMIM:614097","Homo sapiens","OMIM diseases"
"847","CAT","ACATALASEMIA","OMIM:614097","Homo sapiens","clinvar"
"847","CAT","ACATALASEMIA","OMIM:614097","Homo sapiens","hpo-annotation"
"4193","MDM2","ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO","OMIM:614401","Homo sapiens","OMIM diseases"
"4193","MDM2","ACCELERATED TUMOR FORMATION, SUSCEPTIBILITY TO","OMIM:614401","Homo sapiens","clinvar"
"1356","CP","ACERULOPLASMINEMIA","OMIM:604290","Homo sapiens","OMIM diseases"
"1356","CP","ACERULOPLASMINEMIA","OMIM:604290","Homo sapiens","clinvar"
"1356","CP","ACERULOPLASMINEMIA","OMIM:604290","Homo sapiens","hpo-annotation"
"39","ACAT2","ACETYL-CoA ACETYLTRANSFERASE-2 DEFICIENCY","OMIM:614055","Homo sapiens","OMIM diseases"
"39","ACAT2","ACETYL-CoA ACETYLTRANSFERASE-2 DEFICIENCY","OMIM:614055","Homo sapiens","clinvar"
"39","ACAT2","ACETYL-CoA ACETYLTRANSFERASE-2 DEFICIENCY","OMIM:614055","Homo sapiens","hpo-annotation"
"31","ACACA","ACETYL-CoA CARBOXYLASE DEFICIENCY","OMIM:613933","Homo sapiens","OMIM diseases"
"31","ACACA","ACETYL-CoA CARBOXYLASE DEFICIENCY","OMIM:613933","Homo sapiens","clinvar"
"31","ACACA","ACETYL-CoA CARBOXYLASE DEFICIENCY","OMIM:613933","Homo sapiens","hpo-annotation"
"10","NAT2","ACETYLATION, SLOW","OMIM:243400","Homo sapiens","OMIM diseases"
"10","NAT2","ACETYLATION, SLOW","OMIM:243400","Homo sapiens","clinvar"
"10","NAT2","ACETYLATION, SLOW","OMIM:243400","Homo sapiens","hpo-annotation"
"8086","AAAS","ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME","OMIM:231550","Homo sapiens","OMIM diseases"
"8086","AAAS","ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME","OMIM:231550","Homo sapiens","clinvar"
"8086","AAAS","ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME","OMIM:231550","Homo sapiens","hpo-annotation"
"64327","LMBR1","ACHEIROPODY","OMIM:200500","Homo sapiens","OMIM diseases"
"64327","LMBR1","ACHEIROPODY","OMIM:200500","Homo sapiens","clinvar"
"64327","LMBR1","ACHEIROPODY","OMIM:200500","Homo sapiens","hpo-annotation"
"9321","TRIP11","ACHONDROGENESIS, TYPE IA","OMIM:200600","Homo sapiens","OMIM diseases"
"9321","TRIP11","ACHONDROGENESIS, TYPE IA","OMIM:200600","Homo sapiens","clinvar"
"9321","TRIP11","ACHONDROGENESIS, TYPE IA","OMIM:200600","Homo sapiens","hpo-annotation"
"1836","SLC26A2","ACHONDROGENESIS, TYPE IB","OMIM:600972","Homo sapiens","OMIM diseases"
"1836","SLC26A2","ACHONDROGENESIS, TYPE IB","OMIM:600972","Homo sapiens","clinvar"
"1836","SLC26A2","ACHONDROGENESIS, TYPE IB","OMIM:600972","Homo sapiens","hpo-annotation"
"1280","COL2A1","ACHONDROGENESIS, TYPE II","OMIM:200610","Homo sapiens","OMIM diseases"
"1280","COL2A1","ACHONDROGENESIS, TYPE II","OMIM:200610","Homo sapiens","clinvar"
"1280","COL2A1","ACHONDROGENESIS, TYPE II","OMIM:200610","Homo sapiens","hpo-annotation"
"2261","FGFR3","ACHONDROPLASIA","OMIM:100800","Homo sapiens","OMIM diseases"
"2261","FGFR3","ACHONDROPLASIA","OMIM:100800","Homo sapiens","clinvar"
"2261","FGFR3","ACHONDROPLASIA","OMIM:100800","Homo sapiens","hpo-annotation"
"2261","FGFR3","ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS","OMIM:616482","Homo sapiens","OMIM diseases"
"2261","FGFR3","ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS","OMIM:616482","Homo sapiens","clinvar"
"2261","FGFR3","ACHONDROPLASIA, SEVERE, WITH DEVELOPMENTAL DELAY AND ACANTHOSIS NIGRICANS","OMIM:616482","Homo sapiens","hpo-annotation"
"1261","CNGA3","ACHROMATOPSIA 2","OMIM:216900","Homo sapiens","OMIM diseases"
"1261","CNGA3","ACHROMATOPSIA 2","OMIM:216900","Homo sapiens","clinvar"
"1261","CNGA3","ACHROMATOPSIA 2","OMIM:216900","Homo sapiens","hpo-annotation"
"54714","CNGB3","ACHROMATOPSIA 3","OMIM:262300","Homo sapiens","OMIM diseases"
"54714","CNGB3","ACHROMATOPSIA 3","OMIM:262300","Homo sapiens","clinvar"
"54714","CNGB3","ACHROMATOPSIA 3","OMIM:262300","Homo sapiens","hpo-annotation"
"2780","GNAT2","ACHROMATOPSIA 4","OMIM:613856","Homo sapiens","OMIM diseases"
"2780","GNAT2","ACHROMATOPSIA 4","OMIM:613856","Homo sapiens","clinvar"
"2780","GNAT2","ACHROMATOPSIA 4","OMIM:613856","Homo sapiens","hpo-annotation"
"22926","ATF6","ACHROMATOPSIA 7","OMIM:616517","Homo sapiens","OMIM diseases"
"22926","ATF6","ACHROMATOPSIA 7","OMIM:616517","Homo sapiens","clinvar"
"22926","ATF6","ACHROMATOPSIA 7","OMIM:616517","Homo sapiens","hpo-annotation"
"53","ACP2","ACID PHOSPHATASE DEFICIENCY","OMIM:200950","Homo sapiens","OMIM diseases"
"53","ACP2","ACID PHOSPHATASE DEFICIENCY","OMIM:200950","Homo sapiens","hpo-annotation"
"3483","IGFALS","ACID-LABILE SUBUNIT DEFICIENCY","OMIM:615961","Homo sapiens","OMIM diseases"
"3483","IGFALS","ACID-LABILE SUBUNIT DEFICIENCY","OMIM:615961","Homo sapiens","clinvar"
"3483","IGFALS","ACID-LABILE SUBUNIT DEFICIENCY","OMIM:615961","Homo sapiens","hpo-annotation"
"23385","NCSTN","ACNE INVERSA, FAMILIAL, 1","OMIM:142690","Homo sapiens","OMIM diseases"
"23385","NCSTN","ACNE INVERSA, FAMILIAL, 1","OMIM:142690","Homo sapiens","clinvar"
"23385","NCSTN","ACNE INVERSA, FAMILIAL, 1","OMIM:142690","Homo sapiens","hpo-annotation"
"55851","PSENEN","ACNE INVERSA, FAMILIAL, 2, WITH OR WITHOUT DOWLING-DEGOS DISEASE","OMIM:613736","Homo sapiens","OMIM diseases"
"55851","PSENEN","ACNE INVERSA, FAMILIAL, 2, WITH OR WITHOUT DOWLING-DEGOS DISEASE","OMIM:613736","Homo sapiens","clinvar"
"55851","PSENEN","ACNE INVERSA, FAMILIAL, 2, WITH OR WITHOUT DOWLING-DEGOS DISEASE","OMIM:613736","Homo sapiens","hpo-annotation"
"5663","PSEN1","ACNE INVERSA, FAMILIAL, 3","OMIM:613737","Homo sapiens","OMIM diseases"
"5663","PSEN1","ACNE INVERSA, FAMILIAL, 3","OMIM:613737","Homo sapiens","clinvar"
"5663","PSEN1","ACNE INVERSA, FAMILIAL, 3","OMIM:613737","Homo sapiens","hpo-annotation"
"374654","KIF7","ACROCALLOSAL SYNDROME","OMIM:200990","Homo sapiens","OMIM diseases"
"374654","KIF7","ACROCALLOSAL SYNDROME","OMIM:200990","Homo sapiens","clinvar"
"374654","KIF7","ACROCALLOSAL SYNDROME","OMIM:200990","Homo sapiens","hpo-annotation"
"3549","IHH","ACROCAPITOFEMORAL DYSPLASIA","OMIM:607778","Homo sapiens","OMIM diseases"
"3549","IHH","ACROCAPITOFEMORAL DYSPLASIA","OMIM:607778","Homo sapiens","clinvar"
"3549","IHH","ACROCAPITOFEMORAL DYSPLASIA","OMIM:607778","Homo sapiens","hpo-annotation"
"55630","SLC39A4","ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE","OMIM:201100","Homo sapiens","OMIM diseases"
"55630","SLC39A4","ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE","OMIM:201100","Homo sapiens","clinvar"
"55630","SLC39A4","ACRODERMATITIS ENTEROPATHICA, ZINC-DEFICIENCY TYPE","OMIM:201100","Homo sapiens","hpo-annotation"
"5573","PRKAR1A","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","OMIM:101800","Homo sapiens","OMIM diseases"
"5573","PRKAR1A","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","OMIM:101800","Homo sapiens","clinvar"
"5573","PRKAR1A","ACRODYSOSTOSIS 1 WITH OR WITHOUT HORMONE RESISTANCE","OMIM:101800","Homo sapiens","hpo-annotation"
"5144","PDE4D","ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE","OMIM:614613","Homo sapiens","OMIM diseases"
"5144","PDE4D","ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE","OMIM:614613","Homo sapiens","clinvar"
"5144","PDE4D","ACRODYSOSTOSIS 2 WITH OR WITHOUT HORMONE RESISTANCE","OMIM:614613","Homo sapiens","hpo-annotation"
"10262","SF3B4","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE","OMIM:154400","Homo sapiens","OMIM diseases"
"10262","SF3B4","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE","OMIM:154400","Homo sapiens","clinvar"
"10262","SF3B4","ACROFACIAL DYSOSTOSIS 1, NAGER TYPE","OMIM:154400","Homo sapiens","hpo-annotation"
"25885","POLR1A","ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE","OMIM:616462","Homo sapiens","OMIM diseases"
"25885","POLR1A","ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE","OMIM:616462","Homo sapiens","clinvar"
"25885","POLR1A","ACROFACIAL DYSOSTOSIS, CINCINNATI TYPE","OMIM:616462","Homo sapiens","hpo-annotation"
"488","ATP2A2","ACROKERATOSIS VERRUCIFORMIS","OMIM:101900","Homo sapiens","OMIM diseases"
"488","ATP2A2","ACROKERATOSIS VERRUCIFORMIS","OMIM:101900","Homo sapiens","clinvar"
"488","ATP2A2","ACROKERATOSIS VERRUCIFORMIS","OMIM:101900","Homo sapiens","hpo-annotation"
"57688","ZSWIM6","ACROMELIC FRONTONASAL DYSOSTOSIS","OMIM:603671","Homo sapiens","OMIM diseases"
"57688","ZSWIM6","ACROMELIC FRONTONASAL DYSOSTOSIS","OMIM:603671","Homo sapiens","clinvar"
"57688","ZSWIM6","ACROMELIC FRONTONASAL DYSOSTOSIS","OMIM:603671","Homo sapiens","hpo-annotation"
"4882","NPR2","ACROMESOMELIC DYSPLASIA 1","OMIM:602875","Homo sapiens","OMIM diseases"
"4882","NPR2","ACROMESOMELIC DYSPLASIA 1","OMIM:602875","Homo sapiens","clinvar"
"4882","NPR2","ACROMESOMELIC DYSPLASIA 1","OMIM:602875","Homo sapiens","hpo-annotation"
"8200","GDF5","ACROMESOMELIC DYSPLASIA 2A","OMIM:200700","Homo sapiens","OMIM diseases"
"8200","GDF5","ACROMESOMELIC DYSPLASIA 2A","OMIM:200700","Homo sapiens","clinvar"
"8200","GDF5","ACROMESOMELIC DYSPLASIA 2A","OMIM:200700","Homo sapiens","hpo-annotation"
"8200","GDF5","ACROMESOMELIC DYSPLASIA 2B","OMIM:228900","Homo sapiens","OMIM diseases"
"8200","GDF5","ACROMESOMELIC DYSPLASIA 2B","OMIM:228900","Homo sapiens","clinvar"
"8200","GDF5","ACROMESOMELIC DYSPLASIA 2B","OMIM:228900","Homo sapiens","hpo-annotation"
"8200","GDF5","ACROMESOMELIC DYSPLASIA 2C","OMIM:201250","Homo sapiens","OMIM diseases"
"8200","GDF5","ACROMESOMELIC DYSPLASIA 2C","OMIM:201250","Homo sapiens","clinvar"
"8200","GDF5","ACROMESOMELIC DYSPLASIA 2C","OMIM:201250","Homo sapiens","hpo-annotation"
"658","BMPR1B","ACROMESOMELIC DYSPLASIA 3","OMIM:609441","Homo sapiens","OMIM diseases"
"658","BMPR1B","ACROMESOMELIC DYSPLASIA 3","OMIM:609441","Homo sapiens","clinvar"
"658","BMPR1B","ACROMESOMELIC DYSPLASIA 3","OMIM:609441","Homo sapiens","hpo-annotation"
"5593","PRKG2","ACROMESOMELIC DYSPLASIA 4","OMIM:619636","Homo sapiens","OMIM diseases"
"5593","PRKG2","ACROMESOMELIC DYSPLASIA 4","OMIM:619636","Homo sapiens","clinvar"
"2200","FBN1","ACROMICRIC DYSPLASIA","OMIM:102370","Homo sapiens","OMIM diseases"
"2200","FBN1","ACROMICRIC DYSPLASIA","OMIM:102370","Homo sapiens","clinvar"
