NCBI GeneID	Symbol	Description	Taxonomic Name	Common Name	Gene Type	Transcripts	Gene Group Identifier	Gene Group Method	Chromosomes	Nomenclature ID	Ensembl GeneIDs	Annotation Genomic Range Accession 	Annotation Genomic Range Start	Annotation Genomic Range Stop	OMIM IDs	Orientation	Proteins	Synonyms	Taxonomic ID	SwissProt Accessions
6740029	LOC6740029	protein ovarian tumor locus	Drosophila simulans		PROTEIN_CODING	3	31789	NCBI Ortholog	X	LOC6740029		NC_052525.2	8056526	8061148		minus	3	otu,otu-PB,otu-PC,otu-PD,otu-PE,otu-PF,otu-PG,GD24569,Dsim\otu,GD24569-PB,GD24569-PC,GD24569-PD,GD24569-PE,GD24569-PF,GD24569-PG	7240	
6736591	LOC6736591	heat shock protein 83	Drosophila simulans		PROTEIN_CODING	1	38389	NCBI Ortholog	3L	LOC6736591		NC_052522.2	3145731	3149535		plus	1	Hsp83,hsp82,DMHSP82,GD13739,Hsp83-PA,Dsim\Hsp83,GD13739-PA	7240	
6730202	LOC6730202	cecropin-A1	Drosophila simulans		PROTEIN_CODING	1			3R	LOC6730202		NC_052523.2	26329717	26330150		plus	1	CecA1,GD21508,CecA1-PA,Dsim\CecA1,GD21508-PA	7240	O61272
6724720	LOC6724720	paired box protein Pax-6	Drosophila simulans		PROTEIN_CODING	4	43812	NCBI Ortholog	4	LOC6724720		NC_052524.2	635136	654212		plus	3	ey,ey-PB,ey-PC,ey-PD,ey-PE,Dsim\ey,GD24411,Dsim\ey-PB,Dsim\ey-PC,Dsim\ey-PD,Dsim\ey-PE,GD24411-PB,GD24411-PC,GD24411-PD,GD24411-PE	7240	
6727559	LOC6727559	sex determination protein fruitless	Drosophila simulans		PROTEIN_CODING	4	42226	NCBI Ortholog	3R	LOC6727559		NC_052523.2	7730806	7831371		plus	4	fru,fru-PB,fru-PC,fru-PD,fru-PE,fru-PF,fru-PG,fru-PH,fru-PI,fru-PJ,fru-PK,GD20167,Dsim\fru,fruitless,GD20167-PB,GD20167-PC,GD20167-PD,GD20167-PE,GD20167-PF,GD20167-PG,GD20167-PH,GD20167-PI,GD20167-PJ,GD20167-PK	7240	
6729369	LOC6729369	telomere-binding protein cav	Drosophila simulans		PROTEIN_CODING	2	42881	NCBI Ortholog	3R	LOC6729369		NC_052523.2	20449897	20451973		plus	2	cav,cav-PA,GD21077,anon1G5,Dsim\cav,GD21077-PA	7240	B4QT24
6731504	LOC6731504	accessory gland protein Acp29AB	Drosophila simulans		PROTEIN_CODING	1	34162	NCBI Ortholog	2L	LOC6731504		NC_052520.2	8336375	8337182		minus	1	Acp29,Acp29AB,GD22408,Acp29AB-PA,GD22408-PA	7240	
6725263	LOC6725263	myosin regulatory light chain sqh	Drosophila simulans		PROTEIN_CODING	1	31554	NCBI Ortholog	X	LOC6725263		NC_052525.2	5850356	5852422		minus	1	sqh,sqh-PA,GD16204,Dsim\sqh,GD16204-PA	7240	
6727485	LOC6727485	protein nanos	Drosophila simulans		PROTEIN_CODING	2	42297	NCBI Ortholog	3R	LOC6727485		NC_052523.2	7078940	7081708		minus	2	nos,nanos,nos-PA,nos-PB,GD19274,DRONANOS,Dsim\nos,GD19274-PA,GD19274-PB	7240	
6726226	LOC6726226	mediator of RNA polymerase II transcription subunit 15	Drosophila simulans		PROTEIN_CODING	2	3772646	NCBI Ortholog	X	LOC6726226		NC_052525.2	16587895	16593135		minus	2	GD15699,mei-218,GD15699-PB,GD15699-PC,mei-218-PB,mei-218-PC	7240	
2760953	ND1	NADH dehydrogenase subunit 1	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	11776	12714		minus	1		7240	
2760954	ND5	NADH dehydrogenase subunit 5	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	6463	8182		minus	1		7240	
2760955	ND4	NADH dehydrogenase subunit 4	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	8264	9602		minus	1		7240	
2760956	COX2	cytochrome c oxidase subunit II	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	3086	3770		plus	1		7240	
2760957	ATP6	ATP synthase F0 subunit 6	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	4066	4739		plus	1		7240	
2760958	ATP8	ATP synthase F0 subunit 8	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	3911	4072		plus	1		7240	
2760959	ND2	NADH dehydrogenase subunit 2	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	242	1265		plus	1		7240	
2760960	COX3	cytochrome c oxidase subunit III	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	4740	5528		plus	1		7240	
2760961	ND4L	NADH dehydrogenase subunit 4L	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	9603	9892		minus	1		7240	
2760962	COX1	cytochrome c oxidase subunit I	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	1476	3012		plus	1		7240	
2760963	ND6	NADH dehydrogenase subunit 6	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	10028	10552		plus	1		7240	
2760964	ND3	NADH dehydrogenase subunit 3	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	5662	6015		plus	1		7240	
2760965	CYTB	cytochrome b	Drosophila simulans		PROTEIN_CODING				MT			NC_005781.1	10556	11692		plus	1		7240	
6731455	LOC6731455	heterochromatin protein 1	Drosophila simulans		PROTEIN_CODING	1	34119	NCBI Ortholog	2L	LOC6731455		NC_052520.2	8154522	8156071		minus	1	HP1,HP1a,GD22433,HP1A-PA,Dsim\HP1A,GD22433-PA,Su(var)205	7240	
6725000	LOC6725000	neurogenic locus Notch protein	Drosophila simulans		PROTEIN_CODING	1	31293	NCBI Ortholog	X	LOC6725000		NC_052525.2	2874799	2910383		plus	1	N-PB,notch,Dsim\N,GD16631,Dsim\N-PB,GD16631-PB	7240	
6734326	LOC6734326	histone H3-like centromeric protein cid	Drosophila simulans		PROTEIN_CODING	1	36495	NCBI Ortholog	2R	LOC6734326		NC_052521.2	10772972	10773913		plus	1	cid,cid-PA,GD10968,Cid[Sim],Dsim\cid,GD10968-PA	7240	
6735393	LOC6735393	general odorant-binding protein 57e	Drosophila simulans		PROTEIN_CODING	1	326110	NCBI Ortholog	2R	LOC6735393		NC_052521.2	17718674	17719197		minus	1	sim-e,Obp57e,GD25275,Obp57e-PA,DsimObp57e,GD25275-PA	7240	
6728463	LOC6728463	cytochrome c oxidase subunit 5A, mitochondrial	Drosophila simulans		PROTEIN_CODING	1	41432	NCBI Ortholog	3R	LOC6728463		NC_052523.2	14303745	14304541		minus	1	Va,CoVa,cox5A,CoVa-PA,GD18785,Dsim\CoVa,GD18785-PA	7240	
6735802	LOC6735802	protein twist	Drosophila simulans		PROTEIN_CODING	1	37655	NCBI Ortholog	2R	LOC6735802		NC_052521.2	20199339	20201386		plus	1	twi,twi-PB,twi-PC,GD11731,Dsim\twi,GD11731-PB,GD11731-PC	7240	
6726041	LOC6726041	dorsal-ventral patterning protein Sog	Drosophila simulans		PROTEIN_CODING	2	32498	NCBI Ortholog	X	LOC6726041		NC_052525.2	15052855	15080907		minus	2	sog-PB,sog-PC,sog-PD,GD15790,Dsim\sog,GD15790-PB,GD15790-PC,GD15790-PD	7240	
6731979	LOC6731979	protein spalt-accessory	Drosophila simulans		PROTEIN_CODING	1	34570	NCBI Ortholog	2L	LOC6731979		NC_052520.2	11384897	11385753		plus	1	sal,sala,spalt,GD23778,sala-PA,Dsim\sala,GD23778-PA	7240	
6727955	LOC6727955	actin, indirect flight muscle	Drosophila simulans		PROTEIN_CODING	1	41885	NCBI Ortholog	3R	LOC6727955		NC_052523.2	10786547	10788755		minus	1	actin,Act88F,Act88-F,GD19025,Act88F-PA,Actin-88F,GD19025-PA	7240	P83968
6729104	LOC6729104	AP-2 complex subunit mu	Drosophila simulans		PROTEIN_CODING	2	42642	NCBI Ortholog	3R	LOC6729104		NC_052523.2	18680603	18682796		plus	2	ap50,AP-50,GD20952,AP-50-PA,AP-50-PB,Dsim\AP-50,GD20952-PA,GD20952-PB	7240	
6729504	LOC6729504	oxysterol-binding protein 1	Drosophila simulans		PROTEIN_CODING	1	42985	NCBI Ortholog	3R	LOC6729504		NC_052523.2	21161151	21164514		minus	1	osbp,GD18250,Osbp-PB,Dsim\Osbp,GD18250-PB	7240	
6734418	LOC6734418	G-protein coupled receptor Mth	Drosophila simulans		PROTEIN_CODING	8	38058	NCBI Ortholog	3L	LOC6734418		NC_052522.2	359392	363171		minus	5	mth,mth-PA,mth-PB,mth-PD,mth-PE,GD25710,Dsim\mth,GD25710-PA,GD25710-PB,GD25710-PD,GD25710-PE	7240	
6730166	LOC6730166	serendipity locus protein alpha	Drosophila simulans		PROTEIN_CODING	1	43571	NCBI Ortholog	3R	LOC6730166		NC_052523.2	26160841	26162967		plus	1	sry,GD21496,sryalpha,Sry-alpha,GD21496-PA	7240	
6729455	LOC6729455	dorsal-ventral patterning protein tolloid	Drosophila simulans		PROTEIN_CODING	2	42945	NCBI Ortholog	3R	LOC6729455		NC_052523.2	20979619	20983605		plus	2	tld,tld-PA,GD21125,Dsim\tld,GD21125-PA	7240	
6727390	LOC6727390	heparan-sulfate 6-O-sulfotransferase 3-B	Drosophila simulans		PROTEIN_CODING	2	42380	NCBI Ortholog	3R	LOC6727390		NC_052523.2	6249967	6328647		plus	2	mir,mira,GD20088,mira-PA,mira-PB,Dsim\mira,GD20088-PA,GD20088-PB	7240	
6727996	LOC6727996	centrosome-associated zinc finger protein CP190	Drosophila simulans		PROTEIN_CODING	1	41848	NCBI Ortholog	3R	LOC6727996		NC_052523.2	10952987	10957839		plus	1	CP190,Cen190,GD20366,Cen190-PB,GD20366-PB	7240	
6728741	LOC6728741	E3 ubiquitin-protein ligase hyd	Drosophila simulans		PROTEIN_CODING	1	41181	NCBI Ortholog	3R	LOC6728741		NC_052523.2	16373694	16384730		plus	1	hyd,hyd-PB,GD20770,Dsim\hyd,GD20770-PB	7240	
27206376	LOC27206376	achaete-scute complex protein T3	Drosophila simulans		PROTEIN_CODING	1	30983	NCBI Ortholog	X	LOC27206376		NC_052525.2	279633	280783		plus	1	l'sc,l(1)sc,GD16503,l(1)sc-PB,GD16503-PB	7240	
6726906	LOC6726906	general odorant-binding protein 83a	Drosophila simulans		PROTEIN_CODING	1	40737	NCBI Ortholog	3R	LOC6726906		NC_052523.2	2466475	2469613		minus	1	OS-F,Pbprp3,GD19570,Dsim\OS-F,Pbprp3-PA,DsimObp83a,GD19570-PA	7240	
6732775	LOC6732775	3,4-dihydroxyphenylacetaldehyde synthase	Drosophila simulans		PROTEIN_CODING	2	35188	NCBI Ortholog	2L	LOC6732775		NC_052520.2	18861385	18865326		plus	2	amd,amd-PA,amd-PB,CG10501,GD24184,l(2)amd,Dsim\amd,GD24184-PA,GD24184-PB	7240	P81893
6729207	LOC6729207	segmentation protein cap'n'collar	Drosophila simulans		PROTEIN_CODING	5	42743	NCBI Ortholog	3R	LOC6729207		NC_052523.2	19405699	19446538		minus	5	fzo,fzo-PB,GD18399,Dsim\fzo,GD18399-PB	7240	
6730371	LOC6730371	paternally-expressed gene 3 protein	Drosophila simulans		PROTEIN_CODING	4	43741	NCBI Ortholog	3R	LOC6730371		NC_052523.2	27814069	27818129		plus	4	GD21602,anon1A3,GD21602-PA	7240	
6737935	LOC6737935	accessory gland-specific peptide 70A	Drosophila simulans		PROTEIN_CODING	1	39494	NCBI Ortholog	3L	LOC6737935		NC_052522.2	13087280	13087599		plus	1	SP,AcpA,PAPB,Acp70A,GD14439,Acp70A-PA,GD14439-PA	7240	P67807
6726907	LOC6726907	pheromone-binding protein-related protein 6	Drosophila simulans		PROTEIN_CODING	1	40738	NCBI Ortholog	3R	LOC6726907		NC_052523.2	2470507	2471257		minus	1	Os-E,GD19569,Os-E-PA,Dsim\Os-E,DsimObp83b,GD19569-PA	7240	
6729112	LOC6729112	T-complex protein 1 subunit alpha	Drosophila simulans		PROTEIN_CODING	1	42649	NCBI Ortholog	3R	LOC6729112		NC_052523.2	18707256	18709625		minus	1	tcp1,T-cp1,T-cpl,GD18453,T-cp1-PA,Dsim\T-cp1,GD18453-PA	7240	
6725084	LOC6725084	DNA repair endonuclease XPF	Drosophila simulans		PROTEIN_CODING	1			X	LOC6725084		NC_052525.2	3987646	3991578		minus	1	mei-9,GD16300,GD16302,mei-9-PB,Dsim\mei-9,GD16300-PA,GD16302-PB	7240	
6727018	LOC6727018	segmentation protein fushi tarazu	Drosophila simulans		PROTEIN_CODING	1	40834	NCBI Ortholog	3R	LOC6727018		NC_052523.2	3350175	3352325		plus	1	ftz,ftz-PA,GD19897,Dsim\ftz,GD19897-PA	7240	
6732669	LOC6732669	accessory gland protein Acp36DE	Drosophila simulans		PROTEIN_CODING	1	35096	NCBI Ortholog	2L	LOC6732669		NC_052520.2	18109810	18112887		minus	1	Acp36DE,GD21835,Acp36DE-PB,GD21835-PB	7240	
6737597	LOC6737597	acyl-CoA Delta-9 desaturase	Drosophila simulans		PROTEIN_CODING	1	44006	NCBI Ortholog	3L	LOC6737597		NC_052522.2	10816609	10818064		plus	1	desatF,GD14271,DesatF-PA,GD14271-PA	7240	
6728451	LOC6728451	major heat shock 70 kDa protein Ab	Drosophila simulans		PROTEIN_CODING	1			3R	LOC6728451		NC_052523.2	14167746	14170144		minus	1	hsp70,Hsp70A,GD18791,hsp70Ab,GD18791-PA,Hsp70Ab-PA	7240	
6728855	LOC6728855	zinc finger protein 236	Drosophila simulans		PROTEIN_CODING	1	41073	NCBI Ortholog	3R	LOC6728855		NC_052523.2	17084763	17087104		plus	1	Anon1E9,GD20831,GD20831-PA	7240	
