NCBI GeneID,Protein Accession,Protein_length,Transcript Accession,Transcript_length
30996,NP_569846.2,127,NM_130490.2,1119
30998,NP_996322.1,1404,NM_206599.2,5904
30998,NP_726675.3,1437,NM_166846.5,5842
30998,NP_996321.1,433,NM_206598.3,3144
30998,NP_001284742.1,433,NM_001297813.1,3092
30998,NP_525032.2,1406,NM_080293.4,5890
30998,NP_996319.1,1439,NM_206596.2,5828
30998,NP_996320.1,435,NM_206597.2,3130
30998,NP_788852.2,1406,NM_176679.3,5611
30998,NP_001284744.1,1439,NM_001297815.1,4986
30998,NP_001138141.1,1292,NM_001144669.2,5267
30998,NP_001284743.1,435,NM_001297814.1,2851
31000,NP_001245447.1,483,NM_001258518.3,10506
31000,NP_001014713.1,479,NM_001014713.4,2602
31000,NP_001138142.1,479,NM_001144670.2,2248
31000,NP_525033.1,483,NM_080294.5,2505
46717,NP_524875.1,351,NM_080136.3,1243
31001,NP_001033816.1,441,NM_001038727.1,1976
31001,NP_001033817.1,441,NM_001038728.3,1677
31001,NP_001259099.1,439,NM_001272170.1,1683
31001,NP_569847.1,441,NM_130491.5,1689
31001,NP_726677.1,441,NM_166847.4,1790
31002,NP_001245451.1,883,NM_001258522.2,6324
31002,NP_001245450.1,888,NM_001258521.2,5425
31002,NP_001245452.1,888,NM_001258523.2,5425
31002,NP_476626.2,887,NM_057278.5,5422
31002,NP_001245449.1,830,NM_001258520.2,5251
31002,NP_001245448.1,890,NM_001258519.1,6331
31003,NP_001036253.1,577,NM_001042788.4,3412
31003,NP_476786.2,723,NM_057438.4,3033
31004,NP_001284749.1,942,NM_001297820.1,3741
31004,NP_001284746.1,949,NM_001297817.1,4307
31004,NP_569848.2,950,NM_130492.3,4310
31004,NP_001284747.1,950,NM_001297818.1,4391
31004,NP_001036254.1,1094,NM_001042789.2,4398
31004,NP_001284748.1,1094,NM_001297819.1,4448
31004,NP_001284745.1,1094,NM_001297816.1,4725
31005,NP_569849.1,114,NM_130493.2,499
31006,NP_525034.2,200,NM_080295.3,1343
31006,NP_726681.1,196,NM_166850.2,1331
31006,NP_726679.1,200,NM_166848.2,1332
31006,NP_001259101.1,200,NM_001272172.1,1294
31006,NP_001259100.1,196,NM_001272171.1,1323
31006,NP_726680.1,196,NM_166849.2,1099
31007,NP_569850.1,304,NM_130494.4,1175
50364,NP_652500.1,64,NM_144243.2,387
47718,NP_652054.1,467,NM_143797.3,2256
47718,NP_726685.1,448,NM_166852.3,2199
47718,NP_726684.1,467,NM_166851.3,2197
31009,NP_001284750.1,115,NM_001297821.1,493
31009,NP_476629.1,115,NM_057281.4,568
31009,NP_726688.1,115,NM_166855.2,535
31009,NP_726686.1,115,NM_166853.2,555
31009,NP_726687.1,115,NM_166854.2,592
31010,NP_476593.2,1133,NM_057245.3,3680
31011,NP_477251.3,488,NM_057903.4,1613
31011,NP_477249.3,494,NM_057901.4,1631
31011,NP_477250.3,284,NM_057902.4,1689
31011,NP_001284751.1,440,NM_001297822.1,1650
31012,NP_476754.1,1325,NM_057406.4,4901
31012,NP_001284752.1,1321,NM_001297823.1,4889
31012,NP_001284753.1,1325,NM_001297824.1,4657
31013,NP_569851.2,408,NM_130495.2,1550
31014,NP_001138143.2,136,NM_001144671.3,1229
31014,NP_001284754.1,108,NM_001297825.1,1145
31014,NP_569852.1,108,NM_130496.4,696
31015,NP_569853.1,1300,NM_130497.4,6137
31015,NP_001245453.1,1300,NM_001258524.1,5149
31016,NP_726692.1,162,NM_166858.3,1472
31016,NP_477390.1,162,NM_058042.5,1087
31016,NP_001033818.1,162,NM_001038729.3,1544
31016,NP_726691.1,162,NM_166857.3,1050
31016,NP_726690.1,162,NM_166856.3,935
31016,NP_726695.1,162,NM_166861.3,845
31016,NP_726694.1,162,NM_166860.3,913
31016,NP_726693.1,162,NM_166859.3,869
31016,NP_001284755.1,162,NM_001297826.1,826
31017,NP_001162630.1,2224,NM_001169159.2,9406
31017,NP_477290.6,2232,NM_057942.5,8984
31017,NP_599142.5,2224,NM_134315.4,8960
31017,NP_001284756.1,2265,NM_001297827.1,9031
31017,NP_599141.5,2224,NM_134314.4,8908
31017,NP_001284757.1,2220,NM_001297828.1,8896
31017,NP_001284758.1,2168,NM_001297829.1,8740
31017,NP_477289.5,2224,NM_057941.5,8843
31017,NP_001162631.1,2224,NM_001169160.2,8774
31018,NP_569854.1,322,NM_130498.3,1686
31020,NP_001284759.1,237,NM_001297830.1,1362
31020,NP_569856.2,306,NM_130500.4,1236
31019,NP_569855.2,478,NM_130499.2,1565
31021,NP_726698.1,469,NM_166862.4,2193
31021,NP_569857.1,469,NM_130501.6,2124
31021,NP_726699.1,469,NM_166863.4,2103
31022,NP_477134.1,299,NM_057786.5,1100
31023,NP_001284760.1,581,NM_001297831.1,3250
31023,NP_525035.2,581,NM_080296.3,2249
31023,NP_001096859.1,646,NM_001103389.2,2304
31024,NP_001259102.1,765,NM_001272173.1,2840
31024,NP_569858.1,765,NM_130502.3,2671
31025,NP_569859.1,421,NM_130503.3,1603
31026,NP_001284761.2,1045,NM_001297832.1,3915
31026,NP_569860.3,1045,NM_130504.3,3208
31027,NP_525036.2,845,NM_080297.3,3619
31028,NP_569861.1,493,NM_130505.3,1802
31029,NP_569862.3,301,NM_130506.3,1427
31030,NP_001259103.1,213,NM_001272174.1,1749
31030,NP_569863.1,211,NM_130507.3,1743
31031,NP_001259109.1,1768,NM_001272180.1,6920
31031,NP_001259107.2,1736,NM_001272178.2,7150
31031,NP_001259104.1,1820,NM_001272175.1,7402
31031,NP_001284762.1,1852,NM_001297833.1,7498
31031,NP_001259108.1,1736,NM_001272179.1,6794
31031,NP_001259106.1,1694,NM_001272177.1,6684
31031,NP_001096860.2,1820,NM_001103390.2,7135
31031,NP_001259105.1,1428,NM_001272176.1,6901
31031,NP_477389.4,1490,NM_058041.4,7087
31031,NP_001096861.1,1522,NM_001103391.1,6390
31032,NP_569864.1,119,NM_130508.2,475
50365,NP_652501.1,83,NM_144244.3,987
50365,NP_001259110.1,83,NM_001272181.1,500
50366,NP_001036255.1,93,NM_001042790.2,516
31033,NP_569865.1,254,NM_130509.2,881
31036,NP_569868.1,152,NM_130512.3,634
31036,NP_001259113.1,152,NM_001272184.1,645
31037,NP_569869.2,975,NM_130513.4,4335
31037,NP_001259114.1,998,NM_001272185.2,4056
31038,NP_569870.1,143,NM_130514.5,602
31039,NP_569871.2,362,NM_130515.3,1301
53540,NP_652634.1,444,NM_144377.3,1545
318224,NP_001284763.1,382,NM_001297834.1,3540
318224,NP_726709.2,382,NM_166865.3,2880
31042,NP_726711.1,368,NM_166867.2,2100
31042,NP_726710.1,368,NM_166866.2,1777
31042,NP_001259115.1,368,NM_001272186.1,1656
31042,NP_001245456.1,368,NM_001258527.1,1623
31042,NP_726712.1,368,NM_166868.1,1896
31043,NP_569872.1,382,NM_130516.4,1515
31044,NP_569873.1,426,NM_130517.3,2155
31045,NP_569874.1,711,NM_130518.3,2496
31046,NP_569875.2,251,NM_130519.3,839
31047,NP_001284764.1,558,NM_001297835.1,2540
31047,NP_569876.3,558,NM_130520.4,2073
59184,NP_659571.1,106,NM_145103.2,667
31048,NP_569877.1,107,NM_130521.1,462
31049,NP_569878.1,132,NM_130522.3,590
31054,NP_001188520.1,748,NM_001201591.3,4288
31054,NP_996323.1,176,NM_206600.3,4836
31054,NP_996324.1,176,NM_206601.3,4056
31054,NP_001259116.1,160,NM_001272187.2,3355
31054,NP_001245458.1,186,NM_001258529.2,3609
31054,NP_001245457.1,217,NM_001258528.2,3478
31054,NP_476756.2,963,NM_057408.6,3199
31050,NP_569879.1,387,NM_130523.3,2462
318223,NP_726716.2,244,NM_166869.4,1664
53546,NP_652639.1,389,NM_144382.4,1412
31052,NP_569880.1,575,NM_130524.5,2214
318857,NP_001303571.1,183,NM_001316642.1,2303
318857,NP_788853.1,183,NM_176680.4,796
44620,NP_651985.1,406,NM_143728.4,1358
7354475,NP_001036256.2,92,NM_001042791.3,711
7354475,NP_001245459.1,92,NM_001258530.1,486
31055,NP_569881.1,319,NM_130525.4,1107
31056,NP_001096862.1,563,NM_001103392.2,4995
31056,NP_001259119.1,563,NM_001272190.2,4325
31056,NP_569882.1,563,NM_130526.3,4766
31056,NP_001259118.1,596,NM_001272189.2,4766
31057,NP_569883.1,141,NM_130527.3,489
31059,NP_726718.1,429,NM_166870.2,1638
31060,NP_001259120.1,312,NM_001272191.1,1698
31060,NP_001284765.1,312,NM_001297836.1,2256
31060,NP_569886.1,312,NM_130530.4,1199
31061,NP_569887.1,588,NM_130531.4,2159
31062,NP_001284766.1,201,NM_001297837.1,1387
31062,NP_569888.1,201,NM_130532.2,783
31063,NP_569889.2,270,NM_130533.4,1430
31063,NP_001259121.1,270,NM_001272192.1,1564
31064,NP_569890.1,342,NM_130534.3,1413
31065,NP_001284767.1,569,NM_001297838.1,2801
31065,NP_569891.1,569,NM_130535.3,2704
31066,NP_569892.1,756,NM_130536.2,2579
31067,NP_569894.2,436,NM_130538.3,1603
31068,NP_726719.1,230,NM_166871.2,819
31069,NP_569895.1,505,NM_130539.3,1884
31069,NP_001284768.1,505,NM_001297839.1,1744
31070,NP_001259122.2,329,NM_001272193.2,3018
31070,NP_569896.1,329,NM_130540.4,1487
31071,NP_726722.1,655,NM_166874.3,8745
31071,NP_726721.1,639,NM_166873.3,8332
31071,NP_569897.4,1136,NM_130541.4,6636
31071,NP_001303561.1,551,NM_001316632.1,6636
31071,NP_001259124.1,586,NM_001272195.1,6755
31071,NP_001245460.1,639,NM_001258531.2,6037
31071,NP_726720.3,1472,NM_166872.3,6097
31071,NP_001303560.1,1224,NM_001316631.1,6097
31072,NP_569898.1,861,NM_130542.4,2890
43867,NP_001284769.1,613,NM_001297840.1,6975
43867,NP_620473.1,613,NM_138988.4,7025
43867,NP_001259125.1,688,NM_001272196.2,7025
31074,NP_569899.3,225,NM_130543.4,1599
31074,NP_001284770.1,225,NM_001297841.1,980
31075,NP_726723.2,1153,NM_166875.3,5157
31075,NP_001259126.1,1153,NM_001272197.1,5414
31075,NP_569900.3,1114,NM_130544.4,4274
31075,NP_001284771.1,1153,NM_001297842.1,5323
31075,NP_726724.1,1153,NM_166876.3,5365
31075,NP_001188522.1,1463,NM_001201593.2,5470
318222,NP_726725.2,77,NM_166877.3,404
45973,NP_569901.1,2118,NM_130545.3,6581
31078,NP_001284772.1,1279,NM_001297843.1,4397
31078,NP_569902.2,1279,NM_130546.3,4457
31079,NP_726727.1,377,NM_166878.3,2347
31079,NP_001259128.1,358,NM_001272199.2,1989
31081,NP_001259129.1,612,NM_001272200.1,2243
31081,NP_569904.1,612,NM_130548.3,2319
31081,NP_996325.1,288,NM_206602.2,1374
31080,NP_525037.1,244,NM_080298.4,1002
31080,NP_001188523.1,244,NM_001201594.2,910
31082,NP_001284773.1,712,NM_001297844.1,3887
31082,NP_001259131.1,711,NM_001272202.1,3620
31082,NP_569905.1,712,NM_130549.3,3623
31083,NP_569906.1,771,NM_130550.3,2460
31084,NP_477492.1,291,NM_058144.3,1114
31085,NP_569907.1,151,NM_130551.3,690
31086,NP_001284775.1,443,NM_001297846.1,3635
31086,NP_001284774.1,167,NM_001297845.1,3096
31086,NP_996326.1,443,NM_206603.3,3055
31086,NP_569908.1,485,NM_130552.3,2945
43904,NP_726730.1,582,NM_166880.2,2853
43904,NP_996327.1,582,NM_206604.2,2739
43904,NP_477313.1,582,NM_057965.4,2708
44736,NP_651990.1,160,NM_143733.2,831
31089,NP_726737.1,572,NM_166885.3,3697
31089,NP_726733.2,572,NM_166881.4,3726
31089,NP_001284778.1,572,NM_001297849.1,3585
31089,NP_569909.2,581,NM_130553.4,3511
31089,NP_001368967.1,699,NM_001382062.1,3484
31089,NP_001284776.1,572,NM_001297847.1,3484
31089,NP_001284777.1,572,NM_001297848.1,3220
31089,NP_726735.3,572,NM_166883.4,4058
31089,NP_726736.1,572,NM_166884.4,3438
31089,NP_726734.2,572,NM_166882.3,3254
31090,NP_001259132.1,448,NM_001272203.1,3799
31090,NP_569910.1,443,NM_130554.3,3784
31090,NP_001259133.1,486,NM_001272204.1,3603
5740544,NP_001245461.1,5495,NM_001258532.1,20736
5740544,NP_001162632.2,5495,NM_001169161.3,22255
5740544,NP_001096864.1,5495,NM_001103394.3,19300
31093,NP_001162633.1,428,NM_001169162.2,1562
31093,NP_525038.3,410,NM_080299.4,1508
31094,NP_569912.2,470,NM_130556.2,1713
31095,NP_569913.1,1072,NM_130557.3,3382
31096,NP_569914.2,260,NM_130558.3,870
31097,NP_001284779.1,606,NM_001297850.1,2176
31097,NP_569915.1,606,NM_130559.3,2040
31098,NP_569916.1,490,NM_130560.4,1634
31099,NP_001284782.1,196,NM_001297853.1,1474
31099,NP_569917.1,196,NM_130561.3,859
31099,NP_001284781.1,196,NM_001297852.1,855
31099,NP_001284780.1,196,NM_001297851.1,905
31099,NP_001162634.1,196,NM_001169163.1,799
31100,NP_569918.1,186,NM_130562.2,753
318221,NP_726740.1,284,NM_166886.2,1063
31101,NP_726742.1,256,NM_166887.3,1399
31101,NP_001033820.1,136,NM_001038731.1,1360
31101,NP_569919.2,256,NM_130563.4,1289
31102,NP_569920.2,302,NM_130564.3,1082
31103,NP_726743.1,236,NM_166888.3,1466
31103,NP_569921.1,230,NM_130565.4,1564
31104,NP_001334676.1,347,NM_001347750.1,1493
31104,NP_001284783.1,326,NM_001297854.1,1336
31104,NP_569922.1,325,NM_130566.3,1333
31105,NP_569923.2,316,NM_130567.3,2082
31105,NP_001284784.1,316,NM_001297855.1,2672
31106,NP_726744.1,270,NM_166889.2,1083
31106,NP_001284785.1,270,NM_001297856.1,1088
31106,NP_476750.1,270,NM_057402.5,1109
31106,NP_726745.3,270,NM_166890.3,1035
31110,NP_001284786.1,211,NM_001297857.1,4686
31110,NP_569926.2,211,NM_130570.3,3254
31110,NP_001284787.1,211,NM_001297858.1,2776
31107,NP_001284788.1,1082,NM_001297859.1,6775
31107,NP_001014715.1,902,NM_001014715.2,3470
31107,NP_001014714.1,1083,NM_001014714.2,4176
31107,NP_001162635.1,902,NM_001169164.1,3184
31107,NP_001014716.1,902,NM_001014716.2,3127
31107,NP_001162636.1,941,NM_001169165.1,3194
31107,NP_001162637.1,1070,NM_001169166.1,4837
31109,NP_569925.2,116,NM_130569.5,457
31111,NP_001188524.1,1144,NM_001201595.2,5100
31111,NP_001284789.1,1795,NM_001297860.1,6772
31111,NP_569927.1,1795,NM_130571.3,6411
44505,NP_001188527.1,724,NM_001201598.1,4546
44505,NP_001245462.1,663,NM_001258533.1,4368
44505,NP_001138144.1,880,NM_001144672.3,4305
44505,NP_726753.1,880,NM_166897.2,3867
44505,NP_001162638.2,1011,NM_001169167.2,4188
44505,NP_001188525.1,514,NM_001201596.3,9822
44505,NP_726750.1,702,NM_166894.4,8223
44505,NP_726749.2,514,NM_166893.3,3375
44505,NP_001368968.1,644,NM_001382013.1,3375
44505,NP_726752.1,880,NM_166896.3,7839
44505,NP_001259134.1,880,NM_001272205.1,4235
44505,NP_524759.2,724,NM_080020.4,4419
44505,NP_726754.1,663,NM_166898.2,4236
44505,NP_726751.2,880,NM_166895.2,3981
44505,NP_001401048.1,702,NM_001414056.1,5411
44505,NP_001188526.1,724,NM_001201597.1,4213
31118,NP_477286.2,1002,NM_057938.5,3161
31119,NP_569932.1,140,NM_130576.4,829
31120,NP_001259135.1,611,NM_001272206.1,3038
31120,NP_569933.2,611,NM_130577.4,2540
31121,NP_001259140.1,1193,NM_001272211.3,6728
31121,NP_001259139.1,1214,NM_001272210.3,6791
31121,NP_001259137.1,1242,NM_001272208.2,6875
31121,NP_001245466.1,1264,NM_001258537.3,6941
31121,NP_569934.2,1234,NM_130578.3,4653
31121,NP_001259136.1,1249,NM_001272207.1,4653
31121,NP_001259138.1,877,NM_001272209.3,4661
31121,NP_001245464.1,1233,NM_001258535.3,4697
31121,NP_001245467.1,818,NM_001258538.3,4741
31121,NP_001245465.1,941,NM_001258536.2,3799
31121,NP_726755.1,794,NM_166899.2,2636
31123,NP_001245468.1,221,NM_001258539.1,3151
31123,NP_569936.2,196,NM_130580.3,1470
31124,NP_477365.1,558,NM_058017.5,2139
31127,NP_001259142.1,409,NM_001272213.1,2047
31127,NP_477309.1,409,NM_057961.5,2210
31127,NP_001259141.1,409,NM_001272212.1,2218
31128,NP_001284790.1,305,NM_001297861.1,1247
31128,NP_569939.2,305,NM_130583.3,1115
31129,NP_001162640.1,404,NM_001169169.2,2966
31129,NP_001162639.2,404,NM_001169168.2,2972
31129,NP_525039.1,404,NM_080300.3,2149
31129,NP_001162641.1,404,NM_001169170.2,2336
31136,NP_001245478.1,742,NM_001258549.1,3319
31136,NP_001245480.1,742,NM_001258551.1,2821
31136,NP_001245481.1,852,NM_001258552.1,3749
31136,NP_001188528.1,852,NM_001201599.2,3629
31136,NP_001245479.1,742,NM_001258550.1,2784
31136,NP_569945.1,787,NM_130589.3,3467
31136,NP_726769.1,742,NM_166908.2,2934
31136,NP_001259143.1,742,NM_001272214.1,3700
31136,NP_001188529.1,761,NM_001201600.2,3806
31136,NP_726768.1,761,NM_166907.2,3100
31136,NP_726767.1,761,NM_166906.2,2876
31130,NP_001245477.1,611,NM_001258548.2,6954
31130,NP_001284791.1,669,NM_001297862.1,6823
31130,NP_726761.2,628,NM_166903.3,6645
31130,NP_001245476.1,634,NM_001258547.2,2839
31130,NP_001033821.1,186,NM_001038732.3,3451
31130,NP_569940.2,632,NM_130584.4,2648
31130,NP_001245474.1,665,NM_001258545.2,2692
31130,NP_001245475.1,392,NM_001258546.2,2042
31130,NP_001245471.1,392,NM_001258542.2,2073
31130,NP_001245473.1,188,NM_001258544.2,2867
31130,NP_001245472.2,355,NM_001258543.2,1891
31130,NP_001284792.1,334,NM_001297863.1,1851
31130,NP_001245470.1,389,NM_001258541.2,1938
31130,NP_001245469.1,632,NM_001258540.1,2727
31130,NP_001368969.1,681,NM_001382020.1,2315
318220,NP_726762.1,205,NM_166904.2,803
31131,NP_001245482.1,201,NM_001258553.1,717
31131,NP_569941.2,202,NM_130585.2,720
31132,NP_569942.2,237,NM_130586.2,849
31137,NP_001259144.1,100,NM_001272215.2,802
31137,NP_569946.1,100,NM_130590.5,720
45250,NP_001162642.1,531,NM_001169171.2,2167
45250,NP_652012.1,532,NM_143755.4,2170
31139,NP_001284793.1,1030,NM_001297864.1,3511
31139,NP_726770.2,1030,NM_166909.3,3385
31139,NP_569947.2,1052,NM_130591.3,3451
31140,NP_001138145.1,50,NM_001144673.2,865
31140,NP_569948.3,217,NM_130592.4,842
31141,NP_726771.1,614,NM_166910.2,2158
31141,NP_569949.3,559,NM_130593.4,1972
31142,NP_569950.1,1102,NM_130594.2,3419
31142,NP_001284794.1,1097,NM_001297865.1,3404
31143,NP_001284795.1,288,NM_001297866.1,1097
31143,NP_569951.1,289,NM_130595.3,1100
31144,NP_569952.2,478,NM_130596.3,2543
31145,NP_001284796.1,106,NM_001297867.1,920
31145,NP_569953.1,106,NM_130597.3,508
31146,NP_569954.1,506,NM_130598.3,1704
31147,NP_001259146.1,96,NM_001272217.1,598
31147,NP_569955.1,96,NM_130599.3,501
31148,NP_569956.1,176,NM_130600.2,1019
31148,NP_001259147.1,176,NM_001272218.1,770
31149,NP_525040.2,2410,NM_080301.3,8251
31149,NP_726773.2,2431,NM_166911.4,8314
31150,NP_001259148.1,243,NM_001272219.1,1076
31150,NP_525041.1,243,NM_080302.3,869
31151,NP_476665.2,843,NM_057317.4,3127
31151,NP_476666.1,843,NM_057318.4,3120
31151,NP_726775.2,721,NM_166912.2,3123
31151,NP_599100.1,843,NM_134273.2,3220
31151,NP_996328.1,843,NM_206605.2,3116
31151,NP_001259149.1,843,NM_001272220.1,3211
326240,NP_001259151.1,207,NM_001272222.2,800
326240,NP_569957.2,213,NM_130601.5,818
326240,NP_001259150.1,242,NM_001272221.2,905
31152,NP_726776.1,158,NM_166913.3,937
31154,NP_726778.1,982,NM_166915.2,4251
31154,NP_001259152.1,1004,NM_001272223.2,3883
31154,NP_001245483.1,982,NM_001258554.2,3935
31154,NP_569959.1,982,NM_130603.3,3221
31154,NP_726777.1,982,NM_166914.2,3670
31153,NP_569958.2,986,NM_130602.4,3459
31155,NP_001284797.1,1525,NM_001297868.1,6716
31155,NP_569960.2,1525,NM_130604.4,6065
31156,NP_996329.1,669,NM_206606.3,2447
31156,NP_569961.2,669,NM_130605.5,2297
31157,NP_569962.2,850,NM_130606.3,3688
31157,NP_001259153.1,850,NM_001272224.1,3619
31158,NP_569963.1,439,NM_130607.3,1747
31158,NP_726779.1,456,NM_166916.2,1791
31158,NP_001259155.1,401,NM_001272226.1,1765
31158,NP_726780.1,401,NM_166917.2,1648
31158,NP_001259154.1,401,NM_001272225.1,1544
2768908,NP_996330.1,487,NM_206607.2,2341
31160,NP_569965.1,299,NM_130609.4,1105
31162,NP_001259163.1,1843,NM_001272234.1,12551
31162,NP_001259162.1,1843,NM_001272233.2,10003
31162,NP_001259159.1,1529,NM_001272230.1,8596
31162,NP_001259156.1,1986,NM_001272227.1,9386
31162,NP_001259160.1,1863,NM_001272231.1,8406
31162,NP_001259161.1,2123,NM_001272232.1,8338
31162,NP_001033823.1,1518,NM_001038734.2,8403
31162,NP_001259158.1,1842,NM_001272229.1,9374
31162,NP_001259157.1,1611,NM_001272228.1,8417
31163,NP_569968.2,355,NM_130612.4,1203
46006,NP_001245484.1,2342,NM_001258555.1,7498
46006,NP_001188530.1,2301,NM_001201601.2,7521
46006,NP_524864.2,2301,NM_080125.5,7368
46006,NP_001245485.1,2342,NM_001258556.2,9407
46006,NP_001188531.1,2301,NM_001201602.2,7579
46006,NP_001284798.1,2306,NM_001297869.1,7954
31166,NP_477485.1,917,NM_058137.6,4868
31166,NP_001259164.1,897,NM_001272235.1,3877
31166,NP_477484.2,895,NM_058136.4,3511
31166,NP_726784.1,895,NM_166920.2,3511
31166,NP_001259166.1,917,NM_001272237.1,3351
31166,NP_001259167.1,917,NM_001272238.1,3366
31166,NP_001259165.1,917,NM_001272236.1,3369
31166,NP_001188532.1,895,NM_001201603.2,3306
31166,NP_001188533.1,895,NM_001201604.2,3516
31165,NP_001259168.1,508,NM_001272239.2,3038
31165,NP_476781.1,508,NM_057433.4,2515
31169,NP_001284800.1,345,NM_001297871.1,1951
31169,NP_001284799.1,345,NM_001297870.1,2021
31169,NP_569971.3,541,NM_130615.3,2157
31167,NP_001259169.1,158,NM_001272240.1,897
31167,NP_569969.1,158,NM_130613.3,583
31168,NP_001188536.1,633,NM_001201607.2,3780
31168,NP_001188534.1,670,NM_001201605.2,3782
31168,NP_001259170.1,670,NM_001272241.2,2937
31168,NP_001188535.1,633,NM_001201606.2,2939
31168,NP_569970.2,670,NM_130614.4,2941
31168,NP_001259171.1,670,NM_001272242.2,3014
31170,NP_569972.1,1398,NM_130616.3,5230
31171,NP_569973.1,696,NM_130617.4,2664
31172,NP_569974.2,205,NM_130618.3,920
31174,NP_726786.2,593,NM_166921.4,2317
31174,NP_726789.3,593,NM_166924.3,2521
31174,NP_001188537.1,593,NM_001201608.1,2356
31174,NP_726788.1,593,NM_166923.4,2436
31174,NP_569976.1,593,NM_130620.4,2466
31174,NP_726787.1,593,NM_166922.3,2371
31174,NP_726790.1,552,NM_166925.3,2097
