Protein Accession,Transcript Accession
NP_476626.2,NM_057278.5
NP_001245449.1,NM_001258520.2
NP_001245448.1,NM_001258519.1
NP_001036253.1,NM_001042788.4
NP_476786.2,NM_057438.4
NP_001284749.1,NM_001297820.1
NP_001284746.1,NM_001297817.1
NP_569848.2,NM_130492.3
NP_001284747.1,NM_001297818.1
NP_001036254.1,NM_001042789.2
NP_001284748.1,NM_001297819.1
NP_001284745.1,NM_001297816.1
NP_569849.1,NM_130493.2
NP_525034.2,NM_080295.3
NP_726681.1,NM_166850.2
NP_726679.1,NM_166848.2
NP_001259101.1,NM_001272172.1
NP_001259100.1,NM_001272171.1
NP_726680.1,NM_166849.2
NP_569850.1,NM_130494.4
NP_652500.1,NM_144243.2
NP_652054.1,NM_143797.3
NP_726685.1,NM_166852.3
NP_726684.1,NM_166851.3
NP_001284750.1,NM_001297821.1
NP_476629.1,NM_057281.4
NP_726688.1,NM_166855.2
NP_726686.1,NM_166853.2
NP_726687.1,NM_166854.2
NP_476593.2,NM_057245.3
NP_477251.3,NM_057903.4
NP_477249.3,NM_057901.4
NP_477250.3,NM_057902.4
NP_001284751.1,NM_001297822.1
NP_476754.1,NM_057406.4
NP_001284752.1,NM_001297823.1
NP_001284753.1,NM_001297824.1
NP_569851.2,NM_130495.2
NP_001138143.2,NM_001144671.3
NP_001284754.1,NM_001297825.1
NP_569852.1,NM_130496.4
NP_569853.1,NM_130497.4
NP_001245453.1,NM_001258524.1
NP_726692.1,NM_166858.3
NP_477390.1,NM_058042.5
NP_001033818.1,NM_001038729.3
NP_726691.1,NM_166857.3
NP_726690.1,NM_166856.3
NP_726695.1,NM_166861.3
NP_726694.1,NM_166860.3
NP_726693.1,NM_166859.3
NP_001284755.1,NM_001297826.1
NP_001162630.1,NM_001169159.2
NP_477290.6,NM_057942.5
NP_599142.5,NM_134315.4
NP_001284756.1,NM_001297827.1
NP_599141.5,NM_134314.4
NP_001284757.1,NM_001297828.1
NP_001284758.1,NM_001297829.1
NP_477289.5,NM_057941.5
NP_001162631.1,NM_001169160.2
NP_569854.1,NM_130498.3
NP_001284759.1,NM_001297830.1
NP_569856.2,NM_130500.4
NP_569855.2,NM_130499.2
NP_726698.1,NM_166862.4
NP_569857.1,NM_130501.6
NP_726699.1,NM_166863.4
NP_477134.1,NM_057786.5
NP_001284760.1,NM_001297831.1
NP_525035.2,NM_080296.3
NP_001096859.1,NM_001103389.2
NP_001259102.1,NM_001272173.1
NP_569858.1,NM_130502.3
NP_569859.1,NM_130503.3
NP_001284761.2,NM_001297832.1
NP_569860.3,NM_130504.3
NP_525036.2,NM_080297.3
NP_569861.1,NM_130505.3
NP_569862.3,NM_130506.3
NP_001259103.1,NM_001272174.1
NP_569863.1,NM_130507.3
NP_001259109.1,NM_001272180.1
NP_001259107.2,NM_001272178.2
NP_001259104.1,NM_001272175.1
NP_001284762.1,NM_001297833.1
NP_001259108.1,NM_001272179.1
NP_001259106.1,NM_001272177.1
NP_001096860.2,NM_001103390.2
NP_001259105.1,NM_001272176.1
NP_477389.4,NM_058041.4
NP_001096861.1,NM_001103391.1
NP_569864.1,NM_130508.2
NP_652501.1,NM_144244.3
NP_001259110.1,NM_001272181.1
NP_001036255.1,NM_001042790.2
NP_569865.1,NM_130509.2
NP_569868.1,NM_130512.3
NP_001259113.1,NM_001272184.1
NP_569869.2,NM_130513.4
NP_001259114.1,NM_001272185.2
NP_569870.1,NM_130514.5
NP_569871.2,NM_130515.3
NP_652634.1,NM_144377.3
NP_001284763.1,NM_001297834.1
NP_726709.2,NM_166865.3
NP_726711.1,NM_166867.2
NP_726710.1,NM_166866.2
NP_001259115.1,NM_001272186.1
NP_001245456.1,NM_001258527.1
NP_726712.1,NM_166868.1
NP_569872.1,NM_130516.4
NP_569873.1,NM_130517.3
NP_569874.1,NM_130518.3
NP_569875.2,NM_130519.3
NP_001284764.1,NM_001297835.1
NP_569876.3,NM_130520.4
NP_659571.1,NM_145103.2
NP_569877.1,NM_130521.1
NP_569878.1,NM_130522.3
NP_001188520.1,NM_001201591.3
NP_996323.1,NM_206600.3
NP_996324.1,NM_206601.3
NP_001259116.1,NM_001272187.2
NP_001245458.1,NM_001258529.2
NP_001245457.1,NM_001258528.2
NP_476756.2,NM_057408.6
NP_569879.1,NM_130523.3
NP_726716.2,NM_166869.4
NP_652639.1,NM_144382.4
NP_569880.1,NM_130524.5
NP_001303571.1,NM_001316642.1
NP_788853.1,NM_176680.4
NP_651985.1,NM_143728.4
NP_001036256.2,NM_001042791.3
NP_001245459.1,NM_001258530.1
NP_569881.1,NM_130525.4
NP_001096862.1,NM_001103392.2
NP_001259119.1,NM_001272190.2
NP_569882.1,NM_130526.3
NP_001259118.1,NM_001272189.2
NP_569883.1,NM_130527.3
NP_726718.1,NM_166870.2
NP_001259120.1,NM_001272191.1
NP_001284765.1,NM_001297836.1
NP_569886.1,NM_130530.4
NP_569887.1,NM_130531.4
NP_001284766.1,NM_001297837.1
NP_569888.1,NM_130532.2
NP_569889.2,NM_130533.4
NP_001259121.1,NM_001272192.1
NP_569890.1,NM_130534.3
NP_001284767.1,NM_001297838.1
NP_569891.1,NM_130535.3
NP_569892.1,NM_130536.2
NP_569894.2,NM_130538.3
NP_726719.1,NM_166871.2
NP_569895.1,NM_130539.3
NP_001284768.1,NM_001297839.1
NP_001259122.2,NM_001272193.2
NP_569896.1,NM_130540.4
NP_726722.1,NM_166874.3
NP_726721.1,NM_166873.3
NP_569897.4,NM_130541.4
NP_001303561.1,NM_001316632.1
NP_001259124.1,NM_001272195.1
NP_001245460.1,NM_001258531.2
NP_726720.3,NM_166872.3
NP_001303560.1,NM_001316631.1
NP_569898.1,NM_130542.4
NP_001284769.1,NM_001297840.1
NP_620473.1,NM_138988.4
NP_001259125.1,NM_001272196.2
NP_569899.3,NM_130543.4
NP_001284770.1,NM_001297841.1
NP_726723.2,NM_166875.3
NP_001259126.1,NM_001272197.1
NP_569900.3,NM_130544.4
NP_001284771.1,NM_001297842.1
NP_726724.1,NM_166876.3
NP_001188522.1,NM_001201593.2
NP_726725.2,NM_166877.3
NP_569901.1,NM_130545.3
NP_001284772.1,NM_001297843.1
NP_569902.2,NM_130546.3
NP_726727.1,NM_166878.3
NP_001259128.1,NM_001272199.2
NP_001259129.1,NM_001272200.1
NP_569904.1,NM_130548.3
NP_996325.1,NM_206602.2
NP_525037.1,NM_080298.4
NP_001188523.1,NM_001201594.2
NP_001284773.1,NM_001297844.1
NP_001259131.1,NM_001272202.1
NP_569905.1,NM_130549.3
NP_569906.1,NM_130550.3
NP_477492.1,NM_058144.3
NP_569907.1,NM_130551.3
NP_001284775.1,NM_001297846.1
NP_001284774.1,NM_001297845.1
NP_996326.1,NM_206603.3
NP_569908.1,NM_130552.3
NP_726730.1,NM_166880.2
NP_996327.1,NM_206604.2
NP_477313.1,NM_057965.4
NP_651990.1,NM_143733.2
NP_726737.1,NM_166885.3
NP_726733.2,NM_166881.4
NP_001284778.1,NM_001297849.1
NP_569909.2,NM_130553.4
NP_001368967.1,NM_001382062.1
NP_001284776.1,NM_001297847.1
NP_001284777.1,NM_001297848.1
NP_726735.3,NM_166883.4
NP_726736.1,NM_166884.4
NP_726734.2,NM_166882.3
NP_001259132.1,NM_001272203.1
NP_569910.1,NM_130554.3
NP_001259133.1,NM_001272204.1
NP_001245461.1,NM_001258532.1
NP_001162632.2,NM_001169161.3
NP_001096864.1,NM_001103394.3
NP_001162633.1,NM_001169162.2
NP_525038.3,NM_080299.4
NP_569912.2,NM_130556.2
NP_569913.1,NM_130557.3
NP_569914.2,NM_130558.3
NP_001284779.1,NM_001297850.1
NP_569915.1,NM_130559.3
NP_569916.1,NM_130560.4
NP_001284782.1,NM_001297853.1
NP_569917.1,NM_130561.3
NP_001284781.1,NM_001297852.1
NP_001284780.1,NM_001297851.1
NP_001162634.1,NM_001169163.1
NP_569918.1,NM_130562.2
NP_726740.1,NM_166886.2
NP_726742.1,NM_166887.3
NP_001033820.1,NM_001038731.1
NP_569919.2,NM_130563.4
NP_569920.2,NM_130564.3
NP_726743.1,NM_166888.3
NP_569921.1,NM_130565.4
NP_001334676.1,NM_001347750.1
NP_001284783.1,NM_001297854.1
NP_569922.1,NM_130566.3
NP_569923.2,NM_130567.3
NP_001284784.1,NM_001297855.1
NP_726744.1,NM_166889.2
NP_001284785.1,NM_001297856.1
NP_476750.1,NM_057402.5
NP_726745.3,NM_166890.3
NP_001284786.1,NM_001297857.1
NP_569926.2,NM_130570.3
NP_001284787.1,NM_001297858.1
NP_001284788.1,NM_001297859.1
NP_001014715.1,NM_001014715.2
NP_001014714.1,NM_001014714.2
NP_001162635.1,NM_001169164.1
NP_001014716.1,NM_001014716.2
NP_001162636.1,NM_001169165.1
NP_001162637.1,NM_001169166.1
NP_569925.2,NM_130569.5
NP_001188524.1,NM_001201595.2
NP_001284789.1,NM_001297860.1
NP_569927.1,NM_130571.3
NP_001188527.1,NM_001201598.1
NP_001245462.1,NM_001258533.1
NP_001138144.1,NM_001144672.3
NP_726753.1,NM_166897.2
NP_001162638.2,NM_001169167.2
NP_001188525.1,NM_001201596.3
NP_726750.1,NM_166894.4
NP_726749.2,NM_166893.3
NP_001368968.1,NM_001382013.1
NP_726752.1,NM_166896.3
NP_001259134.1,NM_001272205.1
NP_524759.2,NM_080020.4
NP_726754.1,NM_166898.2
NP_726751.2,NM_166895.2
NP_001401048.1,NM_001414056.1
NP_001188526.1,NM_001201597.1
NP_477286.2,NM_057938.5
NP_569932.1,NM_130576.4
NP_001259135.1,NM_001272206.1
NP_569933.2,NM_130577.4
NP_001259140.1,NM_001272211.3
NP_001259139.1,NM_001272210.3
NP_001259137.1,NM_001272208.2
NP_001245466.1,NM_001258537.3
NP_569934.2,NM_130578.3
NP_001259136.1,NM_001272207.1
NP_001259138.1,NM_001272209.3
NP_001245464.1,NM_001258535.3
NP_001245467.1,NM_001258538.3
NP_001245465.1,NM_001258536.2
NP_726755.1,NM_166899.2
NP_001245468.1,NM_001258539.1
NP_569936.2,NM_130580.3
NP_477365.1,NM_058017.5
NP_001259142.1,NM_001272213.1
NP_477309.1,NM_057961.5
NP_001259141.1,NM_001272212.1
NP_001284790.1,NM_001297861.1
NP_569939.2,NM_130583.3
NP_001162640.1,NM_001169169.2
NP_001162639.2,NM_001169168.2
NP_525039.1,NM_080300.3
NP_001162641.1,NM_001169170.2
NP_001245478.1,NM_001258549.1
NP_001245480.1,NM_001258551.1
NP_001245481.1,NM_001258552.1
NP_001188528.1,NM_001201599.2
NP_001245479.1,NM_001258550.1
NP_569945.1,NM_130589.3
NP_726769.1,NM_166908.2
NP_001259143.1,NM_001272214.1
NP_001188529.1,NM_001201600.2
NP_726768.1,NM_166907.2
NP_726767.1,NM_166906.2
NP_001245477.1,NM_001258548.2
NP_001284791.1,NM_001297862.1
NP_726761.2,NM_166903.3
NP_001245476.1,NM_001258547.2
NP_001033821.1,NM_001038732.3
NP_569940.2,NM_130584.4
NP_001245474.1,NM_001258545.2
NP_001245475.1,NM_001258546.2
NP_001245471.1,NM_001258542.2
NP_001245473.1,NM_001258544.2
NP_001245472.2,NM_001258543.2
NP_001284792.1,NM_001297863.1
NP_001245470.1,NM_001258541.2
NP_001245469.1,NM_001258540.1
NP_001368969.1,NM_001382020.1
NP_726762.1,NM_166904.2
NP_001245482.1,NM_001258553.1
NP_569941.2,NM_130585.2
NP_569942.2,NM_130586.2
NP_001259144.1,NM_001272215.2
NP_569946.1,NM_130590.5
NP_001162642.1,NM_001169171.2
NP_652012.1,NM_143755.4
NP_001284793.1,NM_001297864.1
NP_726770.2,NM_166909.3
NP_569947.2,NM_130591.3
NP_001138145.1,NM_001144673.2
NP_569948.3,NM_130592.4
NP_726771.1,NM_166910.2
NP_569949.3,NM_130593.4
NP_569950.1,NM_130594.2
NP_001284794.1,NM_001297865.1
NP_001284795.1,NM_001297866.1
NP_569951.1,NM_130595.3
NP_569952.2,NM_130596.3
NP_001284796.1,NM_001297867.1
NP_569953.1,NM_130597.3
NP_569954.1,NM_130598.3
NP_001259146.1,NM_001272217.1
NP_569955.1,NM_130599.3
NP_569956.1,NM_130600.2
NP_001259147.1,NM_001272218.1
NP_525040.2,NM_080301.3
NP_726773.2,NM_166911.4
NP_001259148.1,NM_001272219.1
NP_525041.1,NM_080302.3
NP_476665.2,NM_057317.4
NP_476666.1,NM_057318.4
NP_726775.2,NM_166912.2
NP_599100.1,NM_134273.2
NP_996328.1,NM_206605.2
NP_001259149.1,NM_001272220.1
NP_001259151.1,NM_001272222.2
NP_569957.2,NM_130601.5
NP_001259150.1,NM_001272221.2
NP_726776.1,NM_166913.3
NP_726778.1,NM_166915.2
NP_001259152.1,NM_001272223.2
NP_001245483.1,NM_001258554.2
NP_569959.1,NM_130603.3
NP_726777.1,NM_166914.2
NP_569958.2,NM_130602.4
NP_001284797.1,NM_001297868.1
NP_569960.2,NM_130604.4
NP_996329.1,NM_206606.3
NP_569961.2,NM_130605.5
NP_569962.2,NM_130606.3
NP_001259153.1,NM_001272224.1
NP_569963.1,NM_130607.3
NP_726779.1,NM_166916.2
NP_001259155.1,NM_001272226.1
NP_726780.1,NM_166917.2
NP_001259154.1,NM_001272225.1
NP_996330.1,NM_206607.2
NP_569965.1,NM_130609.4
NP_001259163.1,NM_001272234.1
NP_001259162.1,NM_001272233.2
NP_001259159.1,NM_001272230.1
NP_001259156.1,NM_001272227.1
NP_001259160.1,NM_001272231.1
NP_001259161.1,NM_001272232.1
NP_001033823.1,NM_001038734.2
NP_001259158.1,NM_001272229.1
NP_001259157.1,NM_001272228.1
NP_569968.2,NM_130612.4
NP_001245484.1,NM_001258555.1
NP_001188530.1,NM_001201601.2
NP_524864.2,NM_080125.5
NP_001245485.1,NM_001258556.2
NP_001188531.1,NM_001201602.2
NP_001284798.1,NM_001297869.1
NP_477485.1,NM_058137.6
NP_001259164.1,NM_001272235.1
NP_477484.2,NM_058136.4
NP_726784.1,NM_166920.2
NP_001259166.1,NM_001272237.1
NP_001259167.1,NM_001272238.1
NP_001259165.1,NM_001272236.1
NP_001188532.1,NM_001201603.2
NP_001188533.1,NM_001201604.2
NP_001259168.1,NM_001272239.2
NP_476781.1,NM_057433.4
NP_001284800.1,NM_001297871.1
NP_001284799.1,NM_001297870.1
NP_569971.3,NM_130615.3
NP_001259169.1,NM_001272240.1
NP_569969.1,NM_130613.3
NP_001188536.1,NM_001201607.2
NP_001188534.1,NM_001201605.2
NP_001259170.1,NM_001272241.2
NP_001188535.1,NM_001201606.2
NP_569970.2,NM_130614.4
NP_001259171.1,NM_001272242.2
NP_569972.1,NM_130616.3
NP_569973.1,NM_130617.4
NP_569974.2,NM_130618.3
NP_726786.2,NM_166921.4
NP_726789.3,NM_166924.3
NP_001188537.1,NM_001201608.1
NP_726788.1,NM_166923.4
NP_569976.1,NM_130620.4
NP_726787.1,NM_166922.3
NP_726790.1,NM_166925.3
NP_569975.1,NM_130619.5
NP_569977.1,NM_130621.3
NP_001284801.1,NM_001297872.1
NP_569978.1,NM_130622.3
NP_569979.1,NM_130623.3
NP_569980.1,NM_130624.3
NP_001259172.1,NM_001272243.1
NP_569981.1,NM_130625.3
NP_726792.1,NM_166927.2
NP_001259173.1,NM_001272244.1
NP_001259174.1,NM_001272245.1
NP_477130.1,NM_057782.5
NP_477131.1,NM_057783.3
NP_726793.1,NM_166928.2
NP_001096865.1,NM_001103395.2
NP_524794.2,NM_080055.3
NP_001284803.1,NM_001297874.1
NP_001162644.1,NM_001169173.1
NP_001284802.1,NM_001297873.1
NP_476871.2,NM_057523.5
NP_726795.1,NM_166930.2
NP_726794.1,NM_166929.2
NP_569982.1,NM_130626.3
NP_476860.2,NM_057512.3
NP_001259175.1,NM_001272246.1
NP_477059.2,NM_057711.3
NP_001284804.1,NM_001297875.1
NP_525042.2,NM_080303.3
NP_726796.2,NM_166931.2
NP_726797.1,NM_166932.2
NP_476907.2,NM_057559.4
NP_001259178.1,NM_001272249.1
NP_569983.1,NM_130627.4
NP_001259176.1,NM_001272247.2
NP_001259177.1,NM_001272248.2
NP_001284805.1,NM_001297876.1
NP_569984.2,NM_130628.4
NP_652020.1,NM_143763.4
NP_001259179.1,NM_001272250.2
NP_001284806.1,NM_001297877.1
NP_525043.1,NM_080304.3
NP_525044.1,NM_080305.4
NP_476684.1,NM_057336.5
NP_477332.1,NM_057984.5
NP_001284807.1,NM_001297878.1
NP_652509.1,NM_144252.4
NP_001284808.1,NM_001297879.1
NP_652510.2,NM_144253.3
NP_001284809.1,NM_001297880.1
NP_569985.1,NM_130629.3
NP_001284810.1,NM_001297881.1
NP_477334.2,NM_057986.4
NP_001259180.1,NM_001272251.2
NP_569986.1,NM_130630.2
NP_652021.1,NM_143764.3
NP_001284812.1,NM_001297883.1
NP_001014718.1,NM_001014718.2
NP_001284811.1,NM_001297882.1
NP_001014717.1,NM_001014717.2
NP_001284813.1,NM_001297884.1
NP_476820.1,NM_057472.3
NP_001284814.1,NM_001297885.1
NP_001259181.1,NM_001272252.1
NP_001259183.2,NM_001272254.2
NP_001259182.1,NM_001272253.1
NP_525045.3,NM_080306.4
NP_476591.1,NM_057243.4
NP_001284815.1,NM_001297886.1
NP_477491.1,NM_058143.4
NP_525046.1,NM_080307.2
NP_477118.1,NM_057770.5
NP_726804.1,NM_166934.2
NP_001245486.2,NM_001258557.2
NP_001284816.1,NM_001297887.1
NP_569990.2,NM_130634.4
NP_001356929.1,NM_001369995.1
NP_001356930.1,NM_001369996.1
NP_569991.2,NM_130635.3
NP_001284817.1,NM_001297888.1
NP_569992.1,NM_130636.3
NP_001284818.1,NM_001297889.1
NP_569993.1,NM_130637.4
NP_001284819.1,NM_001297890.1
NP_726805.1,NM_166935.3
NP_569994.1,NM_130638.4
NP_001284820.1,NM_001297891.1
NP_001162645.1,NM_001169174.2
NP_569995.1,NM_130639.4
NP_001303573.1,NM_001316644.1
NP_001096866.1,NM_001103396.2
NP_001259184.1,NM_001272255.1
NP_569997.1,NM_130641.3
NP_001096867.3,NM_001103397.3
NP_525047.1,NM_080308.4
NP_001245487.1,NM_001258558.1
NP_569998.1,NM_130642.2
NP_569999.1,NM_130643.2
NP_570000.1,NM_130644.4
NP_001188539.1,NM_001201610.2
NP_001188538.1,NM_001201609.1
NP_001259185.1,NM_001272256.1
NP_001259186.1,NM_001272257.2
NP_525048.1,NM_080309.4
NP_001245488.1,NM_001258559.2
NP_726809.1,NM_166938.2
NP_726808.1,NM_166937.2
NP_001284821.1,NM_001297892.1
NP_001245489.1,NM_001258560.1
NP_524761.1,NM_080022.4
NP_570001.5,NM_130645.6
NP_001259188.1,NM_001272259.1
NP_001259187.1,NM_001272258.1
NP_996333.4,NM_206610.5
NP_001259189.1,NM_001272260.1
NP_001162647.1,NM_001169176.2
NP_570002.1,NM_130646.3
NP_001162646.1,NM_001169175.2
NP_570003.1,NM_130647.3
NP_726810.1,NM_166939.2
NP_525049.1,NM_080310.3
NP_525050.1,NM_080311.3
NP_001245490.1,NM_001258561.1
NP_726811.1,NM_166940.3
NP_001096868.3,NM_001103398.4
NP_001188540.1,NM_001201611.2
NP_001188541.1,NM_001201612.2
NP_726812.1,NM_166941.3
NP_525051.1,NM_080312.2
NP_001033827.1,NM_001038738.2
NP_001259190.1,NM_001272261.2
NP_001245494.2,NM_001258565.3
NP_001284823.1,NM_001297894.2
NP_001096869.3,NM_001103399.4
NP_001284822.1,NM_001297893.2
NP_001027035.3,NM_001031864.4
NP_001284825.1,NM_001297896.2
NP_001245499.2,NM_001258570.3
NP_001245493.2,NM_001258564.3
NP_001027033.3,NM_001031862.4
NP_001245491.2,NM_001258562.3
NP_001245492.2,NM_001258563.3
NP_001401050.1,NM_001414087.1
NP_001245496.2,NM_001258567.3
NP_001245498.2,NM_001258569.3
NP_001245497.2,NM_001258568.3
NP_001245500.2,NM_001258571.3
NP_001162648.3,NM_001169177.4
NP_001401049.1,NM_001414086.1
NP_001245495.2,NM_001258566.4
NP_001027034.2,NM_001031863.5
NP_001027037.3,NM_001031866.4
NP_001027038.3,NM_001031867.4
NP_001368970.1,NM_001382068.1
NP_001284824.1,NM_001297895.2
NP_001027036.3,NM_001031865.4
NP_001284827.1,NM_001297898.1
NP_001284826.1,NM_001297897.1
NP_570007.2,NM_130651.3
NP_001245501.1,NM_001258572.1
NP_001284828.1,NM_001297899.1
NP_570008.1,NM_130652.4
NP_001188542.1,NM_001201613.2
NP_001188544.1,NM_001201615.1
NP_570009.2,NM_130653.3
NP_001188543.1,NM_001201614.1
NP_570010.3,NM_130654.3
NP_001245502.1,NM_001258573.2
NP_001245503.1,NM_001258574.2
NP_524984.1,NM_080245.5
NP_525052.1,NM_080313.3
NP_726818.1,NM_166946.2
NP_001284829.1,NM_001297900.1
NP_525053.1,NM_080314.3
NP_001284830.1,NM_001297901.1
NP_524901.2,NM_080162.4
NP_524768.2,NM_080029.4
NP_570011.1,NM_130655.2
NP_001245504.1,NM_001258575.1
NP_525054.2,NM_080315.3
NP_570012.1,NM_130656.4
NP_570013.3,NM_130657.3
NP_001284831.1,NM_001297902.1
NP_001259191.1,NM_001272262.2
NP_570014.3,NM_130658.3
NP_476714.1,NM_057366.5
NP_996336.1,NM_206613.3
NP_726823.1,NM_166948.4
NP_996337.1,NM_206614.3
NP_726822.1,NM_166947.3
NP_476715.1,NM_057367.5
NP_996338.1,NM_206615.2
NP_599105.1,NM_134278.3
NP_001162649.1,NM_001169178.1
NP_001036259.2,NM_001042794.4
NP_996335.1,NM_206612.3
NP_001162650.1,NM_001169179.1
NP_001401051.1,NM_001414067.1
NP_996334.1,NM_206611.2
NP_001259193.1,NM_001272264.1
NP_001259192.1,NM_001272263.1
NP_476716.2,NM_057368.5
NP_001096870.1,NM_001103400.2
NP_001401052.1,NM_001414068.1
NP_525055.1,NM_080316.2
NP_570015.1,NM_130659.2
NP_525056.2,NM_080317.2
NP_001259194.1,NM_001272265.1
NP_570016.1,NM_130660.2
NP_996339.2,NM_206616.2
NP_570017.1,NM_130661.2
NP_001284832.1,NM_001297903.1
NP_570018.1,NM_130662.3
NP_001284833.1,NM_001297904.1
NP_570019.1,NM_130663.4
NP_001138149.1,NM_001144677.3
NP_570020.1,NM_130664.4
NP_570021.2,NM_130665.5
NP_570022.2,NM_130666.2
NP_570023.1,NM_130667.4
NP_570024.1,NM_130668.4
NP_726828.2,NM_166950.3
NP_726827.1,NM_166949.3
NP_570025.1,NM_130669.4
NP_477494.2,NM_058146.4
NP_477493.2,NM_058145.4
NP_570026.1,NM_130670.2
NP_477338.3,NM_057990.4
NP_001303557.1,NM_001316628.1
NP_570027.1,NM_130671.3
NP_570028.1,NM_130672.3
NP_726829.1,NM_166951.2
NP_477105.2,NM_057757.4
NP_525057.2,NM_080318.3
NP_001259195.1,NM_001272266.1
NP_001245507.1,NM_001258578.1
NP_001245508.1,NM_001258579.3
NP_525059.2,NM_080320.4
NP_001259196.1,NM_001272267.1
NP_001245505.1,NM_001258576.1
NP_001245506.1,NM_001258577.1
NP_726844.1,NM_166958.2
NP_001245509.1,NM_001258580.1
NP_726830.1,NM_166952.1
NP_996340.1,NM_206617.2
NP_570029.1,NM_130673.4
NP_001284834.1,NM_001297905.1
NP_476787.1,NM_057439.2
NP_570030.1,NM_130674.2
NP_570031.1,NM_130675.2
NP_570032.1,NM_130676.2
NP_001259197.1,NM_001272268.1
NP_570033.1,NM_130677.2
NP_570034.1,NM_130678.3
NP_001096871.1,NM_001103401.1
NP_726832.2,NM_166954.2
NP_726834.2,NM_166956.4
NP_001259198.1,NM_001272269.1
NP_570036.3,NM_130680.4
NP_001027039.2,NM_001031868.3
NP_726833.3,NM_166955.4
NP_570037.1,NM_130681.2
NP_726835.1,NM_166957.2
NP_570039.1,NM_130683.2
NP_570040.1,NM_130684.3
NP_570041.1,NM_130685.4
NP_570042.1,NM_130686.2
NP_570043.1,NM_130687.3
NP_570044.1,NM_130688.3
