NCBI GeneID,Transcript Accession,Transcript_length
39683,NM_168626.3,4117
33565,NM_078743.5,3843
39054,NM_001274688.1,8589
40832,NM_057853.3,2739
42536,NM_079709.3,1664
31165,NM_001272239.2,3038
32100,NM_078569.3,6736
34524,NM_057386.5,2825
38231,NM_001274358.1,8317
43038,NM_057452.4,1946
31230,NM_080312.2,2599
34413,NM_001273411.1,3603
40336,NM_168884.2,1630
34982,NM_165162.3,4982
43162,NM_001300610.1,3975
43991,NM_001169462.2,2617
31802,NM_078536.4,4967
35523,NM_057293.4,4062
42550,NM_169962.3,4778
34969,NM_057595.4,2356
35341,NM_001273712.1,2570
36746,NM_001103863.3,9484
31717,NM_167143.3,3358
32001,NM_167245.3,1214
32026,NM_078558.3,1305
41085,NM_057304.5,3992
48317,NM_170568.3,4564
33627,NM_058149.4,16852
35652,NM_001273835.1,9145
36329,NM_001259347.2,5672
37603,NM_166543.2,6698
31181,NM_001297874.1,6048
32536,NM_001316637.1,6005
37230,NM_001103907.3,6053
39075,NM_001300071.1,1010
39564,NM_168577.3,3905
39744,NM_168641.1,5553
40090,NM_001275109.1,5696
40162,NM_079444.3,1625
49228,NM_163890.2,2282
31792,NM_001169234.3,7386
33824,NM_001273183.2,2503
34411,NM_057449.4,1082
36390,NM_078995.2,3647
38131,NM_001274315.1,4066
39833,NM_079383.3,2822
44339,NM_001299643.1,1518
31607,NM_001031880.3,3158
31883,NM_078544.3,3468
36057,NM_165739.2,1565
41483,NM_079633.3,2386
42249,NM_057656.3,4011
42752,NM_001275941.1,8899
36491,NM_001259364.2,5012
36544,NM_001259385.1,7888
36636,NM_079021.5,790
36878,NM_001299574.1,1015
38196,NM_001259618.2,3570
64880,NM_001273387.1,3578
32498,NM_001272649.2,5816
35045,NM_001169527.2,4306
40459,NM_001275278.1,2895
40817,NM_057265.4,2775
40828,NM_057445.3,1267
41612,NM_001275599.1,3186
43596,NM_079849.4,339
34669,NM_001103683.2,4497
36431,NM_001299440.1,6332
39078,NM_001300072.1,1632
40232,NM_079455.4,2980
42841,NM_079748.4,1515
42940,NM_001170241.3,8854
43514,NM_079827.3,1927
35800,NM_057575.3,2036
37417,NM_057425.3,8830
41094,NM_001275474.1,10223
41848,NM_169632.2,4176
41885,NM_079643.2,1595
42379,NM_057944.3,3232
33218,NM_057492.4,6672
34629,NM_164990.3,2459
35662,NM_057385.5,2786
36125,NM_001299362.1,12963
36619,NM_057417.3,1568
37290,NM_057557.4,1070
3772082,NM_001032405.4,4574
37724,NM_079100.3,2738
40549,NM_079497.4,1567
31429,NM_001169202.2,6763
31665,NM_078514.4,3194
36495,NM_079006.4,1015
38565,NM_139661.4,2124
39962,NM_001014590.2,6239
12798547,NR_048212.1,81
2768992,NM_206315.2,478
32158,NM_001014733.5,10902
32608,NM_078645.3,7899
35070,NM_165227.3,13384
38580,NM_001274503.1,14401
41491,NM_079601.3,3859
42445,NM_079694.3,6004
31379,NM_001297932.1,5613
32661,NM_001169307.1,5818
33392,NM_001272979.1,4936
35121,NM_057548.4,5021
36555,NM_001299472.1,7884
38456,NM_079185.4,2759
39494,NM_079333.2,223
39999,NM_001259893.2,8236
42059,NM_057912.4,3767
32855,NM_058151.5,3251
33583,NM_164546.2,2347
33788,NM_078760.3,3253
36054,NM_165735.4,2166
37476,NM_079081.4,1387
43673,NM_001276203.1,4156
44817,NM_058139.4,4595
45821,NM_001104153.3,12564
32428,NM_001042810.3,9503
32567,NM_001272663.2,2930
32974,NM_078687.2,2092
32976,NM_078688.3,4875
36003,NM_165694.3,3893
37778,NM_057992.3,1686
38657,NM_079218.3,5102
39151,NM_140103.3,751
39454,NM_140344.3,4088
42521,NM_079707.4,3142
44889,NM_001103395.2,6020
41944,NM_169696.3,4459
32752,NM_133010.5,3032
3346149,NM_001103544.2,2221
35430,NM_078891.3,4732
37205,NM_079067.4,5899
43650,NM_057502.5,6522
43828,NM_166812.3,3879
30985,NM_057346.5,2430
33501,NM_057456.4,1850
37201,NM_001299673.1,4417
40314,NM_079467.3,1959
41772,NM_001275645.1,4013
42160,NM_079670.3,3838
42693,NM_079729.3,6913
43146,NM_080709.3,3013
33834,NM_205913.3,2091
35246,NM_001014491.2,2395
37068,NM_001043090.3,2897
39392,NM_001274820.1,1837
40045,NM_001316437.1,6060
40201,NM_079453.3,5795
41726,NM_001260163.1,14565
42854,NM_001316616.1,4164
42862,NM_058067.3,3896
43725,NM_170560.2,3425
43916,NM_080535.3,7190
32718,NM_001042819.3,6422
33245,NM_078722.3,12427
34277,NM_001273363.1,2173
43383,NM_001300645.1,4289
43690,NM_079866.3,4872
43856,NM_001201647.2,15729
31003,NM_001042788.4,3412
33427,NM_001258919.1,5660
34595,NM_058083.4,1704
40517,NM_001300225.1,3487
31939,NM_001298142.1,1611
32999,NM_078692.2,3953
39063,NM_206308.4,2579
44849,NM_001275692.2,3840
30983,NM_057275.5,1097
36001,NM_057600.6,2530
37038,NM_057496.5,6692
37355,NM_057676.4,3887
38091,NM_079152.4,2049
38779,NM_079227.3,1970
39130,NM_079285.4,1617
41836,NM_079630.4,1828
42504,NM_079706.3,3492
42743,NM_001260331.1,6954
2768852,NM_206177.3,6079
31518,NM_078496.3,3014
33281,NM_078726.4,5206
34127,NM_205927.3,5893
34790,NM_057249.6,5635
35197,NM_206004.2,12088
35340,NM_001273711.1,5260
35731,NM_165559.2,2716
36497,NM_165996.2,2795
36849,NM_079039.4,3040
37238,NM_166356.2,1701
39013,NM_001259756.2,4483
42356,NM_001144611.1,4295
117332,NM_169068.3,1225
31027,NM_080297.3,3619
32805,NM_001370039.1,1980
33607,NM_057382.3,1425
35051,NM_001273601.1,5361
36411,NM_165951.2,3796
36708,NM_079028.3,268
37888,NM_079118.3,2518
37949,NM_001202070.1,3880
39077,NM_001259765.2,884
39505,NM_140385.4,2275
43283,NM_057623.4,1931
45318,NM_166070.3,3926
31789,NM_206656.2,3241
35223,NM_057364.4,2401
35584,NM_001273805.1,2043
42210,NM_169807.4,3399
45343,NM_165512.2,5224
31011,NM_057902.4,1689
36914,NM_166208.3,4883
40260,NM_079460.2,2048
41124,NM_079566.4,1841
31872,NM_078543.4,1799
31938,NM_001298141.1,1616
3354994,NM_001015241.4,2909
34993,NM_057663.4,2563
35199,NM_001273636.1,1628
35526,NM_078901.3,1626
36542,NM_166019.3,27842
37729,NM_057626.4,1749
40664,NM_001300251.1,10304
43565,NM_170457.3,4691
43819,NM_079891.3,2381
45525,NM_001274698.1,1793
32817,NM_001103547.4,3518
3355150,NM_001043164.3,2974
34708,NM_058003.4,3809
35653,NM_057744.3,4763
37890,NM_001144279.3,3792
38723,NM_057269.3,11690
39536,NM_079337.3,4550
39596,NM_079347.3,3761
39659,NM_079356.3,3391
39873,NM_057450.5,4158
44642,NM_057804.3,8441
31391,NM_001014722.2,7441
31718,NM_176711.3,3772
35922,NM_057829.4,3492
36047,NM_078948.3,399
36384,NM_165925.3,5648
36635,NM_001259395.2,754
3772576,NM_001031944.2,1900
38495,NM_079194.2,536
38831,NM_001274588.2,2429
41247,NM_169333.3,5803
41697,NM_169560.2,2478
44548,NM_176128.5,4623
31290,NM_001297906.1,6251
32979,NM_001298529.1,3400
36030,NM_078945.4,1427
3772415,NR_002104.2,1368
41602,NM_001275591.2,4556
41852,NM_169639.3,3054
42018,NM_001275714.1,579
44030,NM_079940.5,6418
48973,NM_001259699.2,4786
50022,NM_176486.2,2347
33225,NM_001272902.1,6084
35696,NM_165543.2,4311
36239,NM_165838.3,4776
36316,NM_001299406.1,2074
37044,NM_057464.4,2338
41503,NM_001038953.2,843
42398,NM_079687.3,1391
44039,NM_001275382.1,5196
48971,NM_001275861.1,5545
53569,NM_080260.4,3279
32275,NM_078590.3,5001
33727,NM_164616.2,6101
36645,NM_001259399.2,1558
38005,NM_079139.4,1649
38515,NM_057677.4,3207
39387,NM_079310.3,4940
39887,NM_057353.4,1349
40904,NM_079540.6,1980
41919,NM_057393.4,4678
41988,NM_057400.4,5184
45320,NM_001258562.3,14232
31002,NM_001258519.1,6331
31292,NM_001258579.3,5977
32133,NM_167308.2,3185
32640,NM_078653.2,7057
33759,NM_001298695.1,4068
33768,NM_078759.4,6665
36461,NM_057691.4,2526
37629,NM_001259541.1,2331
3772376,NR_123784.1,4832
37781,NM_134318.3,3222
38817,NM_139852.4,2892
39441,NM_079323.4,3892
41889,NM_079644.3,1407
42871,NM_001347815.1,4039
43573,NM_170460.2,747
44100,NM_057994.5,3266
31118,NM_057938.5,3161
31220,NM_130644.4,1908
32107,NM_078570.3,2449
33445,NM_001273017.1,2868
34772,NM_165047.3,6651
35259,NM_001273666.1,8637
36059,NM_165740.3,3078
37069,NM_001274138.2,4384
37141,NM_137506.4,2395
38065,NM_079148.3,4588
38135,NM_057470.5,3871
38752,NM_001300028.1,4784
40826,NM_057321.5,3728
41840,NM_079632.6,2368
45285,NM_057976.3,2552
45931,NM_001299171.1,5598
48448,NM_001300224.1,2053
26067356,NR_167805.1,13313
33458,NM_080360.5,2714
33726,NM_001273143.1,6430
34615,NM_001298930.1,1572
35288,NM_001259171.2,2310
35524,NM_001414107.1,6425
36377,NM_078992.3,6320
3772547,NR_074035.1,21216
38978,NM_001274657.1,9937
44522,NM_080531.4,6206
44861,NM_001272397.1,9152
45588,NM_080093.5,6855
47781,NM_058143.4,3052
252554,NM_176544.3,2235
31373,NM_080329.3,3606
34012,NM_001273260.1,5295
34328,NM_078805.4,2872
34843,NM_057884.5,2462
36171,NM_206091.2,9886
36432,NM_001169663.3,6631
36741,NM_001274087.1,2458
37841,NM_057686.4,735
40554,NM_001202235.2,2006
40813,NM_001260023.1,6873
42130,NM_079668.3,10714
42945,NM_079763.4,3359
44013,NM_001274375.1,56489
31581,NM_132092.3,3617
31666,NM_132162.4,1418
32114,NM_001298203.1,5088
326116,NM_170345.3,3754
33062,NM_001298574.1,14924
33203,NM_001272888.1,4618
36748,NM_057779.5,2106
38218,NM_001274348.1,4757
38993,NM_079252.3,1547
41446,NM_057401.4,1577
42162,NM_001300455.1,6377
43160,NM_080505.3,982
43327,NM_058161.4,1542
43402,NM_143380.4,2794
44018,NM_079938.4,3151
44096,NM_079953.4,4217
47764,NM_001299589.1,1668
47765,NM_169671.3,2629
12798012,NR_047998.1,78
31185,NM_057512.3,1895
32132,NM_080762.4,3121
32339,NM_001298299.1,1868
32340,NM_001272605.2,7435
3355130,NM_001042950.3,5316
33611,NM_001144312.2,4537
34519,NM_001273439.2,3118
37089,NM_058135.4,3551
37345,NM_001169747.2,2631
39570,NM_079342.3,2935
41703,NM_169563.2,1995
41942,NM_079649.4,3983
42273,NM_001275793.1,1265
42564,NM_001275881.1,2059
43152,NM_079781.3,978
43234,NM_170294.1,1241
44279,NM_079998.4,6024
45959,NM_001298795.1,3102
49297,NM_001299867.1,6306
318824,NM_001273103.1,71382
32746,NM_001272732.1,7896
34330,NM_057489.5,3276
34504,NM_057988.4,1183
35900,NM_057651.4,4839
36040,NM_001103780.2,3125
36915,NM_206146.4,8486
37070,NM_166264.4,3870
3772382,NM_001032402.2,9494
39682,NM_206374.2,4498
40133,NM_001259905.1,7615
41168,NM_169299.2,4069
44097,NM_001043067.2,8694
44226,NM_079983.4,2138
117369,NM_169466.1,2019
31442,NM_078490.4,835
32846,NM_176758.3,3413
32994,NM_001258840.3,8011
33335,NM_078729.3,1421
34648,NM_001273474.1,4147
34805,NM_165070.3,2062
35286,NM_165316.2,2447
36692,NM_079026.3,4643
36897,NM_057515.3,2351
37889,NM_079119.3,2786
38017,NM_001274254.1,4959
39241,NM_001274768.1,6550
40104,NM_176358.2,1848
41183,NM_079573.5,1560
41666,NM_169529.3,5551
43825,NM_079894.4,4693
44811,NM_001274259.1,9296
44843,NM_080049.3,5051
44873,NM_078495.3,1490
246620,NM_165483.3,2303
31166,NM_058137.6,4868
31304,NM_057369.4,952
31621,NM_132125.2,3512
32551,NM_167473.2,2453
33477,NM_134871.3,5336
35085,NM_078869.6,3503
36104,NM_206079.2,5457
36615,NM_001274045.1,2450
36932,NM_079044.2,1606
37368,NM_079076.4,1724
37757,NM_166623.3,4428
37985,NM_138135.2,3041
38058,NM_001259606.2,2420
38116,NM_167852.2,5340
38244,NM_001202094.2,2872
38291,NM_139450.3,2204
38484,NM_168055.2,3362
38879,NM_079241.4,5047
39158,NM_168382.2,5434
39439,NM_079321.3,2942
39611,NM_140466.2,2437
39717,NM_001274962.1,2495
40859,NM_141444.2,2802
41721,NM_001300394.1,4060
42817,NM_001260338.2,7465
42889,NM_001275977.2,5025
43484,NM_079824.4,5164
43833,NM_001382011.1,3921
43974,NM_167847.2,9510
44355,NM_057791.4,3104
49260,NM_080198.3,2203
32159,NM_001316623.1,2234
33219,NM_175943.2,2775
33275,NM_134713.4,3004
34066,NM_135308.2,1786
34192,NM_001273337.1,9751
35147,NM_057426.4,3314
35801,NM_165597.2,3027
35997,NM_206066.3,4156
36945,NM_001414081.1,7944
37967,NM_001259574.2,1421
39288,NM_079300.3,1109
40620,NM_001316565.1,10585
40682,NM_141300.2,3187
41565,NM_080502.5,1596
41858,NM_001275668.1,1527
42186,NM_169798.3,3360
42453,NM_001170195.3,2224
42761,NM_001300552.1,1133
43577,NM_170463.3,1342
43580,NM_079845.4,6178
43904,NM_166880.2,2853
43944,NM_079921.3,3280
45278,NM_057783.3,7664
45739,NM_080096.3,3776
47877,NM_001300340.1,3856
31130,NM_001258548.2,6954
31912,NM_078545.3,2934
32049,NM_167267.2,4754
32400,NM_001169284.2,7926
3354896,NM_001300711.1,2527
3355109,NM_001110982.3,3112
33817,NM_057296.2,958
33968,NM_001258990.2,8240
34364,NM_078809.4,1699
34495,NM_001032069.2,4805
36484,NM_079005.4,900
37184,NM_079063.4,449
38513,NM_001274480.1,2355
38765,NM_058154.5,2067
40170,NM_001014591.3,6486
42008,NM_058114.4,1111
42537,NM_169958.2,1449
42946,NM_079764.3,6338
43151,NM_079780.3,911
43739,NM_001300696.1,727
43982,NM_169913.2,4098
45880,NM_001274545.2,1778
48071,NM_143802.3,4098
31394,NM_080333.3,2601
31405,NM_167015.3,4416
31955,NM_001272470.2,8450
32314,NM_001298285.1,1696
32398,NM_001298314.1,3339
32534,NM_001258766.3,2073
32585,NM_001258777.1,4627
32762,NM_078667.4,1124
33211,NM_057471.6,4711
33608,NM_057486.4,2346
33789,NM_078761.3,2949
34132,NM_001103650.2,4992
35522,NM_058034.4,4626
35724,NM_078927.3,1790
35956,NM_001273892.1,3613
36073,NM_001347757.1,7925
36382,NM_165917.4,8972
37523,NM_001299776.1,1594
38427,NM_139559.4,4151
38935,NM_079247.3,1584
39836,NM_079384.5,2146
41202,NM_001275509.1,700
41853,NM_169645.4,1980
43150,NM_079779.3,1013
43751,NM_080486.3,5079
12798320,NR_048128.1,87
31234,NM_001297897.1,3331
31738,NM_001298077.1,4521
31826,NM_001272438.1,10147
32009,NM_167253.3,12045
32045,NM_078560.3,2357
32537,NM_206728.2,5793
32579,NM_078638.4,3247
33148,NM_001272855.2,5256
33185,NM_001144289.2,18528
33262,NM_057628.4,3735
3346192,NM_001014526.2,7325
33934,NM_001298758.1,4306
33981,NM_058063.4,743
34751,NM_001038814.3,2147
34780,NM_058013.5,1821
36637,NM_001169681.2,879
38352,NM_001202108.2,7596
38418,NM_206265.3,13783
38890,NM_001274626.1,6235
38898,NM_079244.3,1983
39445,NM_001274852.1,1876
40305,NM_001202218.2,3638
41062,NM_001260069.2,8533
41084,NM_169254.2,3108
41839,NM_001043247.2,8416
42553,NM_080488.3,4624
42852,NM_079750.4,2231
42866,NM_170126.5,1634
43597,NM_079850.4,355
45922,NM_080113.3,2610
53560,NM_001275826.1,10984
31589,NM_078509.3,3828
32099,NM_132499.3,1018
32429,NM_001298329.1,16734
32794,NM_001272741.1,1347
32857,NM_001298485.1,2203
33208,NM_164382.2,1806
34791,NM_001259096.2,2135
34954,NM_057285.4,2379
34968,NM_058153.4,1996
36854,NM_057848.3,2026
37733,NM_057785.5,3164
38004,NM_079138.2,2237
38424,NM_168031.2,4280
39440,NM_079322.3,4317
39884,NM_057377.4,3191
41456,NM_001275564.2,1618
41607,NM_001104296.2,1434
42918,NM_001275988.2,11027
43587,NM_079847.3,2286
44819,NM_001272599.1,4147
44839,NM_001258736.2,8643
45840,NM_001014631.3,9743
46000,NM_001299159.1,1590
47080,NM_001258755.2,4343
49090,NM_001259280.1,16056
31580,NM_078505.4,2022
32543,NM_206731.2,2903
33007,NM_001014758.3,5896
33045,NM_001298564.1,3209
33343,NM_001258910.2,12385
3355131,NM_001273767.1,2764
33619,NM_001273084.1,6378
33835,NM_001258978.3,2021
34007,NM_057624.4,3367
34673,NM_001298949.1,4286
34927,NM_165130.2,4468
34950,NM_134429.3,9425
35742,NM_165570.3,3886
36118,NM_001014520.3,6336
36614,NM_001274042.1,6899
37415,NM_166431.4,1793
37481,NM_001299767.1,1495
38590,NM_001259706.2,5588
39571,NM_001274904.1,2850
39765,NM_001144486.3,5134
40562,NM_168996.5,4568
40605,NM_079504.4,2939
40665,NM_169059.2,4170
41670,NM_001170133.2,3966
41785,NM_169601.2,2084
41958,NM_001300426.1,4025
42066,NM_001275730.1,8392
42547,NM_057309.3,2670
43156,NM_079785.4,1305
43158,NM_079787.3,882
43392,NM_001276112.2,12044
43749,NM_001260461.1,9837
43827,NM_001272156.1,11356
43873,NM_001272498.2,2810
46415,NM_080134.4,1677
47173,NM_080141.4,2906
48535,NM_057458.5,2759
31760,NM_167149.2,2277
318847,NM_165384.3,529
32221,NM_078585.6,2791
32724,NM_001272713.1,2724
32928,NM_001298507.1,5607
33498,NM_001014462.3,6976
33524,NM_134904.3,8622
33953,NM_057820.4,2668
34068,NM_057270.5,6235
34179,NM_001201800.1,5120
34609,NM_135686.3,1148
34896,NM_165111.3,4332
35227,NM_136125.3,3492
36080,NM_165756.3,1139
36271,NM_165850.3,2278
36612,NM_001274041.1,6809
37233,NM_001144246.3,5613
37402,NM_057288.4,1103
37617,NM_166554.3,2252
37805,NM_058157.5,1859
37962,NM_138122.5,3937
38067,NM_079149.5,8706
39419,NM_001300118.1,3148
39443,NM_079324.3,5168
39529,NM_079336.3,11756
40134,NM_079437.4,2056
40155,NM_168816.2,3951
40444,NM_001275271.1,1619
41742,NM_079626.3,654
42447,NM_001275843.1,7845
42596,NM_001275893.1,4003
42846,NM_001300565.1,3743
42947,NM_079765.3,1459
43183,NM_170262.2,2636
43319,NM_079809.3,2097
45380,NM_080084.3,3394
47746,NM_080154.5,626
2768974,NM_206365.3,1126
32437,NM_001298333.1,4598
32603,NM_001298395.1,6746
33736,NM_001273153.1,926
33942,NM_164705.3,2781
34445,NM_164933.3,4318
34632,NM_001042890.2,1114
35084,NM_057241.3,5476
35587,NM_078904.2,1674
35747,NM_058088.4,4290
36212,NM_078966.3,1239
36546,NM_166027.3,1662
36578,NM_001299484.1,3851
37196,NM_166322.2,5019
37447,NM_001144257.4,3982
37662,NM_079093.4,1318
3772432,NM_058147.4,2080
38736,NM_079222.5,5772
39034,NM_001144452.2,4927
39191,NM_140133.2,1176
40428,NM_079482.4,1800
40657,NM_169055.3,1335
41627,NM_079618.4,5051
41770,NM_001104322.2,4679
41952,NM_001260200.2,7551
42025,NM_001275716.1,4814
42542,NM_079711.3,2277
42799,NM_057302.3,1532
43149,NM_001014668.2,9737
43832,NM_001258499.2,10243
44010,NM_079936.3,1843
44160,NM_057730.5,3070
44291,NM_168265.2,2026
45282,NM_080071.3,1975
45326,NM_001300113.1,2477
45655,NM_001299747.1,10626
45910,NM_079682.3,2158
47091,NM_080138.4,3087
47874,NM_080162.4,2567
31016,NM_001038729.3,1544
31228,NM_001258561.1,1596
31863,NM_132315.1,1975
32007,NM_167247.2,1853
32556,NM_001258774.2,2319
33837,NM_001298720.1,7004
34500,NM_001038810.2,2625
34560,NM_057214.5,5164
35486,NM_165427.2,3678
35728,NM_080369.3,1480
35864,NM_001299281.1,2506
35933,NM_136618.5,1267
36127,NM_078963.3,3757
36773,NM_176183.3,6533
36791,NM_206130.2,3292
36992,NM_166240.3,1316
37040,NM_001274134.1,4582
37798,NM_001259556.1,1393
37895,NM_001299910.1,3725
38326,NM_206254.3,5196
38494,NM_079193.4,1620
39118,NM_001300080.1,5857
39431,NM_140329.3,2770
39844,NM_001275025.1,1086
39855,NM_079391.3,944
39909,NM_140692.3,867
40129,NM_001104176.2,4097
40508,NM_001300221.1,4056
40754,NM_079521.4,3214
41366,NM_079595.3,4806
42062,NM_142337.3,3162
42122,NM_079667.3,742
42481,NM_001300506.1,7361
42634,NM_001275906.1,1716
42850,NM_142952.3,1493
43719,NM_057357.3,6479
43795,NM_001258496.3,11695
43814,NM_001272143.2,27666
43838,NM_001272147.1,5961
44121,NM_080517.3,579
44289,NM_001272478.1,3883
44432,NM_080012.4,2488
48632,NM_001300385.1,1853
31240,NM_080314.3,4527
31700,NM_167136.2,1195
32253,NM_001298248.1,9220
32458,NM_001014742.2,5325
32838,NM_001298478.1,4005
32876,NM_001298486.1,2783
33271,NM_057308.4,871
33314,NM_001382178.1,6028
34568,NM_001259054.2,5189
34688,NM_078835.3,5788
34792,NM_057473.4,3679
34796,NM_058071.4,970
34882,NM_001299021.1,7404
35381,NM_001299186.1,2002
35927,NM_165647.3,2943
36383,NM_078993.3,3184
36927,NM_166216.2,1764
3771968,NM_001201766.2,43121
37892,NM_079120.3,5425
37922,NM_001259565.2,1281
38643,NM_168128.3,2161
38656,NM_139734.3,818
38999,NM_079255.2,515
39149,NM_140102.2,631
39152,NM_140104.3,804
39675,NM_168623.2,1090
40049,NM_168779.2,2600
40136,NM_079438.3,963
40143,NM_176363.3,4512
40464,NM_001104191.3,12169
40489,NM_001316461.1,2143
40739,NM_001260009.1,4362
40879,NM_141458.3,5014
41379,NM_169392.2,1255
41783,NM_001300400.1,5750
42567,NM_001170210.2,6544
43541,NM_079828.3,695
43582,NM_176587.2,1374
43599,NM_079852.3,386
43901,NM_079912.4,5930
44879,NM_080533.4,1570
44936,NM_143745.3,12020
47121,NM_080139.5,3138
117496,NM_205920.3,1595
12798384,NR_048069.1,63
2768853,NM_206179.3,2300
30975,NM_166836.2,4807
31194,NM_057336.5,1638
31328,NM_130714.2,1044
31350,NM_080325.4,9245
31463,NM_001297964.1,3357
31543,NM_001297995.1,7097
31722,NM_001272392.2,9949
32020,NM_001298167.1,4409
32115,NM_206691.3,8642
32160,NM_078580.4,887
32207,NM_078584.3,5627
32587,NM_078641.4,1666
32617,NM_001298400.1,1519
33507,NM_057313.5,2878
34376,NM_057419.3,882
34996,NM_057828.4,681
35184,NM_001259159.1,3643
35292,NM_165319.3,1073
35336,NM_001259179.2,6818
35483,NM_001103722.3,11515
