NCBI GeneID,Protein Accession,Protein_length
41957,NP_732115.1,530
30981,NP_476824.1,201
38995,NP_001014577.1,337
38995,NP_523977.2,337
42297,NP_001262723.1,382
42297,NP_476658.1,401
42367,NP_524407.1,373
32078,NP_511118.2,623
34924,NP_001246037.1,712
34924,NP_476959.1,709
34924,NP_476960.1,602
34924,NP_723924.1,709
34924,NP_723925.1,709
34924,NP_723926.1,709
42428,NP_001014643.1,635
42428,NP_001262757.1,635
42428,NP_001262758.1,679
42428,NP_001262759.1,811
42428,NP_001262760.1,818
42428,NP_001262761.1,679
42428,NP_001262762.1,761
42428,NP_732516.2,754
42428,NP_732517.2,628
42428,NP_996242.1,754
42428,NP_996243.1,761
31376,NP_001014720.1,1095
31376,NP_001014721.1,1095
31376,NP_001162661.1,1095
31376,NP_001284860.1,1095
31376,NP_525069.2,1095
31376,NP_726925.1,1095
31554,NP_001284928.1,174
31554,NP_001284929.1,174
31554,NP_001284930.1,174
31554,NP_001284931.1,174
31554,NP_511057.1,174
41709,NP_001262557.1,622
41709,NP_001303426.1,619
41709,NP_650330.3,622
41709,NP_996204.1,613
41709,NP_996205.1,613
36421,NP_001401005.1,453
36421,NP_523723.1,453
37618,NP_726244.1,530
37618,NP_726245.2,528
37618,NP_726246.1,524
37618,NP_726247.1,500
38146,NP_001261247.1,192
38146,NP_476950.1,192
39015,NP_001097554.4,1196
39015,NP_001261600.1,1232
39015,NP_001261601.1,1231
39015,NP_001261602.1,1195
39015,NP_648263.5,1197
40848,NP_476772.1,450
40940,NP_001262352.1,549
40940,NP_001262353.1,572
40940,NP_001287220.1,427
40940,NP_524272.4,427
40940,NP_731197.1,549
40940,NP_731198.1,427
44885,NP_001284997.1,846
44885,NP_001284998.1,846
44885,NP_001284999.1,846
44885,NP_524793.2,846
33156,NP_001245801.1,1161
33156,NP_001245802.1,1161
33156,NP_001245803.1,1161
33156,NP_001245804.1,1161
33156,NP_001259787.1,1093
33156,NP_523439.2,1161
33156,NP_722583.1,1153
33156,NP_722584.1,1161
33156,NP_722585.1,1112
33156,NP_722586.1,1112
33156,NP_722587.1,1112
38389,NP_001261362.1,717
38389,NP_523899.1,717
36775,NP_477098.1,192
36775,NP_599135.1,192
36775,NP_599136.1,192
36775,NP_725524.1,192
36775,NP_995849.1,192
36775,NP_995850.1,192
5740544,NP_001096864.1,5495
5740544,NP_001162632.2,5495
5740544,NP_001245461.1,5495
40287,NP_001287130.1,434
40287,NP_524187.1,429
36993,NP_001286540.1,1721
36993,NP_523778.2,1722
37973,NP_001137759.1,347
37973,NP_523857.1,327
37973,NP_726486.1,322
38419,NP_523901.1,70
41087,NP_477094.1,971
41087,NP_996187.1,859
41087,NP_996188.1,971
41087,NP_996189.1,971
48582,NP_524927.2,641
31310,NP_001259204.1,717
31310,NP_525062.2,717
37851,NP_001036568.2,395
37851,NP_001350857.1,418
37851,NP_611879.4,343
37851,NP_726414.3,395
47285,NP_477026.1,612
34171,NP_476568.2,295
37183,NP_476808.1,106
40958,NP_001287223.1,369
40958,NP_524273.1,476
43466,NP_001263066.1,479
43466,NP_524547.1,479
34908,NP_476732.1,390
44505,NP_001138144.1,880
44505,NP_001162638.2,1011
44505,NP_001188525.1,514
44505,NP_001188526.1,724
44505,NP_001188527.1,724
44505,NP_001245462.1,663
44505,NP_001259134.1,880
44505,NP_001368968.1,644
44505,NP_001401048.1,702
44505,NP_524759.2,724
44505,NP_726749.2,514
44505,NP_726750.1,702
44505,NP_726751.2,880
44505,NP_726752.1,880
44505,NP_726753.1,880
44505,NP_726754.1,663
31309,NP_001259201.1,642
31309,NP_001259202.1,703
31309,NP_001259203.1,715
31309,NP_525061.2,662
31309,NP_726846.1,1209
31309,NP_726847.2,1209
31309,NP_726849.1,1070
31309,NP_726850.1,1057
31309,NP_726851.3,715
31309,NP_726852.2,1068
31309,NP_726853.2,1070
31309,NP_726854.2,703
31309,NP_726855.1,701
31309,NP_726856.1,983
31309,NP_726857.1,642
31309,NP_726858.2,814
31309,NP_726859.2,521
35253,NP_001027281.1,234
35253,NP_476909.2,234
35253,NP_599118.2,234
35253,NP_599119.2,234
35253,NP_599120.2,234
42226,NP_001163648.1,960
42226,NP_001262712.1,882
42226,NP_524397.2,688
42226,NP_732344.1,789
42226,NP_732345.1,796
42226,NP_732346.1,695
42226,NP_732347.1,955
42226,NP_732348.1,854
42226,NP_732349.1,516
42226,NP_732350.1,665
42226,NP_996234.1,854
42226,NP_996235.1,854
42226,NP_996236.1,705
42226,NP_996237.1,906
42226,NP_996238.1,870
32039,NP_511114.2,2554
32406,NP_001245672.1,2055
32406,NP_001259548.1,2146
32406,NP_001259549.1,2171
32406,NP_001259550.1,1391
32406,NP_001259551.1,1507
32406,NP_001285246.1,2171
32406,NP_511156.2,2248
32619,NP_001036280.1,2131
32619,NP_001036281.1,2131
32619,NP_001138205.1,2114
32619,NP_001188600.1,2108
32619,NP_001188601.1,2108
32619,NP_001188602.1,2087
32619,NP_001188603.1,2097
32619,NP_001188604.1,2079
32619,NP_001188605.1,2100
32619,NP_001188606.1,2076
32619,NP_001188607.1,2087
32619,NP_001188608.1,2100
32619,NP_001188609.1,2100
32619,NP_001188610.1,2092
32619,NP_001188611.1,2121
32619,NP_001188612.1,2076
32619,NP_001188613.1,2079
32619,NP_001188614.1,2100
32619,NP_001188615.1,2110
32619,NP_001188616.1,2118
32619,NP_001188617.1,2097
32619,NP_001188618.1,2102
32619,NP_001188619.1,2125
32619,NP_001188620.1,2138
32619,NP_001188621.1,2089
32619,NP_001188622.1,2084
32619,NP_001188623.1,2086
32619,NP_001188624.1,2084
32619,NP_001188625.1,2086
32619,NP_001188626.1,2108
32619,NP_001188627.1,2110
32619,NP_001188628.1,2089
32619,NP_001188629.1,2107
32619,NP_001188630.1,2086
32619,NP_001188631.1,2132
32619,NP_001188632.1,2097
32619,NP_001188633.1,2111
32619,NP_001188634.1,2083
32619,NP_001188635.1,2143
32619,NP_001188636.1,2113
32619,NP_001188637.1,2097
32619,NP_001188638.1,2089
32619,NP_001188639.1,240
32619,NP_001188640.1,2067
32619,NP_001188641.1,2056
32619,NP_001188642.1,1125
32619,NP_001188643.1,1117
32619,NP_001188644.1,2062
32619,NP_001188645.1,2099
32619,NP_001188646.1,2132
32619,NP_001188647.1,2111
32619,NP_001188648.1,2132
32619,NP_001188649.1,2066
32619,NP_001188650.1,872
32619,NP_001188651.1,2056
32619,NP_001188652.1,917
32619,NP_001259619.1,2145
32619,NP_001285332.1,2131
32619,NP_001285333.1,2055
32619,NP_523371.2,2131
36032,NP_001260841.1,511
36032,NP_001260842.1,606
36032,NP_001369068.1,476
36032,NP_001369069.1,534
36032,NP_001369070.1,482
36032,NP_001369071.1,522
36032,NP_477018.1,515
36032,NP_477019.1,509
36032,NP_477020.1,540
36032,NP_477021.1,516
36032,NP_995789.1,501
2768981,NP_001034013.2,608
2768981,NP_001034014.1,519
2768981,NP_001034015.1,567
2768981,NP_001261846.1,623
2768981,NP_996077.1,519
2768981,NP_996078.1,519
2768981,NP_996079.1,519
2768981,NP_996080.1,582
2768981,NP_996081.1,519
2768981,NP_996082.1,582
32703,NP_001036283.1,1520
32703,NP_001285364.1,1499
32703,NP_001285365.1,1485
32703,NP_001334669.1,1464
42305,NP_732407.1,542
47396,NP_001260427.1,2471
47396,NP_524891.1,2470
33196,NP_523443.1,1036
43193,NP_524517.1,102
43275,NP_001287558.1,1407
43275,NP_524527.3,1407
48581,NP_731651.1,642
38872,NP_001014574.1,961
38872,NP_001014576.1,1027
38872,NP_523964.2,1023
38872,NP_729294.2,895
38872,NP_996021.2,895
42757,NP_001262872.1,625
42757,NP_524461.2,718
42757,NP_732857.1,636
42757,NP_732858.1,623
39849,NP_001014588.1,36
39849,NP_524114.1,197
43812,NP_001014693.1,898
43812,NP_001014694.1,857
43812,NP_524628.2,838
43812,NP_726607.1,624
40833,NP_001356897.1,427
40833,NP_001356915.1,508
40833,NP_001368995.1,564
40833,NP_524248.2,417
40833,NP_996165.1,417
43656,NP_524596.1,452
47594,NP_001036541.1,606
47594,NP_001036542.1,503
47594,NP_001036543.1,524
47594,NP_001036544.1,526
47594,NP_001036545.1,608
47594,NP_001188939.1,951
47594,NP_001188941.1,511
47594,NP_001260984.1,958
47594,NP_001260985.1,519
47594,NP_001260986.1,634
47594,NP_001260987.1,620
47594,NP_524892.2,606
43229,NP_001262997.1,141
43229,NP_524519.1,141
44920,NP_524798.2,642
31221,NP_001096867.3,739
31221,NP_525047.1,739
33916,NP_001245913.1,676
33916,NP_523492.1,760
33916,NP_723188.1,766
35717,NP_001097212.2,918
35717,NP_476762.1,923
38746,NP_001286955.1,579
38746,NP_476897.1,508
38746,NP_476898.1,579
33782,NP_001245892.1,622
33782,NP_001245893.1,622
33782,NP_001285629.1,622
33782,NP_476616.1,622
34263,NP_001260291.1,556
34263,NP_523523.2,556
34263,NP_723460.1,515
35509,NP_001163058.1,468
35509,NP_001163059.1,246
35509,NP_523621.2,246
35509,NP_724428.1,469
39150,NP_524012.1,137
39340,NP_001246724.1,490
39340,NP_524030.2,491
2768677,NP_001163694.1,385
2768677,NP_001247252.2,334
2768677,NP_996267.1,495
2768677,NP_996268.1,385
32813,NP_001097015.1,413
32813,NP_001285402.1,413
32813,NP_525095.2,413
34521,NP_001285825.1,843
34521,NP_476875.1,843
37247,NP_001261092.1,669
37247,NP_611427.1,669
43651,NP_733403.1,1105
32080,NP_511119.2,1177
33418,NP_001259925.1,219
33418,NP_001259926.1,219
33418,NP_001259927.1,219
33418,NP_523457.1,219
33418,NP_722795.1,219
33418,NP_722796.1,219
33418,NP_722797.1,219
33418,NP_722798.1,219
33418,NP_722799.1,219
34569,NP_001285843.1,1355
34569,NP_723670.2,1365
40048,NP_536731.1,506
40650,NP_001097687.1,486
40650,NP_524235.2,486
40975,NP_731223.1,312
41625,NP_001163600.1,649
41625,NP_001262530.1,636
41625,NP_476953.1,649
43517,NP_001287592.1,700
43517,NP_476651.1,700
43542,NP_001263090.1,246
43542,NP_476768.1,1275
35190,NP_523600.5,475
35190,NP_724163.1,510
35190,NP_724164.1,475
37528,NP_001163580.1,646
37528,NP_001247017.1,729
37528,NP_001262447.1,577
37528,NP_001262448.1,639
37528,NP_001303443.1,681
37528,NP_001303444.1,681
37528,NP_611645.1,684
37528,NP_731443.1,681
37528,NP_731444.1,681
37528,NP_731445.1,643
37528,NP_731446.1,529
39173,NP_524017.1,450
40014,NP_524137.2,138
41740,NP_001247098.1,941
41740,NP_524349.1,941
41740,NP_731897.1,941
43161,NP_524513.1,179
45328,NP_524818.1,541
48583,NP_650209.1,641
33059,NP_001245786.1,507
33059,NP_001285501.1,510
33059,NP_523424.2,510
41273,NP_001014613.2,266
41273,NP_001027170.1,266
41273,NP_476576.1,487
41273,NP_476577.3,266
41273,NP_476578.3,472
41737,NP_001014621.1,3358
41737,NP_476769.1,3726
41737,NP_476770.1,3358
41737,NP_599108.1,3358
41737,NP_599109.1,3726
42446,NP_001262770.1,1088
42446,NP_650902.1,1088
42446,NP_732536.1,1088
44448,NP_001014669.1,1711
44448,NP_001014670.2,1939
44448,NP_001036761.3,1756
44448,NP_001163745.1,2426
44448,NP_001163746.1,2585
44448,NP_001163747.1,2490
44448,NP_001247318.1,2331
44448,NP_001247319.1,2554
44448,NP_001247320.1,2515
44448,NP_001247321.1,2577
44448,NP_001247322.1,1951
44448,NP_001262987.1,1859
44448,NP_001262988.1,2444
44448,NP_001262989.1,1766
44448,NP_524754.2,1851
44448,NP_733154.1,1756
44448,NP_733155.2,1729
44448,NP_733156.1,1247
33569,NP_001285588.1,117
33569,NP_477295.1,117
31227,NP_525049.1,448
31816,NP_001245583.1,646
31816,NP_001245584.1,578
31816,NP_001259361.1,584
31816,NP_525082.2,575
31816,NP_727290.1,649
31816,NP_727291.1,640
31816,NP_727292.1,512
31816,NP_996387.1,578
31816,NP_996388.1,575
31816,NP_996389.1,575
31816,NP_996390.1,575
31816,NP_996391.1,575
31816,NP_996392.1,575
38654,NP_001261450.1,490
38654,NP_523941.2,490
43769,NP_001014685.1,747
43769,NP_001033798.1,410
43769,NP_001245405.1,494
43769,NP_001245406.1,751
43769,NP_524619.3,751
43769,NP_726522.1,751
43769,NP_726524.1,751
43769,NP_726527.2,733
43769,NP_726528.2,1192
32981,NP_001245762.1,191
32981,NP_001245763.1,191
32981,NP_523414.1,191
35225,NP_001260580.1,1447
35225,NP_476760.1,1447
32256,NP_001259500.1,1162
32256,NP_001259501.1,492
32256,NP_001285182.1,1153
32256,NP_001368981.1,1187
32256,NP_001368982.1,1294
32256,NP_511142.2,492
32256,NP_727661.1,1178
34284,NP_476977.1,353
34284,NP_723479.1,353
34284,NP_995672.1,353
37065,NP_001163185.1,1025
37065,NP_476751.1,1026
37065,NP_725748.1,914
42501,NP_477170.1,214
42501,NP_599137.1,214
43256,NP_001097942.1,290
43256,NP_001138116.1,270
43256,NP_524526.1,326
43256,NP_733188.1,227
43256,NP_733191.1,300
43256,NP_733192.1,244
43256,NP_733194.1,253
43256,NP_733195.1,273
44921,NP_731716.1,641
39203,NP_001137932.1,760
39203,NP_001261682.1,765
39203,NP_524021.2,760
39683,NP_001261882.1,787
39683,NP_648775.1,1214
39683,NP_730054.1,1217
33565,NP_523467.1,773
33565,NP_722907.1,773
39054,NP_001261615.1,606
39054,NP_001261616.1,606
39054,NP_001261617.1,608
39054,NP_523991.2,606
39054,NP_729461.1,606
39054,NP_729462.2,579
40832,NP_477201.1,586
42536,NP_524433.1,416
31165,NP_001259168.1,508
31165,NP_476781.1,508
32100,NP_511124.1,1887
34524,NP_001097144.1,795
34524,NP_476734.1,866
38231,NP_001261286.1,2457
38231,NP_001261287.1,2447
38231,NP_001261288.1,2425
38231,NP_476739.1,2415
43038,NP_476800.1,442
31230,NP_001033827.1,575
31230,NP_001259190.1,605
31230,NP_525051.1,575
34413,NP_001260340.1,710
34413,NP_001260341.1,710
34413,NP_001356956.1,775
34413,NP_477189.1,710
40336,NP_730600.1,482
40336,NP_730601.1,482
34982,NP_001014486.1,1063
34982,NP_001014487.1,1072
34982,NP_723968.1,1065
34982,NP_723969.1,1072
34982,NP_723970.1,1074
34982,NP_723971.1,1081
43162,NP_001189293.1,719
43162,NP_001189294.1,728
43162,NP_001247309.1,709
43162,NP_001262981.1,698
43162,NP_001287539.1,717
43162,NP_524514.2,719
43162,NP_733133.1,719
43162,NP_733134.1,719
43162,NP_733135.1,719
43162,NP_996298.1,730
43991,NP_001162933.1,514
43991,NP_477422.2,514
43991,NP_477423.1,514
43991,NP_477424.1,418
43991,NP_599147.1,509
43991,NP_599148.1,509
43991,NP_599149.1,514
31802,NP_001014727.2,542
31802,NP_001259345.1,542
31802,NP_001259346.1,542
31802,NP_001259347.1,539
31802,NP_001356934.1,664
31802,NP_511091.4,548
35523,NP_476641.1,1293
35523,NP_724440.1,936
42550,NP_001262809.1,821
42550,NP_001287454.1,821
42550,NP_001287455.1,805
42550,NP_524437.2,805
42550,NP_732646.1,805
42550,NP_732647.1,805
34969,NP_001260496.1,500
34969,NP_476942.1,500
34969,NP_476943.1,482
34969,NP_723960.1,500
34969,NP_995721.1,500
35341,NP_001260641.1,445
35341,NP_476954.1,427
35341,NP_599128.1,427
36746,NP_001097333.1,1480
36746,NP_001097334.1,1504
36746,NP_001261017.1,2157
36746,NP_476727.1,1504
36746,NP_476728.1,1480
36746,NP_476729.1,1469
31717,NP_001162697.1,512
31717,NP_511076.3,512
31717,NP_727226.1,512
31717,NP_727227.1,512
32001,NP_001285087.1,96
32001,NP_001285088.1,107
32001,NP_727447.1,121
32026,NP_511113.1,379
41085,NP_001163563.1,672
41085,NP_476652.1,754
41085,NP_731309.1,671
41085,NP_731310.1,672
41085,NP_731311.1,753
48317,NP_001189329.1,813
48317,NP_001189330.1,643
48317,NP_524911.3,643
48317,NP_733443.1,813
48317,NP_733444.1,813
48317,NP_733445.1,813
48317,NP_733446.1,643
48317,NP_733447.1,643
33627,NP_477497.1,5147
35652,NP_001036476.1,2035
35652,NP_001036477.1,2031
35652,NP_001036478.1,2030
35652,NP_001036479.1,2016
35652,NP_001036480.1,2019
35652,NP_001036481.1,2031
35652,NP_001036482.1,2034
35652,NP_001036483.1,2016
35652,NP_001036484.1,2034
35652,NP_001036485.1,2020
35652,NP_001036486.1,2018
35652,NP_001036487.1,2017
35652,NP_001036488.1,2020
35652,NP_001036489.1,2030
35652,NP_001036490.1,2035
35652,NP_001036491.1,2035
35652,NP_001036492.1,2034
35652,NP_001036493.1,2013
35652,NP_001036494.1,2031
35652,NP_001036495.1,2031
35652,NP_001036497.1,2018
35652,NP_001036498.1,2031
35652,NP_001036499.1,2035
35652,NP_001036500.1,2032
35652,NP_001036501.1,2016
35652,NP_001036502.1,2018
35652,NP_001036503.1,2037
35652,NP_001036504.1,2034
35652,NP_001036505.1,2030
35652,NP_001036506.1,2031
35652,NP_001036509.1,2017
35652,NP_001036510.1,2032
35652,NP_001036512.1,2017
35652,NP_001036513.1,2016
35652,NP_001036514.1,2031
35652,NP_001036515.1,2031
35652,NP_001036516.1,2022
35652,NP_001036517.1,2017
35652,NP_001036518.1,2032
35652,NP_001036520.1,2031
35652,NP_001036521.1,2019
35652,NP_001036522.1,2017
35652,NP_001036523.1,2016
35652,NP_001036524.1,2032
35652,NP_001036525.1,2032
35652,NP_001036526.1,2017
35652,NP_001036527.1,2031
35652,NP_001036528.1,2017
35652,NP_001036529.1,2016
35652,NP_001246162.1,2038
35652,NP_001246163.1,2020
35652,NP_001246164.1,2035
35652,NP_001246165.1,2035
35652,NP_001246166.1,2020
35652,NP_001246167.1,2035
35652,NP_001246168.1,2030
35652,NP_001246169.1,2033
35652,NP_001246170.1,2035
35652,NP_001246171.1,2019
35652,NP_001246172.1,2028
35652,NP_001246173.1,2036
35652,NP_001246174.1,2019
35652,NP_001246175.1,2019
35652,NP_001246176.1,2037
35652,NP_001246177.1,2032
35652,NP_001246178.1,2016
35652,NP_001246179.1,2034
35652,NP_001246180.1,2036
35652,NP_001246181.1,2016
35652,NP_001260764.1,1947
35652,NP_523649.5,2019
35652,NP_724542.1,2016
35652,NP_724543.1,2016
35652,NP_724544.2,2016
35652,NP_995769.1,2022
36329,NP_001246276.1,149
36329,NP_001246277.1,149
36329,NP_001286337.1,149
36329,NP_523710.1,149
36329,NP_725120.1,149
37603,NP_476899.1,1395
37603,NP_726224.3,1395
31181,NP_001162644.1,1346
31181,NP_001284802.1,1346
31181,NP_001284803.1,1346
31181,NP_476871.2,1589
