NCBI GeneID,Protein Accession,Protein_length,Transcript Accession,Transcript_length
31014,NP_001138143.2,136,NM_001144671.3,1229
31015,NP_569853.1,1300,NM_130497.4,6137
31016,NP_001033818.1,162,NM_001038729.3,1544
31017,NP_001284756.1,2265,NM_001297827.1,9031
31018,NP_569854.1,322,NM_130498.3,1686
31020,NP_569856.2,306,NM_130500.4,1236
31019,NP_569855.2,478,NM_130499.2,1565
31021,NP_726698.1,469,NM_166862.4,2193
31022,NP_477134.1,299,NM_057786.5,1100
31023,NP_001096859.1,646,NM_001103389.2,2304
31024,NP_001259102.1,765,NM_001272173.1,2840
31025,NP_569859.1,421,NM_130503.3,1603
31026,NP_001284761.2,1045,NM_001297832.1,3915
31027,NP_525036.2,845,NM_080297.3,3619
31028,NP_569861.1,493,NM_130505.3,1802
31029,NP_569862.3,301,NM_130506.3,1427
31030,NP_001259103.1,213,NM_001272174.1,1749
31031,NP_001284762.1,1852,NM_001297833.1,7498
31032,NP_569864.1,119,NM_130508.2,475
50365,NP_652501.1,83,NM_144244.3,987
50366,NP_001036255.1,93,NM_001042790.2,516
31033,NP_569865.1,254,NM_130509.2,881
31036,NP_001259113.1,152,NM_001272184.1,645
31037,NP_001259114.1,998,NM_001272185.2,4056
31038,NP_569870.1,143,NM_130514.5,602
31039,NP_569871.2,362,NM_130515.3,1301
53540,NP_652634.1,444,NM_144377.3,1545
318224,NP_001284763.1,382,NM_001297834.1,3540
31042,NP_726711.1,368,NM_166867.2,2100
31043,NP_569872.1,382,NM_130516.4,1515
31044,NP_569873.1,426,NM_130517.3,2155
31045,NP_569874.1,711,NM_130518.3,2496
31046,NP_569875.2,251,NM_130519.3,839
31047,NP_001284764.1,558,NM_001297835.1,2540
59184,NP_659571.1,106,NM_145103.2,667
31048,NP_569877.1,107,NM_130521.1,462
31049,NP_569878.1,132,NM_130522.3,590
31054,NP_476756.2,963,NM_057408.6,3199
31050,NP_569879.1,387,NM_130523.3,2462
318223,NP_726716.2,244,NM_166869.4,1664
53546,NP_652639.1,389,NM_144382.4,1412
31052,NP_569880.1,575,NM_130524.5,2214
318857,NP_001303571.1,183,NM_001316642.1,2303
44620,NP_651985.1,406,NM_143728.4,1358
7354475,NP_001036256.2,92,NM_001042791.3,711
31055,NP_569881.1,319,NM_130525.4,1107
31056,NP_001259118.1,596,NM_001272189.2,4766
31057,NP_569883.1,141,NM_130527.3,489
31059,NP_726718.1,429,NM_166870.2,1638
31060,NP_001284765.1,312,NM_001297836.1,2256
31061,NP_569887.1,588,NM_130531.4,2159
31062,NP_001284766.1,201,NM_001297837.1,1387
31063,NP_001259121.1,270,NM_001272192.1,1564
31064,NP_569890.1,342,NM_130534.3,1413
31065,NP_001284767.1,569,NM_001297838.1,2801
31066,NP_569892.1,756,NM_130536.2,2579
31067,NP_569894.2,436,NM_130538.3,1603
31068,NP_726719.1,230,NM_166871.2,819
31069,NP_569895.1,505,NM_130539.3,1884
31070,NP_001259122.2,329,NM_001272193.2,3018
31071,NP_726720.3,1472,NM_166872.3,6097
31072,NP_569898.1,861,NM_130542.4,2890
43867,NP_001259125.1,688,NM_001272196.2,7025
31074,NP_569899.3,225,NM_130543.4,1599
31075,NP_001188522.1,1463,NM_001201593.2,5470
318222,NP_726725.2,77,NM_166877.3,404
45973,NP_569901.1,2118,NM_130545.3,6581
31078,NP_569902.2,1279,NM_130546.3,4457
31079,NP_726727.1,377,NM_166878.3,2347
31081,NP_569904.1,612,NM_130548.3,2319
31080,NP_525037.1,244,NM_080298.4,1002
31082,NP_001284773.1,712,NM_001297844.1,3887
31083,NP_569906.1,771,NM_130550.3,2460
31084,NP_477492.1,291,NM_058144.3,1114
31085,NP_569907.1,151,NM_130551.3,690
31086,NP_569908.1,485,NM_130552.3,2945
43904,NP_726730.1,582,NM_166880.2,2853
44736,NP_651990.1,160,NM_143733.2,831
31089,NP_001368967.1,699,NM_001382062.1,3484
31090,NP_001259133.1,486,NM_001272204.1,3603
5740544,NP_001162632.2,5495,NM_001169161.3,22255
31093,NP_001162633.1,428,NM_001169162.2,1562
31094,NP_569912.2,470,NM_130556.2,1713
31095,NP_569913.1,1072,NM_130557.3,3382
31096,NP_569914.2,260,NM_130558.3,870
31097,NP_001284779.1,606,NM_001297850.1,2176
31098,NP_569916.1,490,NM_130560.4,1634
31099,NP_001284782.1,196,NM_001297853.1,1474
31100,NP_569918.1,186,NM_130562.2,753
318221,NP_726740.1,284,NM_166886.2,1063
31101,NP_726742.1,256,NM_166887.3,1399
31102,NP_569920.2,302,NM_130564.3,1082
31103,NP_726743.1,236,NM_166888.3,1466
31104,NP_001334676.1,347,NM_001347750.1,1493
31105,NP_001284784.1,316,NM_001297855.1,2672
31106,NP_476750.1,270,NM_057402.5,1109
31110,NP_001284786.1,211,NM_001297857.1,4686
31107,NP_001014714.1,1083,NM_001014714.2,4176
31109,NP_569925.2,116,NM_130569.5,457
31111,NP_001284789.1,1795,NM_001297860.1,6772
44505,NP_001162638.2,1011,NM_001169167.2,4188
31118,NP_477286.2,1002,NM_057938.5,3161
31119,NP_569932.1,140,NM_130576.4,829
31120,NP_001259135.1,611,NM_001272206.1,3038
31121,NP_001245466.1,1264,NM_001258537.3,6941
31123,NP_001245468.1,221,NM_001258539.1,3151
31124,NP_477365.1,558,NM_058017.5,2139
31127,NP_001259141.1,409,NM_001272212.1,2218
31128,NP_001284790.1,305,NM_001297861.1,1247
31129,NP_001162639.2,404,NM_001169168.2,2972
31136,NP_001245481.1,852,NM_001258552.1,3749
31130,NP_001368969.1,681,NM_001382020.1,2315
318220,NP_726762.1,205,NM_166904.2,803
31131,NP_569941.2,202,NM_130585.2,720
31132,NP_569942.2,237,NM_130586.2,849
31137,NP_001259144.1,100,NM_001272215.2,802
45250,NP_652012.1,532,NM_143755.4,2170
31139,NP_569947.2,1052,NM_130591.3,3451
31140,NP_569948.3,217,NM_130592.4,842
31141,NP_726771.1,614,NM_166910.2,2158
31142,NP_569950.1,1102,NM_130594.2,3419
31143,NP_569951.1,289,NM_130595.3,1100
31144,NP_569952.2,478,NM_130596.3,2543
31145,NP_001284796.1,106,NM_001297867.1,920
31146,NP_569954.1,506,NM_130598.3,1704
31147,NP_001259146.1,96,NM_001272217.1,598
31148,NP_569956.1,176,NM_130600.2,1019
31149,NP_726773.2,2431,NM_166911.4,8314
31150,NP_001259148.1,243,NM_001272219.1,1076
31151,NP_599100.1,843,NM_134273.2,3220
326240,NP_001259150.1,242,NM_001272221.2,905
31152,NP_726776.1,158,NM_166913.3,937
31154,NP_001259152.1,1004,NM_001272223.2,3883
31153,NP_569958.2,986,NM_130602.4,3459
31155,NP_001284797.1,1525,NM_001297868.1,6716
31156,NP_996329.1,669,NM_206606.3,2447
31157,NP_569962.2,850,NM_130606.3,3688
31158,NP_726779.1,456,NM_166916.2,1791
2768908,NP_996330.1,487,NM_206607.2,2341
31160,NP_569965.1,299,NM_130609.4,1105
31162,NP_001259161.1,2123,NM_001272232.1,8338
31163,NP_569968.2,355,NM_130612.4,1203
46006,NP_001245485.1,2342,NM_001258556.2,9407
31166,NP_477485.1,917,NM_058137.6,4868
31165,NP_001259168.1,508,NM_001272239.2,3038
31169,NP_569971.3,541,NM_130615.3,2157
31167,NP_001259169.1,158,NM_001272240.1,897
31168,NP_001188534.1,670,NM_001201605.2,3782
31170,NP_569972.1,1398,NM_130616.3,5230
31171,NP_569973.1,696,NM_130617.4,2664
31172,NP_569974.2,205,NM_130618.3,920
31174,NP_726789.3,593,NM_166924.3,2521
31173,NP_569975.1,264,NM_130619.5,1097
31175,NP_569977.1,361,NM_130621.3,2070
31176,NP_569978.1,256,NM_130622.3,923
31177,NP_569979.1,246,NM_130623.3,1240
31178,NP_569980.1,560,NM_130624.3,1936
31179,NP_001259172.1,474,NM_001272243.1,3825
45278,NP_477131.1,945,NM_057783.3,7664
44889,NP_524794.2,1537,NM_080055.3,5821
31181,NP_476871.2,1589,NM_057523.5,5940
31184,NP_569982.1,533,NM_130626.3,1987
31185,NP_476860.2,481,NM_057512.3,1895
31186,NP_477059.2,92,NM_057711.3,748
31187,NP_001284804.1,1741,NM_001297875.1,6939
31188,NP_476907.2,512,NM_057559.4,1685
31189,NP_569983.1,371,NM_130627.4,1948
31190,NP_001284805.1,103,NM_001297876.1,807
45706,NP_001259179.1,510,NM_001272250.2,1694
31192,NP_001284806.1,501,NM_001297877.1,2467
31193,NP_525044.1,496,NM_080305.4,1822
31194,NP_476684.1,405,NM_057336.5,1638
31195,NP_477332.1,521,NM_057984.5,1791
50373,NP_001284807.1,70,NM_001297878.1,534
50374,NP_001284808.1,110,NM_001297879.1,680
31196,NP_001284809.1,192,NM_001297880.1,1100
31198,NP_477334.2,626,NM_057986.4,2955
31197,NP_001259180.1,230,NM_001272251.2,1766
45707,NP_652021.1,504,NM_143764.3,1681
31200,NP_001284812.1,462,NM_001297883.1,2094
31201,NP_001284814.1,961,NM_001297885.1,3838
31203,NP_001259181.1,163,NM_001272252.1,893
31204,NP_001259183.2,3417,NM_001272254.2,12119
31205,NP_476591.1,1192,NM_057243.4,3927
47781,NP_477491.1,463,NM_058143.4,3052
31207,NP_525046.1,397,NM_080307.2,1267
31208,NP_477118.1,702,NM_057770.5,2332
31209,NP_726804.1,309,NM_166934.2,1247
31210,NP_001284816.1,303,NM_001297887.1,1286
31211,NP_001356930.1,765,NM_001369996.1,3979
31212,NP_569992.1,398,NM_130636.3,2163
31213,NP_569993.1,535,NM_130637.4,1921
31214,NP_001284819.1,397,NM_001297890.1,2928
31215,NP_001162645.1,923,NM_001169174.2,3387
5740271,NP_001303573.1,578,NM_001316644.1,1960
31217,NP_001259184.1,434,NM_001272255.1,5515
31221,NP_001096867.3,739,NM_001103397.3,4247
31218,NP_001245487.1,259,NM_001258558.1,1385
31219,NP_569999.1,491,NM_130643.2,1643
31220,NP_570000.1,107,NM_130644.4,1908
31222,NP_525048.1,161,NM_080309.4,653
44529,NP_001284821.1,1239,NM_001297892.1,4653
31224,NP_996333.4,2777,NM_206610.5,9439
31226,NP_570003.1,353,NM_130647.3,1537
318215,NP_726810.1,202,NM_166939.2,931
31227,NP_525049.1,448,NM_080310.3,1780
31228,NP_001245490.1,154,NM_001258561.1,1596
31229,NP_001096868.3,1105,NM_001103398.4,4544
31230,NP_001259190.1,605,NM_001272261.2,2412
45320,NP_001401049.1,4489,NM_001414086.1,13798
31234,NP_001245501.1,738,NM_001258572.1,3230
31235,NP_001284828.1,249,NM_001297899.1,1294
31236,NP_001188542.1,228,NM_001201613.2,990
31237,NP_570010.3,240,NM_130654.3,1524
53428,NP_001245503.1,361,NM_001258574.2,1973
31239,NP_525052.1,457,NM_080313.3,3595
31240,NP_525053.1,1212,NM_080314.3,4527
47874,NP_524901.2,721,NM_080162.4,2567
44554,NP_524768.2,468,NM_080029.4,1762
31243,NP_570011.1,269,NM_130655.2,1027
31244,NP_001245504.1,304,NM_001258575.1,1798
31245,NP_570012.1,370,NM_130656.4,2045
31246,NP_001284831.1,750,NM_001297902.1,2427
31247,NP_001259191.1,2154,NM_001272262.2,7054
31248,NP_001259193.1,1168,NM_001272264.1,4499
31249,NP_525055.1,376,NM_080316.2,1428
31250,NP_570015.1,235,NM_130659.2,946
31251,NP_525056.2,1218,NM_080317.2,4527
31252,NP_570016.1,260,NM_130660.2,1013
31253,NP_996339.2,819,NM_206616.2,3360
31254,NP_001284832.1,446,NM_001297903.1,1765
31255,NP_001138149.1,368,NM_001144677.3,2110
31256,NP_570020.1,352,NM_130664.4,1357
31257,NP_570021.2,305,NM_130665.5,1181
31258,NP_570022.2,626,NM_130666.2,2283
31259,NP_570023.1,552,NM_130667.4,1952
31260,NP_726827.1,825,NM_166949.3,3075
31261,NP_570025.1,735,NM_130669.4,2425
31262,NP_477494.2,1042,NM_058146.4,3502
31263,NP_477493.2,696,NM_058145.4,2235
31264,NP_570026.1,237,NM_130670.2,827
31265,NP_477338.3,592,NM_057990.4,2002
31266,NP_001303557.1,428,NM_001316628.1,1868
31267,NP_570028.1,501,NM_130672.3,1804
31268,NP_726829.1,982,NM_166951.2,3837
31269,NP_525057.2,333,NM_080318.3,1667
31292,NP_001245508.1,956,NM_001258579.3,5977
31270,NP_001245509.1,387,NM_001258580.1,2070
31271,NP_476787.1,687,NM_057439.2,2352
31272,NP_570030.1,261,NM_130674.2,966
31273,NP_570031.1,258,NM_130675.2,915
31274,NP_570032.1,330,NM_130676.2,1106
31275,NP_570033.1,327,NM_130677.2,1352
31276,NP_570034.1,195,NM_130678.3,729
31277,NP_726832.2,229,NM_166954.2,1084
31278,NP_570036.3,891,NM_130680.4,2928
31279,NP_570037.1,263,NM_130681.2,1046
31280,NP_726835.1,826,NM_166957.2,2687
31282,NP_570039.1,249,NM_130683.2,840
31283,NP_570040.1,272,NM_130684.3,1047
31284,NP_570041.1,293,NM_130685.4,1570
31285,NP_570042.1,238,NM_130686.2,850
31286,NP_570043.1,294,NM_130687.3,1048
31287,NP_570044.1,305,NM_130688.3,1187
31288,NP_570045.1,148,NM_130689.2,487
31289,NP_001259199.1,249,NM_001272270.1,1018
31290,NP_001284835.1,764,NM_001297906.1,6251
31291,NP_570047.1,264,NM_130691.2,948
31293,NP_476859.2,2703,NM_057511.4,10150
59253,NP_001284836.1,99,NM_001297907.1,816
31294,NP_477482.2,282,NM_058134.5,963
31295,NP_570048.1,135,NM_130692.4,931
31309,NP_726846.1,1209,NM_166959.2,9576
31297,NP_570050.1,119,NM_130694.3,557
31298,NP_476941.2,112,NM_057593.4,546
31299,NP_525060.1,146,NM_080321.1,594
31300,NP_476655.1,107,NM_057307.2,523
31301,NP_476944.1,57,NM_057596.4,267
31303,NP_476677.2,172,NM_057329.4,690
31304,NP_476717.4,287,NM_057369.4,952
31308,NP_570054.2,479,NM_130698.2,1659
31310,NP_001259204.1,717,NM_001272275.1,9166
31311,NP_001284838.1,205,NM_001297909.1,5934
31312,NP_570056.1,190,NM_130700.2,835
31313,NP_570057.1,200,NM_130701.2,1155
31314,NP_570058.1,558,NM_130702.3,1758
31315,NP_001259211.1,386,NM_001272282.1,1518
31316,NP_726865.1,582,NM_166973.2,2653
31317,NP_001138150.1,726,NM_001144678.2,4536
31318,NP_570062.1,436,NM_130706.3,1472
31319,NP_570063.1,191,NM_130707.2,774
31320,NP_570064.1,637,NM_130708.4,2794
31321,NP_001284841.1,479,NM_001297912.1,2252
31322,NP_001259218.1,554,NM_001272289.1,7668
31323,NP_726872.1,110,NM_166977.2,611
318213,NP_001036260.3,569,NM_001042795.3,1910
31326,NP_570069.1,497,NM_130713.3,1713
44126,NP_524700.1,394,NM_079961.4,3704
31328,NP_570070.1,159,NM_130714.2,1044
31329,NP_477321.2,723,NM_057973.4,2599
31331,NP_001245512.1,790,NM_001258583.2,4097
31332,NP_525063.1,201,NM_080324.4,2555
318206,NP_001138153.1,1489,NM_001144681.3,7243
31335,NP_726885.1,377,NM_166988.4,2085
43900,NP_726887.1,114,NM_166990.4,1230
318211,NP_570074.3,377,NM_130718.5,2050
31336,NP_001356931.1,764,NM_001370027.1,3007
31339,NP_001096877.1,1765,NM_001103407.3,6681
31338,NP_570077.1,649,NM_130721.3,2721
31340,NP_001284844.1,780,NM_001297915.1,2670
31341,NP_001284845.1,815,NM_001297916.1,2683
31342,NP_570080.1,350,NM_130724.4,1792
31343,NP_570081.2,493,NM_130725.3,1997
31344,NP_996345.3,1418,NM_206622.4,6157
31347,NP_001284847.1,862,NM_001297918.1,3775
31348,NP_001284848.1,911,NM_001297919.1,3954
318210,NP_726900.2,911,NM_166997.2,3307
318207,NP_726901.2,911,NM_166998.2,3306
31349,NP_996346.2,269,NM_206623.2,3897
31350,NP_525064.1,2779,NM_080325.4,9245
31351,NP_570088.1,631,NM_130732.2,2699
31352,NP_001303565.1,583,NM_001316636.1,2081
31353,NP_001259230.1,1706,NM_001272301.2,7038
31355,NP_001284851.1,788,NM_001297922.1,3339
31356,NP_572149.2,233,NM_131921.3,1232
31357,NP_476866.1,296,NM_057518.4,1178
31358,NP_476901.1,325,NM_057553.5,1450
31359,NP_001245516.1,129,NM_001258587.1,1502
45064,NP_652007.1,746,NM_143750.3,2444
31361,NP_001259231.1,188,NM_001272302.1,1101
31362,NP_572151.1,541,NM_131923.4,2390
31363,NP_001284853.1,1911,NM_001297924.2,10482
251900,NP_726910.1,306,NM_167003.3,1560
31364,NP_001284854.1,885,NM_001297925.1,3475
12798106,NP_001245522.1,60,NM_001258593.2,342
31365,NP_572153.1,152,NM_131925.3,522
31366,NP_572154.1,1357,NM_131926.2,4278
31367,NP_525067.2,201,NM_080328.4,833
31368,NP_001284856.1,496,NM_001297927.1,1987
12798107,NP_001245524.1,82,NM_001258595.1,407
12798108,NP_001245525.1,66,NM_001258596.1,218
31369,NP_572156.1,123,NM_131928.2,921
31370,NP_572157.1,150,NM_131929.2,573
31371,NP_572158.1,485,NM_131930.2,2383
50378,NP_652513.1,99,NM_144256.2,508
50379,NP_652514.1,89,NM_144257.2,415
31372,NP_001284857.1,553,NM_001297928.1,1946
50380,NP_001284858.1,94,NM_001297929.1,521
31373,NP_525068.1,961,NM_080329.3,3606
31374,NP_572160.1,653,NM_131932.4,2246
50381,NP_524981.2,64,NM_080242.4,349
31376,NP_001162661.1,1095,NM_001169190.2,7910
31375,NP_572161.1,425,NM_131933.2,1643
31377,NP_572162.2,939,NM_131934.2,3785
31379,NP_001259238.1,1023,NM_001272309.2,4421
31380,NP_001245529.1,595,NM_001258600.2,3890
31381,NP_525071.2,1160,NM_080332.4,4813
31382,NP_001284862.1,208,NM_001297933.1,1172
31383,NP_572166.1,508,NM_131938.2,1693
31384,NP_726931.2,437,NM_167010.3,3617
31385,NP_572168.1,246,NM_131940.2,888
31386,NP_572169.1,465,NM_131941.4,1996
31387,NP_572170.1,252,NM_131942.3,970
31388,NP_001284863.1,215,NM_001297934.1,1282
31389,NP_572172.1,630,NM_131944.2,2246
31390,NP_572173.1,231,NM_131945.2,887
31391,NP_001014722.1,1894,NM_001014722.2,7441
31392,NP_001259240.1,987,NM_001272311.1,3310
31393,NP_726937.3,1322,NM_167011.4,4689
31394,NP_525072.2,670,NM_080333.3,2601
31395,NP_572176.2,583,NM_131948.2,1904
31396,NP_572177.2,252,NM_131949.3,942
31397,NP_001259243.1,191,NM_001272314.1,1424
31398,NP_525073.1,180,NM_080334.4,696
31399,NP_001284866.1,340,NM_001297937.1,1383
44409,NP_524750.2,800,NM_080011.3,3236
31401,NP_572179.1,714,NM_131951.2,2292
31402,NP_572180.1,342,NM_131952.3,2475
45922,NP_524852.2,478,NM_080113.3,2610
31404,NP_001284867.1,1427,NM_001297938.1,5675
31405,NP_001356933.1,267,NM_001370042.1,1483
31406,NP_726945.1,443,NM_167017.3,2034
31407,NP_572182.1,479,NM_131954.1,1878
31408,NP_572183.1,545,NM_131955.2,3509
31409,NP_572184.1,301,NM_131956.3,1411
31410,NP_572185.1,311,NM_131957.2,1032
31411,NP_572186.1,408,NM_131958.2,1392
31412,NP_001138156.1,128,NM_001144684.2,535
31413,NP_572188.1,479,NM_131960.2,1985
31414,NP_572189.1,1893,NM_131961.2,5992
31415,NP_572190.1,237,NM_131962.2,860
8674091,NP_001162668.2,1039,NM_001169197.3,4812
31416,NP_572191.2,450,NM_131963.2,1594
31419,NP_572194.1,524,NM_131966.2,1868
31420,NP_001284870.1,520,NM_001297941.1,3105
31422,NP_572197.4,819,NM_131969.5,2723
31423,NP_572198.1,576,NM_131970.1,2313
31424,NP_001096881.1,622,NM_001103411.3,3388
31425,NP_001162669.1,1767,NM_001169198.2,6672
31426,NP_572200.2,346,NM_131972.2,1200
31427,NP_001284876.1,215,NM_001297947.1,948
31429,NP_001162673.1,1351,NM_001169202.2,6763
31430,NP_001259250.1,1281,NM_001272321.1,11438
44531,NP_001284879.1,3785,NM_001297950.1,16491
31434,NP_001284877.1,422,NM_001297948.1,19353
31433,NP_572205.1,324,NM_131977.2,1088
31435,NP_572207.1,581,NM_131979.2,2124
31438,NP_001284880.1,345,NM_001297951.1,1488
31439,NP_572210.1,749,NM_131982.3,2628
31440,NP_572211.1,272,NM_131983.2,1157
31441,NP_511044.1,353,NM_078489.3,1448
31442,NP_511045.1,216,NM_078490.4,835
31443,NP_572212.1,157,NM_131984.1,1108
31444,NP_001284882.1,107,NM_001297953.1,952
31445,NP_572213.1,477,NM_131985.3,1867
31446,NP_572214.2,513,NM_131986.2,1883
31447,NP_572215.1,428,NM_131987.4,1663
31448,NP_511047.2,941,NM_078492.4,3323
31449,NP_511048.2,819,NM_078493.4,2747
31450,NP_572216.1,634,NM_131988.3,2614
31451,NP_572217.1,614,NM_131989.4,2319
44317,NP_524741.1,170,NM_080002.4,1214
31456,NP_001284887.1,1174,NM_001297958.1,8050
31457,NP_572219.1,641,NM_131991.3,2485
31459,NP_726992.2,607,NM_167034.2,4509
31458,NP_001284890.1,1126,NM_001297961.1,4454
31460,NP_572222.2,152,NM_131994.3,521
31461,NP_001284891.1,554,NM_001297962.1,2956
31463,NP_001368972.1,512,NM_001382034.1,3093
31464,NP_726999.2,611,NM_167038.2,2975
318198,NP_001284894.1,200,NM_001297965.1,854
31465,NP_001284895.1,182,NM_001297966.1,1307
31466,NP_001284896.1,148,NM_001297967.1,1892
31469,NP_001284897.1,645,NM_001297968.1,2373
31470,NP_001284898.1,837,NM_001297969.1,3633
31471,NP_572233.2,299,NM_132005.3,1084
31472,NP_001096887.1,460,NM_001103417.2,1691
31473,NP_727007.1,494,NM_167040.4,1933
31474,NP_001245533.1,153,NM_001258604.2,1248
31475,NP_572236.3,857,NM_132008.4,2779
8674066,NP_001162676.1,991,NM_001169205.2,4253
7354434,NP_001303575.1,1596,NM_001316646.1,8159
31480,NP_572241.2,312,NM_132013.3,1112
31481,NP_001284899.1,998,NM_001297970.1,3857
44360,NP_524744.2,197,NM_080005.4,833
31483,NP_727016.1,123,NM_167043.3,606
140439,NP_001284901.1,399,NM_001297972.1,1655
44873,NP_511050.1,444,NM_078495.3,1490
31486,NP_572244.1,310,NM_132016.3,1146
31487,NP_572245.1,980,NM_132017.2,3674
44510,NP_536786.1,257,NM_080525.3,1893
31489,NP_572246.1,556,NM_132018.3,2020
31490,NP_572247.2,1023,NM_132019.3,3920
31491,NP_788858.1,925,NM_176685.2,3190
31493,NP_727023.1,531,NM_167045.3,2904
31494,NP_572251.1,478,NM_132023.2,1676
31496,NP_001259259.1,1284,NM_001272330.1,6077
31497,NP_001259262.1,985,NM_001272333.1,3603
31498,NP_001284907.1,259,NM_001297978.1,1691
31499,NP_001284908.1,157,NM_001297979.1,1360
31500,NP_001284909.1,355,NM_001297980.1,2464
44573,NP_001188547.1,359,NM_001201618.1,2060
31507,NP_572263.2,897,NM_132035.3,4296
31503,NP_572259.1,445,NM_132031.3,1983
31504,NP_572260.2,634,NM_132032.3,2087
31506,NP_572262.1,1132,NM_132034.2,3578
31508,NP_572264.1,370,NM_132036.2,1433
31509,NP_572265.1,650,NM_132037.4,2343
31510,NP_572266.1,145,NM_132038.2,605
31511,NP_572267.1,307,NM_132039.3,1077
19836089,NP_001284910.1,153,NM_001297981.1,595
31512,NP_572268.1,216,NM_132040.2,957
31513,NP_001259263.1,873,NM_001272334.1,4315
31515,NP_572271.1,233,NM_132043.1,827
12798119,NP_001245538.1,192,NM_001258609.2,704
12798120,NP_001245539.1,75,NM_001258610.2,542
31516,NP_001284911.1,293,NM_001297982.1,1172
31517,NP_572273.2,674,NM_132045.4,2388
31518,NP_511051.1,827,NM_078496.3,3014
31519,NP_572274.1,558,NM_132046.3,2436
31520,NP_572275.1,494,NM_132047.3,2546
31521,NP_001284915.1,376,NM_001297986.1,2863
31522,NP_001259264.1,494,NM_001272335.1,1886
31523,NP_727050.1,553,NM_167054.2,2335
31524,NP_572278.1,537,NM_132050.2,2001
31525,NP_001284917.1,682,NM_001297988.1,3129
31526,NP_001284918.1,477,NM_001297989.1,2374
318193,NP_001284919.1,459,NM_001297990.1,2397
31527,NP_572281.1,308,NM_132053.2,1109
318192,NP_727055.1,315,NM_167056.2,1347
31528,NP_572282.1,362,NM_132054.2,1158
31529,NP_572283.1,307,NM_132055.2,1408
45994,NP_572284.4,1836,NM_132056.5,5690
50391,NP_572285.2,1058,NM_132057.3,3764
31532,NP_572286.1,540,NM_132058.3,2619
31533,NP_572287.1,368,NM_132059.3,2673
44127,NP_651971.2,365,NM_143714.4,2082
31535,NP_511053.2,335,NM_078498.4,1420
31536,NP_572288.1,182,NM_132060.4,1245
31537,NP_572289.2,2051,NM_132061.3,8298
31538,NP_727061.2,886,NM_167058.3,3373
12798121,NP_001245542.1,184,NM_001258613.2,688
31539,NP_001245543.1,199,NM_001258614.2,1182
31540,NP_001259266.1,287,NM_001272337.1,1827
31541,NP_001284923.1,193,NM_001297994.1,1363
31542,NP_572293.1,261,NM_132065.2,1275
31543,NP_001284924.1,1621,NM_001297995.1,7097
31544,NP_511055.1,453,NM_078500.4,2458
31547,NP_001284926.1,849,NM_001297997.1,4026
31550,NP_001259267.1,3218,NM_001272338.1,13025
326238,NP_727067.1,523,NM_167060.3,1645
318189,NP_001284927.1,525,NM_001297998.1,1758
