Dsim,E_value,Score,query cover,identity,Dmel
XM_002076625.3,0.0,985.0,100,97.089,NM_143010.2
XM_002076632.4,0.0,3109.0,94,94.914,NM_170327.4
XM_002076633.4,0.0,2135.0,78,94.417,NM_143291.2
XM_002076644.4,0.0,3013.0,99,96.248,NM_058133.5
XM_002076648.4,0.0,2292.0,99,96.614,NM_143572.3
XM_002076678.4,0.0,1310.0,98,98.649,NM_001043175.2
XM_002076686.4,0.0,3880.0,84,92.817,NM_079887.3
XM_002076690.4,0.0,2337.0,99,96.095,NM_001258766.3
XM_002076691.4,0.0,3568.0,97,96.86,NM_132853.3
XM_002076693.4,0.0,701.0,92,98.489,NM_079943.4
XM_002076695.4,0.0,1988.0,97,95.666,NM_132856.2
XM_002076696.4,0.0,3517.0,99,95.95,"NM_001382157.1, NM_206731.2"
XM_002076697.4,0.0,1864.0,94,94.214,NM_001347758.1
XM_002076700.4,0.0,1568.0,97,96.339,NM_132860.4
XM_002076703.4,0.0,2459.0,99,95.984,NM_133041.2
XM_002076704.4,5.4200000000000006e-132,470.0,65,89.628,NM_001258809.2
XM_002076708.4,2.8400000000000003e-160,564.0,79,86.296,NM_080355.2
XM_002076711.4,0.0,1831.0,95,93.504,NM_132811.3
XM_002076717.4,0.0,1829.0,98,93.175,NM_144348.3
XM_002076723.3,0.0,1592.0,98,87.403,NM_134567.2
XM_002076731.4,7.8e-165,579.0,83,90.828,NM_144289.4
XM_002076749.4,0.0,1487.0,99,88.791,NM_001298078.1
XM_002076751.4,0.0,3206.0,99,97.402,NM_080292.4
XM_002076752.4,9.21e-179,625.0,93,91.759,NM_130521.1
XM_002076753.4,0.0,761.0,91,90.476,NM_130522.3
XM_002076754.4,0.0,1238.0,99,95.262,NM_001297837.1
XM_002076756.4,0.0,2780.0,92,95.351,NM_130539.3
XM_002076763.4,0.0,1399.0,99,94.955,NM_166886.2
XM_002076766.3,0.0,728.0,93,95.405,NM_130569.5
XM_002076767.4,0.0,2106.0,100,95.875,NM_001297857.1
XM_002076771.4,0.0,1325.0,97,95.636,NM_130576.4
XM_002076772.4,0.0,1692.0,95,96.67,NM_001258539.1
XM_002076781.4,0.0,883.0,87,88.22,NM_166904.2
XM_002076782.3,0.0,1264.0,94,97.33,NM_001272215.2
XM_002076792.4,0.0,979.0,62,87.417,NM_001272240.1
XM_002076794.4,0.0,4434.0,99,96.74,NM_130617.4
XM_002076805.3,0.0,4165.0,99,95.953,NM_080162.4
XM_002076807.4,0.0,2556.0,97,92.621,NM_001258575.1
XM_002076811.4,0.0,2023.0,100,95.039,NM_080316.2
XM_002076813.4,0.0,1387.0,93,91.807,NM_130660.2
XM_002076818.4,0.0,1382.0,98,96.0,NM_130686.2
XM_002076824.4,9.09e-149,525.0,73,94.925,NM_144256.2
XM_002076832.4,0.0,2898.0,99,91.966,NM_131979.2
XM_002076836.4,0.0,1927.0,82,96.484,NM_078489.3
XM_002076837.4,0.0,1175.0,91,94.821,NM_078490.4
XM_002076853.4,0.0,4187.0,98,95.511,NM_132115.3
XM_002076855.4,0.0,3020.0,98,95.88,NM_001169212.2
XM_002076862.4,0.0,2551.0,99,96.914,NM_001298058.1
XM_002076867.4,0.0,1910.0,93,87.007,NM_132203.4
XM_002076869.4,0.0,2085.0,94,93.277,NM_132227.2
XM_002076870.4,0.0,1609.0,89,92.799,NM_132228.3
XM_002076871.4,0.0,1943.0,87,95.552,NM_078526.1
XM_002076876.4,0.0,857.0,81,92.487,NM_167155.3
XM_002076877.4,0.0,3851.0,100,96.717,NM_001298088.1
XM_002076880.4,0.0,996.0,92,95.8,NM_001272412.1
XM_002076881.4,0.0,1338.0,96,94.982,NM_001272415.1
XM_002076885.3,0.0,3328.0,100,97.494,NM_001272441.2
XM_002076886.3,0.0,1587.0,86,95.582,NM_132298.5
XM_002076889.4,0.0,1901.0,99,95.349,NM_079905.3
XM_002076891.4,0.0,647.0,92,94.145,NM_001298128.1
XM_002076899.4,1.55e-170,597.0,98,95.699,NM_001298136.1
XM_002076900.4,0.0,3241.0,99,94.612,NM_132356.3
XM_002076906.4,0.0,2001.0,81,97.286,NM_078552.3
XM_002076919.4,0.0,878.0,87,90.574,NM_001258689.1
XM_002076922.4,0.0,1040.0,99,93.258,NM_001298185.1
XM_002076923.4,0.0,4372.0,93,96.128,NM_167275.2
XM_002076924.4,0.0,946.0,97,94.231,NM_132473.2
XM_002076927.4,0.0,1290.0,87,96.543,NM_078561.3
XM_002076930.4,0.0,676.0,96,91.304,NM_080107.3
XM_002076931.4,0.0,3037.0,98,92.233,NM_206689.2
XM_002076936.3,0.0,1351.0,96,96.691,NM_132579.3
XM_002076944.3,0.0,1074.0,97,95.273,NM_001298241.1
XM_002076945.4,0.0,1733.0,82,96.139,NM_132612.2
XM_002076947.3,6.41e-176,616.0,96,87.709,NM_132619.2
XM_002076949.4,0.0,2721.0,92,92.432,NM_001298252.1
XM_002076950.4,0.0,2835.0,99,96.824,NM_057814.4
XM_002076951.4,0.0,1655.0,99,94.86,NM_001298254.1
XM_002076957.4,0.0,1471.0,99,94.16,NM_167372.2
XM_002076958.3,0.0,2106.0,97,95.997,NM_132670.4
XM_002076959.4,0.0,4896.0,99,95.505,NM_167377.2
XM_002076960.4,0.0,3537.0,98,95.682,NM_132674.3
XM_002076962.4,0.0,4811.0,98,94.742,NM_132687.2
XM_002076980.4,0.0,983.0,75,93.675,NM_132756.2
XM_002076987.4,0.0,2189.0,93,93.289,NM_001298343.1
XM_002076995.4,0.0,3049.0,71,98.009,NM_206746.2
XM_002076996.4,0.0,4466.0,99,97.444,NM_132871.3
XM_002076998.4,0.0,2706.0,97,92.244,NM_132872.2
XM_002076999.4,0.0,3238.0,98,95.773,NM_132877.2
XM_002077000.4,0.0,7481.0,93,94.035,NM_079878.5
XM_002077006.4,0.0,2204.0,88,97.237,NM_001258779.1
XM_002077009.4,0.0,5073.0,92,94.275,NM_001272681.1
XM_002077013.4,0.0,1681.0,99,91.573,NM_001298405.1
XM_002077026.4,0.0,756.0,84,92.509,NM_133015.2
XM_002077034.4,0.0,3651.0,99,93.778,NM_001038764.2
XM_002077038.4,0.0,1236.0,96,92.849,NM_167611.3
XM_002077045.4,0.0,1079.0,95,88.609,NM_133081.3
XM_002077046.4,0.0,1618.0,78,90.156,NM_133086.4
XM_002077047.4,0.0,1722.0,99,98.272,NM_133087.3
XM_002077051.4,0.0,4948.0,98,96.119,NM_078679.3
XM_002077057.4,0.0,1707.0,98,95.837,NM_001298487.1
XM_002077067.4,0.0,2113.0,98,95.544,NM_001298496.1
XM_002077075.4,0.0,1186.0,80,93.392,NM_133155.4
XM_002077083.4,0.0,2961.0,92,94.778,NM_001272784.1
XM_002077085.3,0.0,2150.0,99,94.508,NM_001298523.1
XM_002077088.4,0.0,3304.0,98,92.019,NM_001258832.1
XM_002077090.4,0.0,1230.0,33,90.01,NM_134501.3
XM_002077091.4,0.0,1050.0,89,90.594,NM_001272797.1
XM_002077101.4,1.2199999999999999e-152,538.0,85,90.408,NM_144036.3
XM_002077105.3,0.0,832.0,87,87.945,NM_167716.3
XM_002077109.4,0.0,1613.0,99,90.602,NM_001298582.1
XM_002077113.4,0.0,1208.0,96,93.187,NM_134595.3
XM_002077120.4,0.0,2767.0,90,94.769,NM_134613.3
XM_002077126.4,0.0,928.0,87,85.366,NM_134627.2
XM_002077128.4,0.0,2089.0,82,92.803,NM_001201441.3
XM_002077130.4,0.0,2211.0,95,93.436,NM_001015254.3
XM_002077131.4,0.0,2109.0,97,89.876,NM_001015255.4
XM_002077153.4,0.0,756.0,100,97.315,"NM_001032160.2, NM_001032170.2, NM_001032180.2, NM_001032140.2, NM_001032215.2, NM_001032165.2, NM_001032155.2, NM_001032175.2, NM_001032135.2, NM_001032130.2, NM_001032121.2, NM_001032210.2, NM_001032190.2, NM_001032150.2, NM_001032145.2, NM_001032185.2, NM_165382.3"
XM_002077160.4,0.0,1363.0,98,95.642,NM_079950.4
XM_002077168.4,0.0,1321.0,99,93.75,NM_001042848.2
XM_002077186.3,0.0,1746.0,94,93.729,NM_167690.1
XM_002077191.4,2.2400000000000003e-179,627.0,94,95.0,NM_001110956.3
XM_002077205.4,0.0,1424.0,95,95.06,NM_001042856.3
XM_002077208.4,0.0,809.0,99,98.268,"NM_001032174.2, NM_001032149.2, NM_001032184.2, NM_001032159.2, NM_001032112.2, NM_001032179.2, NM_001032169.2, NM_001032139.2, NM_001032125.2, NM_001032154.2, NM_001032164.2, NM_001032116.2, NM_001032134.2, NM_001032209.2, NM_001032129.2, NM_001032120.2, NM_001032144.2, NM_001032189.2"
XM_002077230.3,0.0,785.0,81,89.855,NM_134541.3
XM_002077235.4,0.0,2447.0,99,93.966,NM_001042983.2
XM_002077247.4,0.0,2407.0,99,97.391,NM_079277.3
XM_002077266.4,0.0,948.0,86,87.47,NM_167261.3
XM_002077276.4,0.0,1157.0,92,91.549,NM_143542.2
XM_002077278.4,3.8399999999999997e-168,590.0,77,91.475,NM_001259346.2
XM_002077292.4,0.0,920.0,92,96.416,NM_079666.3
XM_002077294.4,0.0,3602.0,91,96.38,NM_001300587.1
XM_002077315.4,0.0,939.0,95,92.62,NM_132359.2
XM_002077316.4,0.0,1461.0,97,93.134,NM_078551.4
XM_002077324.4,0.0,1140.0,98,97.744,NM_132358.3
XM_002077344.4,0.0,894.0,84,86.036,NM_001299753.1
XM_002077440.4,1.5300000000000002e-144,510.0,100,98.947,"NM_001299763.1, NM_001299762.1"
XM_002077456.3,3.87e-105,381.0,79,85.559,NM_132357.3
XM_002077463.4,0.0,1437.0,99,96.141,NM_001032133.2
XM_002077472.3,1.6e-116,418.0,72,89.222,NM_176290.2
XM_002077501.4,0.0,2034.0,98,96.446,NM_134691.2
XM_002077504.4,0.0,2019.0,99,94.769,NM_130515.3
XM_002077511.4,0.0,1705.0,74,94.449,NM_136387.3
XM_002077543.4,0.0,2905.0,97,95.4,NM_134643.4
XM_002077544.4,0.0,3062.0,99,95.789,NM_080081.3
XM_002077546.3,0.0,2518.0,99,95.406,NM_134646.4
XM_002077547.4,0.0,3927.0,99,95.501,NM_134647.4
XM_002077551.4,0.0,4331.0,99,96.096,NM_205881.3
XM_002077554.4,0.0,2036.0,99,95.455,"NM_164368.3, NM_164369.3"
XM_002077555.4,0.0,2826.0,99,93.928,NM_001272871.1
XM_002077556.3,0.0,1201.0,90,93.58,NM_134653.4
XM_002077560.4,0.0,2641.0,100,96.109,NM_134656.4
XM_002077562.4,0.0,2050.0,87,95.521,NM_001298614.1
XM_002077563.4,0.0,1243.0,94,96.311,NM_001032044.2
XM_002077566.4,0.0,1456.0,96,95.787,NM_078716.3
XM_002077568.4,0.0,4030.0,100,96.885,NM_001272877.1
XM_002077572.4,0.0,1572.0,97,95.979,NM_001272879.1
XM_002077574.4,0.0,6521.0,62,95.748,NM_001258892.2
XM_002077575.4,0.0,3814.0,99,97.084,NM_134665.2
XM_002077576.4,0.0,2169.0,98,94.48,NM_134667.5
XM_002077577.4,0.0,1123.0,92,92.346,NM_001298615.1
XM_002077579.3,0.0,6128.0,98,94.514,NM_078719.4
XM_002077580.4,0.0,1631.0,99,94.341,NM_001298617.1
XM_002077584.4,0.0,1103.0,99,93.014,NM_134672.2
XM_002077585.4,0.0,2167.0,99,97.561,NM_001272885.1
XM_002077586.4,0.0,3422.0,99,97.694,NM_058006.4
XM_002077589.4,0.0,1434.0,98,95.536,NM_134673.4
XM_002077590.4,0.0,1585.0,98,96.458,NM_134674.2
XM_002077592.4,0.0,3188.0,89,91.497,NM_164380.2
XM_002077593.4,0.0,2902.0,98,93.078,NM_164381.2
XM_002077596.4,0.0,6602.0,99,95.64,NM_134676.2
XM_002077597.4,0.0,6000.0,99,97.054,NM_057360.4
XM_002077599.4,0.0,5241.0,99,96.177,NM_057981.4
XM_002077600.4,0.0,1967.0,98,95.895,NM_134677.4
XM_002077601.4,0.0,1136.0,98,97.463,NM_001272893.1
XM_002077602.4,0.0,761.0,54,95.407,NM_134678.3
XM_002077603.4,0.0,1033.0,82,96.197,NM_134679.2
XM_002077607.4,0.0,2444.0,99,96.314,NM_134681.3
XM_002077608.4,0.0,4268.0,97,96.392,NM_134682.4
XM_002077612.4,0.0,3458.0,99,97.256,NM_164384.2
XM_002077618.4,0.0,1362.0,99,95.853,NM_134687.4
XM_002077620.4,0.0,3888.0,99,97.096,NM_134689.3
XM_002077621.4,0.0,2710.0,98,97.484,NM_057946.4
XM_002077622.4,0.0,1297.0,90,96.438,NM_134692.5
XM_002077623.4,0.0,1670.0,68,96.278,NM_001298621.1
XM_002077624.4,0.0,2603.0,91,96.022,NM_057982.4
XM_002077625.4,0.0,3801.0,96,95.856,NM_001144290.2
XM_002077627.4,0.0,1005.0,89,95.141,NM_134694.2
XM_002077628.3,0.0,1192.0,97,91.166,NM_134695.3
XM_002077630.4,0.0,1325.0,97,93.764,NM_144385.3
XM_002077633.3,0.0,3489.0,99,95.527,NM_080186.4
XM_002077634.4,0.0,5614.0,99,96.464,NM_001169373.2
XM_002077636.4,2.5000000000000002e-164,577.0,96,89.597,NM_134697.2
XM_002077637.4,0.0,3517.0,93,95.426,NM_078724.6
XM_002077638.4,0.0,3072.0,95,96.04,NM_001272913.1
XM_002077639.4,0.0,4244.0,99,96.265,NM_057865.4
XM_002077640.4,0.0,1094.0,94,95.101,NM_164388.3
XM_002077641.4,0.0,2603.0,98,93.743,NM_134700.4
XM_002077642.4,0.0,3831.0,99,96.012,NM_134701.4
XM_002077644.3,0.0,1676.0,99,95.681,NM_001272915.1
XM_002077645.4,0.0,1214.0,100,94.228,NM_134703.3
XM_002077646.4,0.0,2296.0,88,97.007,NM_134704.5
XM_002077648.4,0.0,5448.0,99,95.458,NM_001169377.1
XM_002077649.4,0.0,1812.0,90,95.968,NM_001272917.1
XM_002077650.4,0.0,1965.0,99,95.628,NM_057917.4
XM_002077651.4,0.0,1640.0,85,94.976,NM_001272920.1
XM_002077658.4,0.0,4909.0,65,96.265,NM_134713.4
XM_002077662.4,0.0,811.0,100,84.785,NR_167880.1
XM_002077668.4,0.0,3186.0,99,96.498,NM_134719.4
XM_002077670.4,0.0,7330.0,99,96.168,NM_001272924.1
XM_002077674.4,0.0,4519.0,99,97.095,NM_134725.2
XM_002077675.4,0.0,2252.0,98,89.758,NM_134726.3
XM_002077676.4,0.0,3325.0,99,92.433,NM_001272926.1
XM_002077680.4,0.0,1707.0,93,97.497,NM_134730.3
XM_002077681.4,0.0,1369.0,97,96.502,NM_134731.3
XM_002077683.4,0.0,2154.0,98,97.248,NM_134733.3
XM_002077686.4,0.0,974.0,93,93.865,NM_134736.4
XM_002077688.4,0.0,739.0,96,93.737,NM_164408.2
XM_002077689.4,0.0,2665.0,98,93.4,NM_134737.4
XM_002077693.4,0.0,2693.0,99,95.913,NM_134740.4
XM_002077697.2,4.36e-159,560.0,94,91.525,NM_134743.3
XM_002077701.3,0.0,1194.0,96,93.765,NM_134744.4
XM_002077702.4,0.0,3535.0,97,95.644,NM_134746.4
XM_002077704.4,0.0,3214.0,99,94.107,NM_001272936.1
XM_002077706.3,0.0,1254.0,97,95.876,NM_057650.3
XM_002077709.4,0.0,708.0,78,90.858,NM_001032046.1
XM_002077713.4,0.0,1498.0,98,95.43,NM_134754.3
XM_002077714.4,0.0,948.0,85,94.08,NM_164415.3
XM_002077715.4,0.0,1515.0,93,96.612,NM_001272938.2
XM_002077717.4,0.0,8479.0,96,97.468,NM_001272939.2
XM_002077719.4,0.0,2085.0,99,92.813,NM_001272940.1
XM_002077720.4,0.0,2207.0,97,95.458,NM_175947.3
XM_002077721.4,0.0,1461.0,99,96.595,NM_001272941.1
XM_002077722.4,0.0,1999.0,99,96.899,NM_164420.2
XM_002077724.4,0.0,2547.0,99,96.223,NM_001272942.2
XM_002077725.3,0.0,990.0,96,94.679,NM_134759.3
XM_002077727.4,0.0,1840.0,94,93.205,NM_078729.3
XM_002077729.4,0.0,3670.0,97,96.858,NM_134761.4
XM_002077733.4,0.0,1375.0,97,90.971,NM_134765.3
XM_002077738.4,0.0,1277.0,98,93.868,NM_001298636.1
XM_002077739.2,0.0,1975.0,92,96.791,NM_134772.4
XM_002077740.4,0.0,1411.0,99,95.886,NM_001272952.1
XM_002077743.4,0.0,3517.0,98,96.211,NM_134768.4
XM_002077744.3,0.0,1177.0,92,96.742,NM_134769.3
XM_002077746.4,0.0,2381.0,99,96.588,NM_134775.3
XM_002077747.4,0.0,773.0,89,92.224,NM_134776.2
XM_002077749.4,1.39e-172,604.0,88,89.162,NM_134777.2
XM_002077750.2,0.0,1580.0,92,91.421,NM_164439.2
XM_002077751.3,0.0,1755.0,82,93.906,NM_001272953.1
XM_002077752.2,0.0,1917.0,60,96.239,NM_164438.1
XM_002077753.4,0.0,3243.0,98,94.973,NM_164441.2
XM_002077756.4,0.0,1303.0,95,93.887,NM_134779.3
XM_002077759.4,0.0,1746.0,96,92.751,NM_001272956.1
XM_002077763.4,0.0,4787.0,99,96.614,NM_001272962.1
XM_002077764.4,0.0,1832.0,98,93.494,NM_001272963.1
XM_002077766.4,0.0,1269.0,94,94.84,NM_134790.2
XM_002077770.4,0.0,1070.0,97,96.313,NM_134793.5
XM_002077772.4,3.09e-148,523.0,80,93.714,NM_144096.3
XM_002077773.4,0.0,809.0,94,95.34,NM_001272964.2
XM_002077776.3,0.0,5097.0,99,96.16,NM_144381.3
XM_002077777.4,0.0,1077.0,97,89.708,NM_001144294.2
XM_002077787.4,0.0,2449.0,98,94.282,NM_001272977.1
XM_002077788.4,0.0,6257.0,99,96.374,NM_134804.4
XM_002077796.4,0.0,4128.0,99,94.977,NM_134810.3
XM_002077797.4,0.0,1679.0,99,95.773,NM_057592.4
XM_002077799.4,0.0,1615.0,97,93.704,NM_134811.4
XM_002077802.4,0.0,4913.0,99,97.92,NM_134812.3
XM_002077809.4,0.0,1694.0,94,95.154,NM_134816.3
XM_002077810.4,0.0,1628.0,97,96.817,NM_164466.2
XM_002077811.4,0.0,1711.0,97,94.9,NM_164467.2
XM_002077812.4,0.0,2174.0,99,96.241,NM_001272990.1
XM_002077814.4,0.0,1057.0,90,92.021,NM_078732.2
XM_002077815.4,0.0,1066.0,91,92.074,NM_001272991.1
XM_002077817.3,0.0,1166.0,99,92.698,NM_164470.2
XM_002077818.4,0.0,1033.0,84,88.101,NM_134818.3
XM_002077819.4,0.0,1098.0,96,96.531,NM_134819.4
XM_002077821.4,0.0,1349.0,99,90.664,NM_001272992.2
XM_002077822.4,0.0,1144.0,97,93.832,NM_134821.3
XM_002077823.4,0.0,1096.0,92,89.282,NM_164473.2
XM_002077825.4,0.0,1362.0,99,94.137,NM_134822.3
XM_002077826.4,0.0,712.0,92,94.08,NM_134823.3
XM_002077828.4,0.0,880.0,64,90.205,NM_164474.2
XM_002077829.4,0.0,935.0,94,91.849,NM_134824.4
XM_002077834.4,0.0,1860.0,54,94.242,NM_001273001.1
XM_002077836.4,0.0,1498.0,84,95.802,NM_134832.4
XM_002077839.4,0.0,3121.0,99,96.937,NM_134834.3
XM_002077840.4,0.0,2193.0,97,93.168,NM_134835.2
XM_002077841.4,0.0,1441.0,99,93.718,NM_134836.2
XM_002077845.4,0.0,2283.0,92,94.938,NM_001103590.3
XM_002077846.4,0.0,3482.0,98,96.708,NM_001273012.1
XM_002077848.4,1.4e-95,350.0,22,93.249,NM_001273013.1
XM_002077854.4,0.0,3923.0,98,96.211,NM_175949.1
XM_002077857.4,0.0,1271.0,92,94.431,NM_134842.2
XM_002077858.4,0.0,2209.0,94,93.056,NM_134843.3
XM_002077863.4,0.0,1002.0,85,96.236,"NM_001103591.2, NM_058092.4"
