NCBI_GeneID,Symbol,Description,Gene_Type,Transcripts,Transcript_Accession,Nomenclature ID,Nomenclature ID2,Chromosomes,Transcript_Genomic_Accession,Transcript_Genomic_Start,Transcript_Genomic_Stop,Orientation,Proteins,Protein_Accession,Synonyms
LOC120284270,LOC120284270,U2 spliceosomal RNA,snRNA,1.0,XR_005543503.1,LOC120284270,LOC120284270,2L,NC_052520.2,19511676,19511871,plus,-,-,-
LOC120284271,LOC120284271,small nucleolar RNA Me28S-Cm2645,snoRNA,1.0,XR_005543504.1,LOC120284271,LOC120284271,2L,NC_052520.2,20313003,20313077,plus,-,-,-
LOC120284272,LOC120284272,small nucleolar RNA Me28S-Cm2645,snoRNA,1.0,XR_005543505.1,LOC120284272,LOC120284272,2L,NC_052520.2,20313246,20313320,plus,-,-,-
LOC120284273,LOC120284273,small nucleolar RNA Me28S-Cm2645,snoRNA,1.0,XR_005543506.1,LOC120284273,LOC120284273,2L,NC_052520.2,20313725,20313799,plus,-,-,-
LOC120284274,LOC120284274,small nucleolar RNA Me28S-Cm2645,snoRNA,1.0,XR_005543507.1,LOC120284274,LOC120284274,2L,NC_052520.2,20314204,20314278,plus,-,-,-
LOC120284275,LOC120284275,small nucleolar RNA Me28S-Cm2645,snoRNA,1.0,XR_005543508.1,LOC120284275,LOC120284275,2L,NC_052520.2,20314684,20314757,plus,-,-,-
LOC120284276,LOC120284276,small nucleolar RNA Me28S-Cm2645,snoRNA,1.0,XR_005543509.1,LOC120284276,LOC120284276,2L,NC_052520.2,20313489,20313563,plus,-,-,-
LOC120284277,LOC120284277,small nucleolar RNA Me28S-Cm2645,snoRNA,1.0,XR_005543511.1,LOC120284277,LOC120284277,2L,NC_052520.2,20313968,20314042,plus,-,-,-
LOC120284278,LOC120284278,small nucleolar RNA Me28S-Cm2645,snoRNA,1.0,XR_005543512.1,LOC120284278,LOC120284278,2L,NC_052520.2,20314447,20314521,plus,-,-,-
LOC120284279,LOC120284279,U6atac minor spliceosomal RNA,snRNA,1.0,XR_005543513.1,LOC120284279,LOC120284279,2L,NC_052520.2,8333816,8333912,plus,-,-,-
LOC120284280,LOC120284280,small nucleolar RNA Z5,snoRNA,1.0,XR_005543514.1,LOC120284280,LOC120284280,2L,NC_052520.2,9816870,9816982,minus,-,-,-
LOC120284281,LOC120284281,U2 spliceosomal RNA,snRNA,1.0,XR_005543515.1,LOC120284281,LOC120284281,2L,NC_052520.2,19514740,19514935,minus,-,-,-
LOC120284282,LOC120284282,small Cajal body-specific RNA PsiU2-38.40.4,ncRNA,1.0,XR_005543516.1,LOC120284282,LOC120284282,2L,NC_052520.2,20833850,20833986,minus,-,-,-
LOC120284283,LOC120284283,U2 spliceosomal RNA,snRNA,1.0,XR_005543517.1,LOC120284283,LOC120284283,2L,NC_052520.2,13056503,13056698,minus,-,-,-
LOC120284284,LOC120284284,U2 spliceosomal RNA,snRNA,1.0,XR_005543518.1,LOC120284284,LOC120284284,2L,NC_052520.2,13060351,13060546,plus,-,-,-
LOC120284285,Trnar-ucu,transfer RNA arginine (anticodon UCU),tRNA,-,-,GeneID_120284285,Trnar-ucu,2L,NC_052520.2,1982343,1982415,plus,-,-,-
LOC120284286,Trnas-aga,transfer RNA serine (anticodon AGA),tRNA,-,-,GeneID_120284286,Trnas-aga,2L,NC_052520.2,3165297,3165378,plus,-,-,-
LOC120284287,Trnam-cau,transfer RNA methionine (anticodon CAU),tRNA,-,-,GeneID_120284287,Trnam-cau,2L,NC_052520.2,3252252,3252323,plus,-,-,-
LOC120284288,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284288,Trnad-guc,2L,NC_052520.2,5204900,5204971,plus,-,-,-
LOC120284289,Trnar-ccu,transfer RNA arginine (anticodon CCU),tRNA,-,-,GeneID_120284289,Trnar-ccu,2L,NC_052520.2,6771708,6771780,plus,-,-,-
LOC120284290,Trnar-ccu,transfer RNA arginine (anticodon CCU),tRNA,-,-,GeneID_120284290,Trnar-ccu-2,2L,NC_052520.2,6899212,6899284,plus,-,-,-
LOC120284291,Trnay-gua,transfer RNA tyrosine (anticodon GUA),tRNA,-,-,GeneID_120284291,Trnay-gua-3,2L,NC_052520.2,7670709,7670894,plus,-,-,-
LOC120284292,Trnag-gcc,transfer RNA glycine (anticodon GCC),tRNA,-,-,GeneID_120284292,Trnag-gcc-3,2L,NC_052520.2,7828975,7829045,plus,-,-,-
LOC120284293,Trnak-uuu,transfer RNA lysine (anticodon UUU),tRNA,-,-,GeneID_120284293,Trnak-uuu,2L,NC_052520.2,8235311,8235383,plus,-,-,-
LOC120284294,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284294,Trnad-guc-4,2L,NC_052520.2,8476005,8476076,plus,-,-,-
LOC120284295,Trnaf-gaa,transfer RNA phenylalanine (anticodon GAA),tRNA,-,-,GeneID_120284295,Trnaf-gaa,2L,NC_052520.2,8519968,8520040,plus,-,-,-
LOC120284296,Trnaq-cug,transfer RNA glutamine (anticodon CUG),tRNA,-,-,GeneID_120284296,Trnaq-cug,2L,NC_052520.2,2025252,2025323,plus,-,-,-
LOC120284297,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284297,Trnad-guc-5,2L,NC_052520.2,8561747,8561818,plus,-,-,-
LOC120284298,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284298,Trnad-guc-6,2L,NC_052520.2,8620564,8620635,plus,-,-,-
LOC120284299,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284299,Trnad-guc-7,2L,NC_052520.2,8624761,8624832,plus,-,-,-
LOC120284300,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284300,Trnad-guc-9,2L,NC_052520.2,8626530,8626601,plus,-,-,-
LOC120284301,Trnap-agg,transfer RNA proline (anticodon AGG),tRNA,-,-,GeneID_120284301,Trnap-agg,2L,NC_052520.2,14314651,14314722,plus,-,-,-
LOC120284302,Trnag-gcc,transfer RNA glycine (anticodon GCC),tRNA,-,-,GeneID_120284302,Trnag-gcc-4,2L,NC_052520.2,14336796,14336866,plus,-,-,-
LOC120284303,Trnap-agg,transfer RNA proline (anticodon AGG),tRNA,-,-,GeneID_120284303,Trnap-agg-2,2L,NC_052520.2,14418180,14418251,plus,-,-,-
LOC120284304,Trnap-agg,transfer RNA proline (anticodon AGG),tRNA,-,-,GeneID_120284304,Trnap-agg-4,2L,NC_052520.2,14419019,14419090,plus,-,-,-
LOC120284305,Trnag-gcc,transfer RNA glycine (anticodon GCC),tRNA,-,-,GeneID_120284305,Trnag-gcc,2L,NC_052520.2,1955106,1955176,minus,-,-,-
LOC120284306,Trnaq-cug,transfer RNA glutamine (anticodon CUG),tRNA,-,-,GeneID_120284306,Trnaq-cug-3,2L,NC_052520.2,2026755,2026826,minus,-,-,-
LOC120284307,Trnaq-cug,transfer RNA glutamine (anticodon CUG),tRNA,-,-,GeneID_120284307,Trnaq-cug-2,2L,NC_052520.2,2025641,2025712,plus,-,-,-
LOC120284308,Trnaq-cug,transfer RNA glutamine (anticodon CUG),tRNA,-,-,GeneID_120284308,Trnaq-cug-4,2L,NC_052520.2,2026981,2027052,minus,-,-,-
LOC120284309,Trnaq-cug,transfer RNA glutamine (anticodon CUG),tRNA,-,-,GeneID_120284309,Trnaq-cug-5,2L,NC_052520.2,2029314,2029385,minus,-,-,-
LOC120284310,Trnay-gua,transfer RNA tyrosine (anticodon GUA),tRNA,-,-,GeneID_120284310,Trnay-gua,2L,NC_052520.2,2471463,2471565,minus,-,-,-
LOC120284311,Trnas-aga,transfer RNA serine (anticodon AGA),tRNA,-,-,GeneID_120284311,Trnas-aga-2,2L,NC_052520.2,3168576,3168657,minus,-,-,-
LOC120284312,Trnaw-cca,transfer RNA tryptophan (anticodon CCA),tRNA,-,-,GeneID_120284312,Trnaw-cca,2L,NC_052520.2,4409230,4409301,minus,-,-,-
LOC120284313,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284313,Trnad-guc-2,2L,NC_052520.2,8416335,8416406,minus,-,-,-
LOC120284314,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284314,Trnad-guc-3,2L,NC_052520.2,8475796,8475867,minus,-,-,-
LOC120284315,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284315,Trnad-guc-8,2L,NC_052520.2,8625119,8625190,minus,-,-,-
LOC120284316,Trnad-guc,transfer RNA aspartic acid (anticodon GUC),tRNA,-,-,GeneID_120284316,Trnad-guc-10,2L,NC_052520.2,8626884,8626955,minus,-,-,-
LOC120284317,Trnat-agu,transfer RNA threonine (anticodon AGU),tRNA,-,-,GeneID_120284317,Trnat-agu,2L,NC_052520.2,9162214,9162287,minus,-,-,-
LOC120284318,Trnag-gcc,transfer RNA glycine (anticodon GCC),tRNA,-,-,GeneID_120284318,Trnag-gcc-2,2L,NC_052520.2,2047861,2047931,plus,-,-,-
LOC120284319,Trnaq-cug,transfer RNA glutamine (anticodon CUG),tRNA,-,-,GeneID_120284319,Trnaq-cug-6,2L,NC_052520.2,13833503,13833574,minus,-,-,-
LOC120284320,Trnag-gcc,transfer RNA glycine (anticodon GCC),tRNA,-,-,GeneID_120284320,Trnag-gcc-5,2L,NC_052520.2,14337052,14337122,minus,-,-,-
LOC120284321,Trnag-gcc,transfer RNA glycine (anticodon GCC),tRNA,-,-,GeneID_120284321,Trnag-gcc-6,2L,NC_052520.2,14337388,14337458,minus,-,-,-
LOC120284322,Trnag-gcc,transfer RNA glycine (anticodon GCC),tRNA,-,-,GeneID_120284322,Trnag-gcc-7,2L,NC_052520.2,14349488,14349558,minus,-,-,-
LOC120284323,Trnag-gcc,transfer RNA glycine (anticodon GCC),tRNA,-,-,GeneID_120284323,Trnag-gcc-8,2L,NC_052520.2,14349792,14349862,minus,-,-,-
LOC120284324,Trnap-agg,transfer RNA proline (anticodon AGG),tRNA,-,-,GeneID_120284324,Trnap-agg-3,2L,NC_052520.2,14418741,14418812,minus,-,-,-
LOC120284325,Trnay-gua,transfer RNA tyrosine (anticodon GUA),tRNA,-,-,GeneID_120284325,Trnay-gua-2,2L,NC_052520.2,2474091,2474184,plus,-,-,-
LOC120284326,LOC120284326,chitinase-3-like protein 1,PROTEIN_CODING,1.0,XM_039291295.2,LOC120284326,LOC120284326,2R,NC_052521.2,18237530,18239355,minus,1.0,XP_039147229.1,-
LOC120284327,LOC120284327,uncharacterized LOC120284327,ncRNA,1.0,XR_005543519.1,LOC120284327,LOC120284327,2R,NC_052521.2,18218492,18223293,minus,-,-,-
LOC120284328,LOC120284328,uncharacterized LOC120284328,ncRNA,1.0,XR_005543520.2,LOC120284328,LOC120284328,2R,NC_052521.2,18223494,18224434,plus,-,-,-
LOC120284330,LOC120284330,uncharacterized LOC120284330,ncRNA,1.0,XR_005543523.2,LOC120284330,LOC120284330,2R,NC_052521.2,20583285,20589732,plus,-,-,-
LOC120284331,LOC120284331,probable G-protein coupled receptor Mth-like 12,PSEUDO,-,-,LOC120284331,LOC120284331,2R,NC_052521.2,8117478,8119639,plus,-,-,-
LOC120284332,LOC120284332,uncharacterized LOC120284332,ncRNA,1.0,XR_005543525.2,LOC120284332,LOC120284332,2R,NC_052521.2,6042752,6044030,minus,-,-,-
LOC120284333,LOC120284333,uncharacterized LOC120284333,ncRNA,1.0,XR_005543526.2,LOC120284333,LOC120284333,2R,NC_052521.2,20016884,20018968,minus,-,-,-
LOC120284334,LOC120284334,uncharacterized LOC120284334,ncRNA,2.0,XR_005543528.1,LOC120284334,LOC120284334,2R,NC_052521.2,20011500,20013377,plus,-,-,-
LOC120284335,LOC120284335,uncharacterized LOC120284335,ncRNA,1.0,XR_005543529.1,LOC120284335,LOC120284335,2L,NC_052520.2,1122994,1137256,minus,-,-,-
LOC120284336,LOC120284336,peroxisomal membrane protein 11C,PROTEIN_CODING,1.0,XM_039291379.2,LOC120284336,LOC120284336,2R,NC_052521.2,7769952,7771361,plus,1.0,XP_039147313.1,"GD25984,GD25984-PB"
LOC120284337,LOC120284337,HIG1 domain family member 1C,PROTEIN_CODING,1.0,XM_039291380.2,LOC120284337,LOC120284337,2R,NC_052521.2,7768762,7769671,minus,1.0,XP_039147314.1,"GD10739,GD10739-PB"
