NCBI_GeneID,Symbol,Description,Gene_Type,Transcripts,Transcript_Accession,Nomenclature ID,Nomenclature ID2,Chromosomes,Transcript_Genomic_Accession,Transcript_Genomic_Start,Transcript_Genomic_Stop,Orientation,Proteins,Protein_Accession,Synonyms
LOC10178835,CG42766,uncharacterized protein,PROTEIN_CODING,2.0,NM_001201670.2,FBgn0261834,Dmel_CG42766,X,NC_004354.4,15976868,15977660,plus,2.0,NP_001188599.1,"Dmel\CG42766,FBgn0261834"
LOC10178836,CR42786,pseudo,PSEUDO,-,-,FBgn0261857,Dmel_CR42786,3R,NT_033777.3,20734748,20735323,plus,-,-,"Dmel\CR42786,lincRNA.821"
LOC10178837,CG42740,uncharacterized protein,PROTEIN_CODING,3.0,NM_001202388.1,FBgn0261704,Dmel_CG42740,3R,NT_033777.3,30418767,30422971,minus,3.0,NP_001189317.1,Dmel\CG42740
LOC10178839,CG42690,uncharacterized protein,PROTEIN_CODING,2.0,NM_001316429.1,FBgn0261580,Dmel_CG42690,2R,NT_033778.4,19944263,19945877,minus,2.0,NP_001303358.1,Dmel\CG42690
LOC10178840,CG42837,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202030.2,FBgn0262026,Dmel_CG42837,2R,NT_033778.4,16197042,16199378,plus,1.0,NP_001188959.1,"CG8446,Dmel\CG42837"
LOC10178841,lncRNA:CR42859,long non-coding RNA:CR42859,ncRNA,3.0,NR_073697.1,FBgn0262106,Dmel_CR42859,2L,NT_033779.5,2245230,2247383,plus,-,-,"CR42859,Dmel\CR42859"
LOC10178842,CR40182,pseudo,PSEUDO,-,-,FBgn0058182,Dmel_CR40182,3R,NT_033777.3,2156916,2157206,minus,-,-,"CG40182,Dmel\CR40182"
LOC10178843,CR31822,pseudo,PSEUDO,-,-,FBgn0051822,Dmel_CR31822,2L,NT_033779.5,15836725,15837444,minus,-,-,"CG31822,Dmel\CR31822"
LOC10178844,CG42831,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202151.1,FBgn0262020,Dmel_CG42831,3L,NT_037436.4,10814819,10816084,plus,1.0,NP_001189080.1,Dmel\CG42831
LOC10178845,lncRNA:CR42721,long non-coding RNA::CR42721,ncRNA,2.0,NR_048332.1,FBgn0261638,Dmel_CR42721,3R,NT_033777.3,6767050,6779728,plus,-,-,"CR42721,Dmel\CR42721"
LOC10178846,CG42661,uncharacterized protein,PROTEIN_CODING,2.0,NM_001300040.1,FBgn0261537,Dmel_CG42661,3L,NT_037436.4,7465509,7468808,plus,2.0,NP_001286969.1,Dmel\CG42661
LOC10178847,CG42662,uncharacterized protein,PROTEIN_CODING,4.0,NM_001202015.2,FBgn0261538,Dmel_CG42662,2R,NT_033778.4,15698726,15701696,minus,4.0,NP_001188944.1,Dmel\CG42662
LOC10178848,CR31824,pseudo,PSEUDO,-,-,FBgn0051824,Dmel_CR31824,2L,NT_033779.5,15887905,15888583,plus,-,-,"CG18629,CG31824,Dmel\CR31824"
LOC10178849,CR40461,pseudo,PSEUDO,-,-,FBgn0058461,Dmel_CR40461,2R,NT_033778.4,3590030,3590420,minus,-,-,"CG40461,Dmel\CR40461,His2B:CG40461"
LOC10178851,CG42857,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202277.1,FBgn0262104,Dmel_CG42857,3R,NT_033777.3,9820514,9821191,minus,1.0,NP_001189206.1,"Dmel\CG42857,DMG6-MB6.chr3R.10.010"
LOC10178852,CG42819,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201799.2,FBgn0262001,Dmel_CG42819,2L,NT_033779.5,8388728,8389331,minus,1.0,NP_001188728.1,"CG13394,Dmel\CG42819"
LOC10178853,CG42866,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201924.2,FBgn0262140,Dmel_CG42866,2L,NT_033779.5,19961224,19961685,minus,1.0,NP_001188853.1,Dmel\CG42866
LOC10178857,CG42692,uncharacterized protein,PROTEIN_CODING,2.0,NM_001201875.2,FBgn0261582,Dmel_CG42692,2L,NT_033779.5,14008101,14008820,plus,2.0,NP_001188804.1,Dmel\CG42692
LOC10178859,CG42728,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202182.1,FBgn0261681,Dmel_CG42728,3L,NT_037436.4,15527620,15528196,minus,1.0,NP_001189111.1,"CG17014,CG33984,CG7973,Dmel\CG42728"
LOC10178860,lncRNA:CR42790,long non-coding RNA:CR42790,ncRNA,2.0,NR_144651.1,FBgn0261861,Dmel_CR42790,3R,NT_033777.3,26784338,26785753,plus,-,-,"CG42790,CR42790,Dmel\CR42790,lincRNA.863"
LOC10178861,pre-mod(mdg4)-T,pre-mod(mdg4)-T,PROTEIN_CODING,1.0,NM_001202326.2,FBgn0261837,Dmel_CG42769,3R,NT_033777.3,21360176,21362131,plus,1.0,NP_001189255.3,"CG42769,Dmel\CG42769,Pre-MOD(MDG4)-T"
LOC10178862,CG42714,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202124.1,FBgn0261631,Dmel_CG42714,3L,NT_037436.4,6233491,6234056,minus,1.0,NP_001189053.1,"Dmel\CG42714,DMG8-chr3L.11.020"
LOC10178863,CR33283,pseudo,PSEUDO,-,-,FBgn0053283,Dmel_CR33283,3L,NT_037436.4,20978765,20979650,plus,-,-,"CG33283,Dmel\CR33283"
LOC10178864,CG42711,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201872.2,FBgn0261628,Dmel_CG42711,2L,NT_033779.5,13930322,13931362,minus,1.0,NP_001188801.2,Dmel\CG42711
LOC10178865,lncRNA:CR42836,long non-coding RNA:CR42836,ncRNA,2.0,NR_037763.2,FBgn0262025,Dmel_CR42836,3R,NT_033777.3,20139148,20139921,minus,-,-,"CR42836,Dmel\CR42836,lincRNA.818"
LOC10178866,CG42855,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202039.1,FBgn0262102,Dmel_CG42855,2R,NT_033778.4,18687372,18688641,plus,1.0,NP_001188968.1,Dmel\CG42855
LOC10178868,Kaz1-ORFA,pseudo,PSEUDO,-,-,FBgn0063924,Dmel_CR33790,3L,NT_037436.4,216625,216931,plus,-,-,"CG33045,CG33790,CR33790,Dmel\CR33790,Kaz1,Kaz1-ORF A,ORF A"
LOC10178869,CR42842,pseudo,PSEUDO,-,-,FBgn0262031,Dmel_CR42842,3L,NT_037436.4,19478284,19478670,plus,-,-,Dmel\CR42842
LOC10178870,CG42727,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202294.1,FBgn0261680,Dmel_CG42727,3R,NT_033777.3,15348048,15350391,plus,1.0,NP_001189223.1,"CG12258,CG31392,Dmel\CG42727"
LOC10178871,lncRNA:CR42861,long non-coding RNA:CR42861,ncRNA,3.0,NR_037727.2,FBgn0262108,Dmel_CR42861,X,NC_004354.4,13744928,13745476,plus,-,-,"CR42861,Dmel\CR42861"
LOC10178872,lncRNA:CR42746,long non-coding RNA:CR42746,ncRNA,1.0,NR_037735.1,FBgn0261709,Dmel_CR42746,2L,NT_033779.5,12543176,12544343,plus,-,-,"CR42746,Dmel\CR42746"
LOC10178873,CG42824,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202312.2,FBgn0262006,Dmel_CG42824,3R,NT_033777.3,17406048,17406511,minus,1.0,NP_001189241.1,"CG34053,Dmel\CG42824,FBgn0262006,HDC14119"
LOC10178874,lncRNA:CR42767,long non-coding RNA:CR42767,ncRNA,1.0,NR_037724.2,FBgn0261835,Dmel_CR42767,X,NC_004354.4,9557539,9558466,minus,-,-,"CR42767,Dmel\CR42767"
LOC10178875,CG42752,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201910.2,FBgn0261806,Dmel_CG42752,2L,NT_033779.5,18739320,18740110,minus,1.0,NP_001188839.1,Dmel\CG42752
LOC10178876,lncRNA:yar,yellow-achaete intergenic RNA,ncRNA,8.0,NR_047716.1,FBgn0266568,Dmel_CR42744,X,NC_004354.4,362399,367072,plus,-,-,"anon-1Be,CR42744,Dmel\CR42744,lncRNA-yar,yar"
LOC10178877,CG42818,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201892.2,FBgn0262000,Dmel_CG42818,2L,NT_033779.5,16241939,16245559,plus,1.0,NP_001188821.1,"BG:DS07473.1,CG12455,Dmel\CG42818,DS07473.1A"
LOC10178878,asRNA:CR42742,antisense RNA:CR42742,ncRNA,1.0,NR_037742.2,FBgn0261706,Dmel_CR42742,2R,NT_033778.4,22985374,22986549,plus,-,-,"CR42742,Dmel\CR42742"
LOC10178879,CR42653,pseudo,PSEUDO,-,-,FBgn0261505,Dmel_CR42653,2R,NT_033778.4,1207416,1209312,plus,-,-,"Dmel\CR42653,noncoding_9454"
LOC10178880,CG42853,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202199.1,FBgn0262100,Dmel_CG42853,3L,NT_037436.4,18120932,18121989,minus,1.0,NP_001189128.1,Dmel\CG42853
LOC10178881,lncRNA:CR40629,long non-coding RNA:CR40629,ncRNA,1.0,NR_048530.1,FBgn0085505,Dmel_CR40629,Y,NC_024512.1,1122988,1123872,plus,-,-,"CG40629,CR40629,Dmel\CR40629"
LOC10178882,CR40441,pseudo,PSEUDO,-,-,FBgn0058441,Dmel_CR40441,Y,NC_024512.1,1883796,1883972,minus,-,-,"CG40441,Dmel\CR40441"
LOC10178883,CR11235,pseudo,PSEUDO,-,-,FBgn0031135,Dmel_CR11235,X,NC_004354.4,20874941,20875303,plus,-,-,"CG11235,Dmel\CR11235"
LOC10178885,pre-mod(mdg4)-Y,pre-mod(mdg4)-Y,PROTEIN_CODING,2.0,NM_001316597.1,FBgn0261839,Dmel_CG42771,3R,NT_033777.3,21365609,21368279,plus,2.0,NP_001303526.2,"CG42771,Dmel\CG42771,RY"
LOC10178888,pre-mod(mdg4)-AD,pre-mod(mdg4)-AD,PROTEIN_CODING,2.0,NM_001316596.1,FBgn0261841,Dmel_CG42773,3R,NT_033777.3,21365609,21368279,plus,2.0,NP_001303525.2,"CG42773,Dmel\CG42773,RAD"
LOC10178889,CG42763,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201788.3,FBgn0261831,Dmel_CG42763,2L,NT_033779.5,8144391,8145107,minus,1.0,NP_001188717.1,Dmel\CG42763
LOC10178890,CG42713,uncharacterized protein,PROTEIN_CODING,2.0,NM_001201807.2,FBgn0261630,Dmel_CG42713,2L,NT_033779.5,8891440,8892180,plus,2.0,NP_001188736.1,"Dmel\CG42713,DMG4-MB6.chr2L.16.012"
LOC10178891,B9d2,B9d2,PROTEIN_CODING,1.0,NM_001201775.2,FBgn0261683,Dmel_CG42730,2L,NT_033779.5,6127872,6130651,minus,1.0,NP_001188704.1,"B9D2,CG42730,CG9227,Dmel\CG42730"
LOC10178892,asRNA:CR31144,antisense RNA:CR31144,ncRNA,1.0,NR_037759.1,FBgn0051144,Dmel_CR31144,3R,NT_033777.3,11222414,11223029,minus,-,-,"CR31144,Dmel\CR31144"
LOC10178894,CG42809,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201868.2,FBgn0261991,Dmel_CG42809,2L,NT_033779.5,13457497,13458073,plus,1.0,NP_001188797.1,"CG16849,Dmel\CG42809"
LOC10178895,CR17438,pseudo,PSEUDO,-,-,FBgn0030116,Dmel_CR17438,X,NC_004354.4,9259218,9260522,minus,-,-,"CG17438,Dmel\CR17438"
LOC10178897,CG42717,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202186.2,FBgn0261634,Dmel_CG42717,3L,NT_037436.4,16032762,16033190,minus,1.0,NP_001189115.1,"Dmel\CG42717,DMG4-MB6.chr3L.27.007,DMG4-MB6.chr3L.27.007-MIP19202,HDC10387"
LOC10178898,CG42705,uncharacterized protein,PROTEIN_CODING,2.0,NM_001298053.1,FBgn0261616,Dmel_CG42705,X,NC_004354.4,7413869,7414662,plus,2.0,NP_001284982.1,"CG47205,Dmel\CG42705"
LOC10178899,CG42680,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201881.2,FBgn0261566,Dmel_CG42680,2L,NT_033779.5,14587920,14588234,minus,1.0,NP_001188810.1,Dmel\CG42680
LOC10178900,CG42758,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202177.1,FBgn0261816,Dmel_CG42758,3L,NT_037436.4,14567440,14568133,plus,1.0,NP_001189106.1,"CG13479,Dmel\CG42758"
LOC10178901,CG42659,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201906.2,FBgn0261531,Dmel_CG42659,2L,NT_033779.5,18007360,18007842,plus,1.0,NP_001188835.1,"Dmel\CG42659,noncoding_3557"
LOC10178902,CR42722,pseudo,PSEUDO,-,-,FBgn0261639,Dmel_CR42722,3L,NT_037436.4,24546138,24546986,plus,-,-,Dmel\CR42722
LOC10178903,CR42838,pseudo,PSEUDO,-,-,FBgn0262027,Dmel_CR42838,3L,NT_037436.4,19424702,19424926,plus,-,-,Dmel\CR42838
LOC10178905,CG42826,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202150.1,FBgn0262008,Dmel_CG42826,3L,NT_037436.4,10099357,10100881,minus,1.0,NP_001189079.1,"CG6640,Dmel\CG42826"
LOC10178906,CG42693,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202399.1,FBgn0261583,Dmel_CG42693,3R,NT_033777.3,31707870,31708340,minus,1.0,NP_001189328.1,Dmel\CG42693
LOC10178907,asRNA:CR31084,antisense RNA:CR31084,ncRNA,1.0,NR_167780.1,FBgn0051084,Dmel_CR31084,3R,NT_033777.3,26425354,26428408,plus,-,-,"BcDNA:RH74240,CG31084,CR31084,Dmel\CR31084"
LOC10178908,CG42782,uncharacterized protein,PROTEIN_CODING,2.0,NM_001316417.1,FBgn0261853,Dmel_CG42782,2R,NT_033778.4,12418797,12419395,minus,2.0,NP_001303346.1,Dmel\CG42782
LOC10178909,CG42830,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201905.2,FBgn0262017,Dmel_CG42830,2L,NT_033779.5,17811953,17812672,minus,1.0,NP_001188834.1,"anon-AE003656.1,CG7527,Dmel\CG42830"
LOC10178910,CG42834,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202315.2,FBgn0262023,Dmel_CG42834,3R,NT_033777.3,17418759,17419294,plus,1.0,NP_001189244.1,Dmel\CG42834
LOC10178911,CG42870,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202336.2,FBgn0262144,Dmel_CG42870,3R,NT_033777.3,21736933,21737364,minus,1.0,NP_001189265.2,"Dmel\CG42870,lincRNA.828"
LOC10178912,CG42779,uncharacterized protein,PROTEIN_CODING,2.0,NM_001300441.1,FBgn0261847,Dmel_CG42779,3R,NT_033777.3,17121577,17122087,plus,2.0,NP_001287370.1,Dmel\CG42779
LOC10178913,CG42847,uncharacterized protein,PROTEIN_CODING,1.0,NM_001201827.2,FBgn0262036,Dmel_CG42847,2L,NT_033779.5,9427870,9428740,plus,1.0,NP_001188756.1,Dmel\CG42847
LOC10178914,CG42876,uncharacterized protein,PROTEIN_CODING,2.0,NM_001299036.1,FBgn0262150,Dmel_CG42876,2L,NT_033779.5,15810571,15812141,minus,2.0,NP_001285965.1,Dmel\CG42876
LOC10178915,lncRNA:CR42874,long non-coding RNA:CR42874,ncRNA,1.0,NR_037728.3,FBgn0262148,Dmel_CR42874,2L,NT_033779.5,1989450,1990894,plus,-,-,"CR42874,Dmel\CR42874"
LOC10178916,CG42822,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202314.2,FBgn0262004,Dmel_CG42822,3R,NT_033777.3,17413901,17414607,plus,1.0,NP_001189243.1,"BP1011,CG34035,Dmel\CG42822"
LOC10178917,lncRNA:CR31044,long non-coding RNA::CR31044,ncRNA,3.0,NR_037768.1,FBgn0051044,Dmel_CR31044,3R,NT_033777.3,29214562,29219667,plus,-,-,"BcDNA:SD09455,CG31044,CR31044,Dmel\CR31044,pri-mir-279_mir-996"
LOC10178921,CR42785,pseudo,PSEUDO,-,-,FBgn0261856,Dmel_CR42785,2R,NT_033778.4,7000154,7001696,plus,-,-,"Dmel\CR42785,noncoding_4773"
LOC10178922,CR30374,pseudo,PSEUDO,-,-,FBgn0050374,Dmel_CR30374,2R,NT_033778.4,8157257,8157914,minus,-,-,"CG30374,Dmel\CR30374"
LOC10178923,CG42753,uncharacterized protein,PROTEIN_CODING,1.0,NM_001202049.2,FBgn0261807,Dmel_CG42753,2R,NT_033778.4,19635279,19635941,plus,1.0,NP_001188978.1,Dmel\CG42753
